"GYS1","RIK2","KML3","NUR4","BSP5","QIE6","QVK7","Output22","MQC8","GYI9","NXZ10","IEF11","YXO12"
"S",65.402,69.523,13.17,62,"S",78.063,"Class4",81.061,32.289,57.411,84.901,87
"E",57.237,35.665,46.684,52,"H",54.361,"Class2",47.694,78.916,39.327,83.268,35
"P",77.032,60.288,8.79,56,"A",62.598,"Class4",77.542,32.781,54.536,83.225,79
"U",43.431,76.946,13.212,58,"A",94.248,"Class4",55.417,32.925,61.474,85.634,66
"M",55.565,70.718,15.423,68,"A",91.345,"Class4",62.686,32.385,61.699,74.171,69
"N",2.768,72.578,34.629,85,"D",41.44,"Class3",67.006,21.127,92.108,33.3,34
"C",0.718,28.587,41.844,47,"D",28.245,"Class3",39.884,20.493,30.705,52.436,69
"T",24.784,30.05,40.95,67,"W",9.778,"Class1",14.889,76.398,75.474,26.882,7
"M",69.193,79.884,15.367,38,"D",75.01,"Class4",89.732,32.141,70.07,70.965,87
"C",4.398,50.671,42.923,86,"Z",12.93,"Class3",27.466,19.552,66.986,59.376,45
"R",50.997,37.946,93.067,22,"C",68.248,"Class2",46.837,41.403,37.694,82.066,22
"Z",94.319,75.176,17.114,58,"N",53.208,"Class4",74.305,32.331,59.68,75.193,57
"H",15.881,28.207,40.999,69,"O",14.034,"Class1",12.053,45.783,73.534,19.44,24
"E",53.569,34.308,86.178,76,"C",67.261,"Class2",47.233,48.182,39.602,84.137,22
"T",28.817,16.047,39.675,63,"N",8.783,"Class1",6.423,51.858,74.948,28.219,22
"P",66.702,74.406,17.785,63,"Y",51.069,"Class4",88.227,32.718,66.506,78.313,63
"R",46.788,37.615,41.368,79,"C",61.428,"Class2",47.357,77.625,36.37,84.94,29
"S",47.797,70.574,14.941,65,"D",58.356,"Class4",82.582,32.739,75.233,87.296,87
"W",36.335,49.909,40.3,68,"I",17.884,"Class1",12.499,72.171,75.416,26.547,25
"K",44.694,34.104,65.47,57,"U",85.748,"Class2",46.084,73.987,36.713,84.423,34
"T",49.956,32.507,38.511,62,"Z",16.577,"Class1",5.312,75.172,74.979,28.462,19
"K",46.248,35.612,35.236,28,"C",77.347,"Class2",46.011,65.397,39.595,83.378,35
"M",2.962,63.332,46.403,15,"F",17.303,"Class3",58.369,21.961,88.903,41.887,47
"K",49.391,35.783,53.074,30,"H",63.355,"Class2",46.982,82.377,37.986,84.231,26
"E",46.175,36.172,85.7,68,"H",60.83,"Class2",47.019,84.211,36.201,83.81,32
"H",31.39,60.335,39.579,63,"N",15.463,"Class1",14.452,61.04,73.671,21.781,15
"H",35.801,61.24,39.298,60,"I",15.844,"Class1",12.257,49.711,74.773,17.273,3
"E",50.755,39.16,71.943,36,"H",64.376,"Class2",47.747,70.569,42.188,84.299,29
"R",15.422,70.897,40.167,69,"Z",15.823,"Class1",10.478,62.493,75.349,25.039,32
"T",33.511,37.733,38.905,63,"N",13.111,"Class1",13.813,64.98,74.754,24.724,20
"K",50.457,40.302,51.085,62,"U",82.627,"Class2",46.53,53.741,36.315,84.62,27
"C",4.597,45.967,33.187,38,"D",19.586,"Class3",47.624,19.624,79.196,59.982,58
"Z",62.264,75.494,12.951,66,"A",63.82,"Class4",63.096,32.283,77.776,86.638,85
"T",51.312,38.355,74.128,43,"U",78.017,"Class2",47.359,41.281,36.49,82.199,30
"M",67.673,NA,9.217,53,"Y",100.902,"Class4",59.947,32.923,54.588,73.005,55
"M",87.693,84.706,12.075,52,"S",52.461,"Class4",67.251,32.301,61.072,86.065,52
"E",46.785,36.971,25.085,76,"T",63.88,"Class2",47.324,55.231,39.322,82.654,37
"E",49.496,35.146,86.062,67,"U",71.972,"Class2",47.602,NA,40.224,83.523,38
"T",50.858,34.723,76.044,45,"U",64.321,"Class2",46.955,53.479,38.797,82.461,21
"K",47.195,40.785,82.996,75,"C",47.584,"Class2",47.744,84.314,38.967,83.234,38
"U",82.706,62.788,17.863,57,"A",49.164,"Class4",72.059,32.974,68.867,72.051,67
"I",52.29,39.317,39.928,65,"N",11.381,"Class1",9.134,49.566,75.504,26.515,10
"P",64.976,88.653,15.218,50,"D",68.4,"Class4",63.224,32.797,70.5,78.703,77
"Z",59.411,87.08,13.32,63,"Y",70.915,"Class4",66.997,32.04,54.933,85.824,52
"T",53.301,35.397,84.673,76,"T",55.691,"Class2",47.416,78.507,38.602,82.996,28
"S",73.713,75.601,15.491,47,"A",66.623,"Class4",62.863,32.848,73.88,74.58,52
"M",89.895,70.936,17.747,53,"A",88.137,"Class4",58.974,32.051,65.582,78.544,51
"Z",62.46,84.347,13.458,75,"Y",45.652,"Class4",85.277,32.572,82.941,83.269,53
"K",49.169,36.775,94.381,66,"U",75.945,"Class2",46.885,68.672,35.98,84.26,24
"C",4.673,46.143,32.902,41,"R",29.691,"Class3",11.808,20.519,108.836,76.788,54
"T",61.072,58.642,40.344,62,"I",17.972,"Class1",8.625,60.267,74.345,24.935,31
"E",46.527,34.588,54.937,72,"H",57.044,"Class2",46.303,47.719,39.56,84.436,25
"I",36.573,24.578,38.375,65,"W",7.912,"Class1",14.515,67.147,75.073,30.576,38
"K",42.75,37.506,81.257,75,"T",72.913,"Class2",47.914,71.286,36.073,84.431,34
"T",44.897,37.217,93.817,43,"C",69.116,"Class2",47.581,77.108,35.016,82.869,32
"S",73.22,74.424,8.21,76,"A",79.147,"Class4",56.177,32.713,83.743,77.504,87
"O",10.547,75.068,32.895,78,"R",21.03,"Class3",74.494,19.56,87.72,48.42,55
"R",47.724,49.262,39.234,65,"I",18.184,"Class1",9.743,70.488,76.098,23.52,6
"O",5.855,37.501,30.502,53,"R",11.144,"Class3",70.628,24.652,76.621,43.393,31
"T",52.243,36.426,68.134,49,"C",55.556,"Class2",47.965,76.163,38.538,82.454,27
"R",43.912,35.334,86.449,13,"O",58.058,"Class2",46.613,80.372,38.247,82.97,20
"R",33.64,44.566,39.279,69,"Z",12.299,"Class1",5.951,50.589,75.459,30.417,21
"P",100.738,82.233,15.831,60,"A",75.759,"Class4",57.142,32.344,50.771,87.796,50
"W",43.022,35.607,38.499,69,"W",18.08,"Class1",7.075,65.477,76.545,18.721,41
"R",50.877,35.94,91.762,57,"H",62.329,"Class2",46.349,52.445,37.379,84.425,35
"I",33.191,28.379,40.715,59,"O",17.992,"Class1",7.096,53.983,75.296,31.354,34
"N",8.799,NA,32.996,36,"R",54.822,"Class3",12.914,20.295,98.63,54.018,31
"U",43.644,30.78,16.428,20,"O",74.405,"Class2",46.546,70.131,36.193,83.348,31
"M",5.837,59.849,28.838,78,"C",36.701,"Class3",71.309,23.002,78.68,48.101,48
"W",40.655,35.453,40.838,66,"N",8.385,"Class1",12.627,47.209,75.392,21.238,3
"K",46.696,36.056,32.048,30,"T",76.672,"Class2",47.338,48.161,41.386,84.504,31
"H",37.776,19.47,39.192,67,"N",15.943,"Class1",6.616,69.609,76.581,26.343,33
"F",3.265,71.089,28.587,74,"Z",43.862,"Class3",43.676,23.072,53.231,35.16,62
"U",83.989,84.195,16.575,53,"D",75.716,"Class4",65.667,NA,69.585,88.319,62
"M",95.157,81.363,17.298,76,"D",75.334,"Class4",66.707,32.374,71.027,82.467,48
"U",43.292,34.927,80.032,44,"H",58.803,"Class2",46.084,50.147,41.191,84.642,20
"U",49.444,36.195,93.321,22,"H",72.826,"Class2",46.861,68.866,35.672,84.022,21
"M",87.112,73.794,8.153,65,"A",73.093,"Class4",69.932,32.61,66.752,77.54,72
"R",47.754,32.802,58.56,64,"T",67.573,"Class2",47.453,81.589,38.768,82.069,32
"P",93.344,69.459,16.853,61,"D",99.352,"Class4",62.375,32.927,79.983,89.002,49
"S",60.338,79.467,7.741,44,"N",70.815,"Class4",92.921,32.577,70.917,85.236,50
"U",79.631,70.675,10.36,73,"S",80.667,"Class4",76.467,32.106,65.61,72.302,72
"H",52.649,49.21,40.663,59,"W",9.643,"Class1",11.219,63.932,76.769,20.197,16
"N",6.247,91.349,27.155,84,"F",19.369,"Class3",57.024,24.115,71.967,76.516,30
"P",92.44,81.771,7.742,60,"N",63.566,"Class4",75.974,32.264,61.168,77.276,53
"E",49.791,34.178,64.907,23,"H",48.024,"Class2",47.211,38.275,38.689,83.074,32
"U",54.754,37.09,14.141,37,"C",59.536,"Class2",46.573,69.249,35.548,83.619,23
"E",51.925,38.356,83.667,20,"T",65.108,"Class2",46.973,69.099,36.833,84.296,20
"Z",91.795,NA,10.793,64,"D",64.546,"Class4",61.177,32.567,73.113,87.316,53
"W",35.157,66.055,39.354,65,"N",14.532,"Class1",10.417,69.964,76.375,23.134,13
"N",8.442,71.684,28.129,83,"C",37.828,"Class3",55.963,22.423,53.534,34.514,58
"O",2.049,59.959,33.517,88,"R",24.024,"Class3",17.163,19.555,77.594,56.412,65
"W",37.11,48.738,40.553,67,"W",14.921,"Class1",11.95,44.434,75.771,18.207,35
"Z",108.29,79.204,8.445,64,"D",86.907,"Class4",86.026,32.171,50.259,74.884,62
"F",8.71,68.514,41.342,87,"Z",47.889,"Class3",37.115,21.389,89.188,79.613,30
"O",2.511,78.243,47.017,58,"C",9.604,"Class3",55.353,24.258,96.761,35.165,31
"W",48.845,63.283,38.951,68,"O",12.427,"Class1",9.19,55.467,75.394,23.884,40
"T",18.055,37.86,38.819,66,"O",14.524,"Class1",7.605,43.809,76.13,21.372,3
"K",52.841,40.884,44.728,58,"H",55.957,"Class2",47.17,58.152,36.503,83.516,22
"M",2.922,46.98,33.905,52,"C",32.34,"Class3",33.387,23.529,78.563,76.639,32
"R",46.54,37.134,15.448,23,"T",87.702,"Class2",47.241,72.057,37.642,84.362,20
"T",54.092,41.524,40.77,62,"N",13.741,"Class1",8.232,63.572,74.148,23.099,8
"U",73.769,74.394,15,42,"N",63.354,"Class4",60.733,32.781,77.568,72.498,52
"K",47.559,37.016,50.952,17,"T",60.868,"Class2",46.702,60.62,39.847,82.481,25
"R",48.807,34.999,49.932,78,"H",71.483,"Class2",46.82,43.588,37.827,83.375,31
"R",22.267,48.691,38.074,69,"Z",15.195,"Class1",11.258,51.063,75.477,28.511,24
"S",40.497,71.993,10.368,53,"S",50.932,"Class4",76.595,32.251,84.58,83.841,49
"U",50.589,35.58,9.766,55,"H",41.147,"Class2",46.503,38.135,39.116,83.298,25
"T",28.894,65.719,38.493,60,"W",14.299,"Class1",7.228,73.642,76.093,31.885,2
"P",82.337,79.366,14.908,50,"S",53.275,"Class4",78.365,32.663,70.023,80.511,54
"Z",76.262,91.094,9.327,66,"Y",51.334,"Class4",68.948,32.174,62.725,81.296,57
"P",73.912,85.232,11.795,70,"D",63.99,"Class4",79.644,32.894,59.875,69.631,82
"C",8.665,37.573,31.543,48,"R",12.467,"Class3",28.24,NA,55.867,46.68,58
"N",2.133,48.228,47.147,29,"D",27.657,"Class3",77.357,22.305,78.248,77.59,61
"Z",96.517,NA,12.692,70,"N",64.244,"Class4",75.342,32.633,58.717,86.415,78
"I",60.242,49.167,38.539,65,"N",11.945,"Class1",8.614,NA,75.881,22.651,32
"F",2.656,74.04,37.808,73,"F",26.541,"Class3",45.153,19.235,67.413,40.565,55
"Z",50.563,67.447,17.301,50,"N",63.37,"Class4",91.129,32.668,73.146,82.793,67
"U",50.795,34.206,37.247,39,"T",72.27,"Class2",46.824,74.734,36.364,82.043,21
"O",5.322,57.723,37.43,34,"D",19.886,"Class3",28.337,23.716,72.93,24.86,58
"C",4.61,62.661,39.28,13,"R",38.45,"Class3",15.04,20.024,79.407,36.914,66
"T",55.822,19.185,39.219,66,"W",14.953,"Class1",11.936,60.313,75.987,22.135,21
"Z",72.743,84.587,17.296,58,"N",83.131,"Class4",90.547,32.296,53.856,77.231,64
"O",2.948,25.292,33.282,7,"D",53.803,"Class3",33.061,NA,55.774,65.3,43
"U",42.946,35.604,79.188,57,"H",48.081,"Class2",47.938,50.137,40.372,83.829,32
"P",82.939,70.684,17.809,45,"Y",44.514,"Class4",66.657,32.4,62.403,82.203,59
"R",51.841,35.706,47.574,43,"T",86.7,"Class2",46.715,40.447,37.625,83.778,20
"R",51.935,39.943,79.099,27,"O",67.846,"Class2",46.931,56.457,39.011,84.28,28
"K",48.348,36.052,20.411,18,"O",52.087,"Class2",46.274,39.537,39.401,83.766,37
"S",80.537,76.033,9.8,53,"S",63.807,"Class4",73.098,32.608,43.911,89.153,64
"N",5.28,47.263,35.545,8,"F",6.808,"Class3",23.14,20.495,57.47,77.892,68
"P",68.674,80.263,17.886,54,"A",79.412,"Class4",60.777,32.853,41.066,71.086,73
"O",3.707,63.604,36.135,23,"Z",34.309,"Class3",73.287,19.179,77.585,35.506,53
"U",70.798,NA,8.226,52,"A",64.556,"Class4",64.217,32.021,56.722,73.736,76
"H",44.782,57.756,39.098,65,"I",12.321,"Class1",4.56,69.732,75.421,23.233,9
"S",71.438,83.888,17.747,57,"Y",47.376,"Class4",72.428,32.644,65.584,81.084,69
"P",74.815,83.281,11.298,73,"A",56.342,"Class4",81.347,32.707,62.434,73.746,73
"K",50.454,34.161,14.92,49,"U",73.753,"Class2",47.12,81.965,38.545,83.994,33
"K",52.693,37.457,13.153,69,"H",51.099,"Class2",46.894,59.183,37.077,83.358,23
"H",33.273,26.156,39.119,66,"N",12.263,"Class1",13.963,54.043,75.334,27.632,6
"P",91.05,79.48,14.522,64,"N",87.168,"Class4",77.85,32.705,58.813,73.187,55
"T",47.819,34.562,41.933,51,"C",58.464,"Class2",46.479,78.006,39.93,83.786,22
"W",42.793,47.915,40.79,67,"Z",15.857,"Class1",11.058,75.601,75.334,22.434,13
"K",56.134,39.941,78.379,56,"T",78.328,"Class2",46.65,58.267,35.307,82.304,30
"N",4.078,64.7,39.821,10,"D",23.673,"Class3",60.884,22.283,79.974,48.202,29
"Z",52.248,71.48,9.21,40,"A",91.444,"Class4",72.47,32.387,62.428,75.244,73
"C",4.794,77.951,31.692,12,"D",66.22,"Class3",41.264,19.617,81.423,48.209,45
"U",63.592,61.536,15.535,53,"A",58.432,"Class4",80.433,32.38,65.837,75.881,77
"U",90.789,73.664,14.305,72,"S",66.456,"Class4",83.712,32.787,67.66,71.626,68
"R",64.471,74.984,40.183,59,"I",17.232,"Class1",12.807,52.514,75.475,17.874,26
"T",49.117,34.882,65.084,49,"T",69.07,"Class2",46.188,45.28,38.71,84.984,38
"R",19.622,46.066,40.088,61,"W",15.564,"Class1",14.592,52.691,75.441,25.172,17
"N",5.747,86.63,47.663,77,"Z",24.524,"Class3",22.904,22.312,78.225,16.393,53
"M",71.708,56.661,9.431,67,"A",93.261,"Class4",93.172,32.154,63.351,73.559,67
"C",5.332,59.391,47.842,80,"R",22.186,"Class3",69.509,20.015,92.957,17.611,66
"M",103.77,75.591,14.339,49,"A",90.564,"Class4",80.767,32.278,71.455,88.007,56
"U",52.029,36.662,28.735,47,"T",55.566,"Class2",46.818,44.165,38.442,83.598,38
"K",53.152,35.613,47,13,"H",91.69,"Class2",46.922,50.388,36.916,82.061,37
"S",72.087,93.259,14.822,62,"N",84.586,"Class4",76.433,32.345,85.402,78.647,72
"I",59.666,30.07,38.849,69,"Z",15.453,"Class1",10.953,NA,75.818,18.603,37
"W",37.536,26.514,39.968,60,"O",18.862,"Class1",7.051,65.731,74.955,29.392,40
"U",69.874,73.078,13.013,52,"A",72.777,"Class4",88,32.529,77.031,86.979,86
"N",4.57,61.329,43.436,43,"D",31.996,"Class3",30.818,21.967,66.24,23.64,36
"P",60.634,67.445,7.83,62,"Y",46.55,"Class4",89.789,32.079,65.704,78.874,64
"I",36.827,35.389,38.83,69,"Z",13.706,"Class1",10.465,56.828,74.187,19.04,38
"R",27.071,62.475,39.823,61,"Z",12.705,"Class1",4.116,51.975,75.208,21.75,25
"R",48.435,37.376,14.966,75,"H",80.06,"Class2",47.151,53.053,37.963,83.911,25
"R",39.143,37.352,40.61,62,"N",11.791,"Class1",6.705,75.352,75.181,25.644,41
"T",48.474,42.548,54.808,31,"H",60.636,"Class2",47.761,76.693,38.96,84.718,29
"K",54.03,31.559,47.255,71,"U",58.747,"Class2",46.412,54.991,38.722,82.751,27
"I",50.202,47.858,38.248,63,"O",10.782,"Class1",11.916,43.603,76.658,27.213,13
"F",3.488,60.664,42.133,43,"C",14.51,"Class3",18.383,23.317,48.756,40.973,62
"Z",76.165,79.978,17.379,59,"Y",69.558,"Class4",62.953,32.41,75.702,86.693,85
"M",8.255,NA,31.469,87,"C",31.376,"Class3",4.567,24.707,90.385,63.988,56
"C",4.32,64.751,27.894,53,"Z",36.624,"Class3",23.852,23.41,71.334,75.012,43
"R",34.629,58.178,40.904,61,"Z",16.557,"Class1",12.705,65.616,74.491,18.506,25
"S",55.177,68.838,13.988,55,"N",64.612,"Class4",59.635,32.965,76.243,77.643,87
"P",98.245,82.367,7.39,59,"S",60.943,"Class4",82.814,32.022,71.129,81.065,48
"N",4.045,19.26,32.712,14,"D",42.303,"Class3",68.757,21.822,63.09,36.197,43
"T",50.011,35.501,21.047,25,"U",64.967,"Class2",47.292,49.322,38.756,83.961,21
"R",51.449,36.495,25.81,58,"C",44.887,"Class2",46.614,72.266,41.41,82.52,20
"W",40.657,46.816,38.184,67,"Z",16.072,"Class1",11.655,74.835,74.916,23.713,26
"U",56.976,75.157,16.923,68,"Y",38.452,"Class4",79.384,32.149,58.087,84.966,58
"O",4.838,59.638,42.126,50,"D",52.642,"Class3",22.095,24.355,74.783,38.482,27
"M",82.791,88.819,17.014,36,"S",82.633,"Class4",92.016,32.954,58.959,81.43,48
"P",67.61,62.746,14.261,73,"A",57.669,"Class4",72.093,32.127,98.155,88.82,56
"H",25.855,57.546,40.311,64,"W",15.831,"Class1",9.286,72.265,76.635,19.699,19
"E",49.293,37.91,15.752,27,"O",84.553,"Class2",46.103,52.399,38.887,84.324,33
"O",5.391,56.955,31.106,15,"C",39.696,"Class3",34.712,19.92,92.321,48.629,28
"C",4.831,24.28,44.839,68,"F",22.236,"Class3",4.709,23.388,106.172,33.698,42
"O",3.972,65.067,35.353,31,"C",44.053,"Class3",77.085,19.112,75.462,71.55,28
"T",52.471,37.165,93.973,79,"U",82.581,"Class2",47.566,NA,39.161,84.144,24
"M",54.935,67.275,14.293,49,"N",46.049,"Class4",74.679,32.307,58.306,72.981,72
"W",51.607,42.879,40.227,69,"W",15.28,"Class1",5.088,45.834,75.208,29.314,35
"P",79.361,80.893,17.493,59,"S",62.651,"Class4",70.193,32.259,38.241,87.935,60
"H",46.955,46.412,39.281,59,"N",12.723,"Class1",10.374,65.651,75.034,29.753,27
"K",54.381,39.264,76.808,18,"H",65.532,"Class2",46.328,43.776,38.919,83.83,23
"E",46.72,35.639,86.12,13,"C",73.791,"Class2",47.016,50.852,41.29,82.79,22
"M",82.833,80.399,7.345,50,"Y",93.989,"Class4",69.31,32.022,67.955,86.077,54
"R",40.481,42.81,40.425,63,"N",10.917,"Class1",6.436,54.718,75.78,19.175,33
"T",51.842,36.225,95.635,42,"H",60.395,"Class2",47.469,40.315,38.744,82.987,26
"S",56.879,72.593,13.247,45,"N",78.372,"Class4",57.92,32.597,51.934,73.157,87
"R",12.914,40.307,40.824,62,"O",17.996,"Class1",5.068,71.715,74.528,24.657,33
"K",40.854,40.05,67.04,30,"C",86.624,"Class2",46.487,47.122,40.545,84.249,26
"R",22.635,56.829,39.122,67,"W",17.362,"Class1",13.178,NA,74.193,24.975,31
"P",79.079,70.14,8.569,47,"Y",60.076,"Class4",86.552,32.881,57.42,78.429,55
"R",57.545,20.57,40.191,63,"O",15.1,"Class1",14.983,59.304,74.767,17.923,8
"H",48.088,48.923,39.401,64,"O",18.735,"Class1",7.773,60.792,75.289,27.054,4
"R",53.823,35.55,47.584,48,"H",70.882,"Class2",46.602,78.134,38.461,82.845,20
"U",74.318,95.138,8.585,72,"D",49.091,"Class4",86.573,32.473,60.871,87.551,75
"F",6.314,50.389,43.365,22,"C",22.114,"Class3",13.442,NA,90.323,74.95,27
"K",47.068,34.853,40.972,54,"T",52.924,"Class2",46.817,60.037,38.295,83.979,32
"O",9.064,47.481,27.051,83,"C",6.679,"Class3",29.565,20.87,85.659,75.21,43
"U",70.155,81.718,13.427,57,"N",84.245,"Class4",79.998,32.84,91.834,77.856,77
"U",41.062,38.195,91.842,33,"H",60.345,"Class2",47.374,60.521,39.617,84.756,26
"S",81.318,73.266,15.766,62,"A",61.033,"Class4",82.386,32.089,77.372,83.074,63
"K",53.253,36.387,38.901,42,"C",48.622,"Class2",46.809,50.438,39.366,84.276,24
"W",33.698,54.45,39.953,61,"Z",17.833,"Class1",10.192,63.089,75.623,24.201,43
"Z",61.914,78.417,14.481,41,"S",51.738,"Class4",93.975,32.429,73.046,86.403,77
"R",25.586,44.927,39.19,67,"W",16.933,"Class1",5.716,44.582,76.381,19.841,17
"F",2.263,49.417,27.764,10,"Z",26.383,"Class3",16.208,20.859,43.533,45.224,46
"U",51.129,38.419,38.258,54,"H",73.915,"Class2",46.613,80.3,38.06,84.255,38
"F",5.674,32.392,33.44,32,"D",47.867,"Class3",26.449,23.374,64.764,71.713,49
"M",5.406,NA,40.565,35,"R",19.895,"Class3",43.407,24.297,56.577,19.137,54
"T",47.545,33.105,45.699,37,"T",72.777,"Class2",47.775,43.42,36.913,82.008,38
"P",100.019,81.273,11.443,38,"S",70.247,"Class4",61.361,32.636,79.465,76.58,75
"E",48.128,NA,94.622,74,"C",61.509,"Class2",47.875,42.661,39.76,84.129,31
"N",5.524,71.303,28.364,71,"C",38.425,"Class3",34.459,22.556,34.364,21.471,32
"N",2.413,45.351,34.882,50,"R",43.506,"Class3",9.726,22.951,57.673,23.095,68
"T",24.534,37.809,40.446,68,"W",8.79,"Class1",9.273,52.734,76.129,27.833,37
"O",10.139,73.438,26.025,17,"D",54.671,"Class3",57.652,19.339,60.961,64.818,33
"N",6.894,44.246,26.915,15,"Z",40.685,"Class3",8.642,21.52,102.515,36.646,25
"M",7.027,73.341,32.957,30,"F",27.832,"Class3",2.902,24.371,73.231,54.428,56
"R",47.721,39.365,65.642,27,"U",62.027,"Class2",46.404,50.929,38.405,83.041,38
"N",3.878,40.168,26.493,51,"D",42.163,"Class3",63.791,24.313,105.858,53.339,45
"M",7.16,82.375,38.953,62,"R",11.329,"Class3",7.779,22.057,85.152,70.753,53
"I",47.663,NA,40.436,64,"I",12.919,"Class1",10.14,65.569,76.518,26.799,45
"N",3.929,77.774,35.783,41,"F",18.78,"Class3",55.474,22.716,79.903,40.9,46
"Z",95.043,69.825,17.924,43,"D",50.118,"Class4",69.73,32.575,67.391,81.811,53
"T",58.256,60.857,40.735,69,"W",13.049,"Class1",9.295,47.935,72.935,22.048,16
"F",5.208,64.303,34.845,29,"Z",38.824,"Class3",9.057,23.525,51.246,73.227,27
"M",9.662,59.037,40.145,73,"R",41.615,"Class3",28.827,23.555,85.696,17.275,29
"N",5.247,64.983,47.884,8,"F",19.5,"Class3",17.738,22.044,67.329,52.215,26
"O",5.429,35.327,48.494,20,"F",48.304,"Class3",46.524,21.694,62.536,67.414,58
"R",44.207,56.448,40.594,59,"Z",18.912,"Class1",12.242,50.075,76.464,22.622,38
"M",59.245,73.675,8.559,58,"D",80.091,"Class4",71.053,32.641,44.657,70.196,83
"K",44.038,35.097,66.746,66,"T",74.945,"Class2",46.157,63.278,41.965,82.458,30
"I",36.026,54.949,39.679,67,"W",10.71,"Class1",12.559,75.152,75.318,20.093,6
"S",85.57,77.154,10.128,64,"D",47.085,"Class4",80.179,32.006,59.766,76.115,84
"M",88.41,79.185,8.179,65,"N",84.723,"Class4",71.177,NA,49.59,84.458,65
"R",8.067,34.125,40.515,62,"W",12.094,"Class1",12.528,68.055,74.197,25.418,24
"C",3.55,40.62,35.038,21,"F",37.159,"Class3",17.82,23.604,57.429,59.254,67
"M",4.266,77.979,40.323,57,"C",44.411,"Class3",72.538,23.998,105.428,35.412,69
"N",2.076,50.098,35.676,83,"D",37.039,"Class3",50.515,21.957,56.134,28.529,42
"R",50.817,45.338,38.573,63,"I",12.221,"Class1",9.112,65.065,75.921,25.481,19
"S",75.689,63.326,15.268,75,"A",70.659,"Class4",66.53,32.809,60.392,76.285,74
"F",8.46,63.434,34.412,51,"D",27.375,"Class3",55.627,23.128,92.829,42.332,51
"S",89.681,95.449,11.169,71,"D",74.613,"Class4",59.208,32.562,72.776,75.559,74
"Z",61.746,69.028,9.644,49,"Y",38.977,"Class4",90.844,32.068,52.24,72.841,80
"U",42.993,37.272,89.746,49,"H",84.521,"Class2",46.114,NA,39.711,83.598,25
"O",6.372,NA,32.988,42,"F",47.485,"Class3",34.264,24.709,91.109,63.109,26
"E",46.341,35.979,19.627,44,"H",46.341,"Class2",47.808,82.424,40.451,83.023,27
"E",45.441,30.249,81.02,30,"O",57.033,"Class2",46.756,66.68,37.334,82.488,36
"K",50.381,34.78,82.303,36,"C",62.643,"Class2",46.832,73.543,37.988,83.718,23
"T",36.836,1.82,39.699,62,"I",9.932,"Class1",14.721,58.128,74.185,23.538,23
"T",50.107,35.144,79.666,56,"C",66.557,"Class2",47.61,74.437,38.046,83.731,23
"H",57.435,53.209,40.33,61,"Z",14.859,"Class1",6.758,52.159,75.987,20.301,14
"O",10.576,72.818,33.136,23,"Z",18.331,"Class3",62.631,24.784,90.138,33.576,30
"W",30.54,38.902,39.906,69,"I",13.598,"Class1",12.881,61.492,74.52,24.851,9
"K",47.977,38.035,34.792,54,"T",53.476,"Class2",46.147,52.422,37.041,82.452,26
"H",15.753,NA,40.796,68,"Z",13.38,"Class1",11.174,66.369,73.399,25.398,21
"F",2.147,62.755,26.077,42,"Z",13.203,"Class3",11.887,19.345,76.892,24.359,46
"C",2.689,59.932,47.373,61,"R",46.963,"Class3",19.693,24.924,60.813,44.277,44
"R",31.967,48.877,38.811,68,"I",15.915,"Class1",14.161,68.944,76.038,21.887,30
"T",23.445,30.569,38.586,61,"I",13.398,"Class1",4.009,46.151,75.314,18.19,5
"N",3.911,79.69,44.416,86,"F",-4.779,"Class3",32.545,NA,64.345,39.175,36
"H",40.179,95.212,39.312,65,"W",16.794,"Class1",14.824,65.339,75.444,22.765,16
"U",53.095,35.607,41.093,12,"T",63.073,"Class2",47.761,42.021,37.324,83.09,32
"I",42.66,46.74,38.413,61,"Z",16.26,"Class1",6.12,NA,74.094,21.626,7
"F",7.519,64.914,42.148,54,"C",15.393,"Class3",51.341,22.866,106.834,56.201,42
"U",43.431,37.931,63.77,15,"T",69.345,"Class2",46.178,69.512,39.148,83.633,24
"H",74.905,55.35,39.88,66,"O",15.933,"Class1",6.344,54.954,75.538,18.232,30
"U",51.454,37.694,74.579,26,"O",59.921,"Class2",47.22,53.17,39.005,83.91,33
"T",18.056,26.558,39.309,66,"I",3.468,"Class1",4.091,74.982,75.879,27.412,32
"O",4.376,40.893,33.459,71,"R",23.574,"Class3",41.225,22.519,70.779,37.557,44
"S",63.124,72.711,15.391,55,"A",68.176,"Class4",75.425,32.548,77.362,82.544,66
"O",4.155,50.06,31.784,10,"Z",19.679,"Class3",62.648,20.258,53.387,30.546,36
"R",50.901,20.03,40.462,67,"W",16.022,"Class1",14.867,64.741,75.818,22.929,13
"I",55.719,37.514,38.918,59,"Z",17.116,"Class1",11.519,68.774,74.462,27.108,14
"C",5.352,57.94,29.432,22,"F",16.611,"Class3",10.487,20.41,44.076,68.607,47
"I",35.762,29.895,40.108,65,"I",16.116,"Class1",9.183,52.303,76.644,24.772,38
"U",53.35,35.565,46.693,48,"H",84.274,"Class2",46.582,41.942,37.96,82.073,36
"T",20.169,11.549,39.04,69,"O",14.365,"Class1",10.383,46.29,74.442,20.476,7
"E",47.903,34.715,48.963,60,"U",92.468,"Class2",47.845,83.256,38.083,83.965,23
"R",48.361,33.794,30.621,14,"C",64.596,"Class2",47.18,54.648,38.248,84.755,24
