"Output11","EVC1","CXK2","FKO3","IWU4","ANT5","PZK6","EZW7","SFA8","CLB9","LQW10","TKH11"
"Class3",58.571,34.229,30.659,36.314,"Z","R",18.735,57.037,67,79.317,43.252
"Class1",-4.805,36.524,74.571,89.383,"T","V",75.494,27.109,25,47.875,49.844
"Class5",84.402,26.64,15.726,44.951,"N","S",22.808,10.743,36,22.223,57.79
"Class2",33.477,54.612,25.594,69.233,"F","N",18.669,65.753,41,7.798,63.014
"Class3",90.812,29.361,30.349,46.94,"S","U",19.743,32.276,71,70.137,43.35
"Class3",71.808,33.815,28.683,NA,"A","T",14.275,68.934,55,87.943,39.072
"Class4",53.113,58.846,17.196,47.782,"W","J",74.326,77.182,32,25.401,77.166
"Class4",48.523,57.235,7.165,46.072,"K","J",73.338,77.731,32,21.084,64.225
"Class5",89.714,65.699,16.44,48.603,"L","X",30.253,4.734,16,33.706,61.025
"Class3",74.705,28.024,27.807,35.455,"J","T",14.727,29.461,60,70.489,47.691
"Class1",30.717,38.563,89.732,52.606,"V","R",73.44,23.616,43,29.923,6.583
"Class2",5.496,50.535,14.698,97.838,"F","H",31.09,61.722,7,10.994,50.646
"Class1",48.218,20.939,81.69,29.456,"O","Q",72.002,23.815,36,23.114,30.521
"Class2",9.542,74.238,35.024,65.63,"K","Z",52.966,63.879,23,19.616,41.631
"Class1",-13.718,38.219,71.917,46.672,"V","Q",71.303,27.329,41,19.148,15.835
"Class1",12.1,18.428,44.247,53.899,"T","R",70.537,25.239,52,22.663,15.799
"Class1",41.947,26.267,90.814,42.982,NA,"W",75.998,22.707,38,23.842,31.885
"Class3",64.823,36.517,30.469,70.075,"J","A",16.686,74.075,74,86.409,41.865
"Class2",11.929,75.468,38.424,59.397,"F","W",9.734,68.289,41,11.237,11.56
"Class5",85.001,30.471,16.366,52.054,"W","B",28.633,46.242,32,2.518,58.338
"Class2",0.905,49.865,33.159,68.056,"K","Z",31.568,67.074,26,7.975,30.31
"Class1",30.709,20.881,76.571,42.201,"W","B",76.142,23.441,39,32.566,26.771
"Class3",68.432,36.336,34.018,46.613,NA,"U",11.383,35.56,81,74.162,28.096
"Class5",89.091,53.678,16.475,45.982,"N","X",29.973,17.705,31,39.222,58.391
"Class1",45.402,20.784,84.182,47.992,"W","W",72.988,29.14,27,28.339,51.344
"Class1",-3.388,49.459,77.924,60.749,"O","R",71.502,28.063,29,24.196,48.337
"Class2",47.475,58.813,28.73,71.603,"F","W",38.202,66.379,21,10.974,-7.342
"Class2",16.925,66.199,20.342,84.916,"F","N",32.976,65.262,12,30.843,29.99
"Class4",67.621,57.195,8.555,52.175,"Q","J",90.027,79.349,33,55.672,87.173
"Class5",87.119,44.559,15.839,48.127,"L","X",13.024,3.715,35,20.629,53.949
"Class5",88.522,30.093,15.928,45.121,"I","S",19.972,61.959,32,24.223,65.733
"Class3",98.613,33.529,27.633,54.825,"Z","T",17.151,67.332,64,87.22,39.651
"Class5",87.587,27.441,16.921,44.702,"I","B",28.971,9.621,12,30.756,71.203
"Class4",23.645,59.06,9.972,45.793,"K","W",55.104,80.68,33,51.132,61.606
"Class5",93.638,13.718,16.934,46.802,"A","B",14.635,28.329,17,30.134,59.714
"Class2",27.252,65.956,28.477,74.643,"D","B",14.357,66.447,39,24.093,43.507
"Class3",24.761,28.351,30.464,63.42,"S","D",17.263,73.178,57,70.755,38.729
"Class2",32.93,40.577,25.972,81.232,"R","B",37.637,65.685,15,13.255,17.936
"Class2",29.591,80.481,29.191,60.766,"X","B",43.727,61.721,30,23.515,18.689
"Class4",103.392,58.083,10.952,29.63,"Q","M",53.384,76.41,31,42.389,78.45
"Class3",84.107,34.869,32.27,NA,"S","T",16.569,35.539,54,80.967,33.167
"Class3",83.727,30.193,33.451,55.797,"Z","A",18.474,28.973,62,88.119,38.251
"Class1",32.933,17.277,98.488,63.183,"T","B",69.346,23.13,36,43.737,29.321
"Class4",42.614,57.891,8.675,54.663,"W","C",74.027,75.415,32,38.292,56.798
"Class3",59.043,34.831,28.79,66.677,"J","R",11.582,55.173,70,78.317,33.667
"Class4",53.07,59.943,8.898,46.644,"Q","Z",44.48,80.432,32,27.872,66.653
"Class3",26.63,29.015,30.982,44.187,"Z","U",17.344,71.83,59,88.123,33.918
"Class1",27.895,25.011,85.449,69.536,"T","R",69.067,27.46,34,36.907,22.736
"Class1",16.345,46.981,93.423,71.97,"V","V",72.446,25.876,46,41.016,21.622
"Class1",31.887,21.698,44.396,NA,"W","B",70.921,29.478,33,35.182,46.393
"Class5",94.382,10.431,16.331,40.591,"I","G",25.852,46.998,19,32.943,54.822
"Class3",109.014,36.032,27.111,60.191,"A","D",15.197,50.003,68,85.458,34.361
"Class4",31.35,57.88,17.169,52.619,"Z","C",109.437,77.37,30,51.221,89.818
"Class3",26.23,38.239,35.98,NA,"C","A",13.963,28.986,74,80.386,38.817
"Class4",60.265,57.212,12.544,55.521,"Q","J",74.581,75.266,30,62.109,65.969
"Class3",36.437,28.552,35.292,43.899,"S","T",19.441,61.219,71,85.941,48.753
"Class5",90.033,82.976,15.04,41.033,"N","S",18.81,36.676,11,25.45,67.263
"Class2",18.47,56.877,27.313,46.783,"R","H",20.346,65.533,45,31.91,33.54
"Class5",83.814,65.737,15.244,45.915,"A","G",19.227,67.571,9,16.288,61.799
"Class1",38.97,44.095,77.599,NA,"O","B",69.211,31.366,24,28.524,17.816
"Class1",76.48,47.003,97.288,60.599,"T","Q",67.473,23.291,49,14.153,4.737
"Class3",67.396,40.703,30.833,55.868,"J","U",14.067,51.162,62,77.262,46.394
"Class3",117.351,26.567,29.34,58.332,"J","D",15.088,43.514,75,72.588,43.919
"Class4",70.254,57.322,8.836,38.743,"W","Z",70.787,77.071,34,61.577,77.27
"Class5",82.31,73.451,16.813,NA,"A","A",-5.515,21.045,33,37.306,61.417
"Class1",28.478,33.596,61.534,64.508,"T","W",75.856,31.287,52,18.297,26.463
"Class5",87.841,66.691,16.336,45.018,"N","X",20.165,73.708,16,23.452,75.034
"Class1",41.379,43.154,96.776,79.161,"N","Q",72.128,26.171,22,11.731,8.252
"Class1",22.561,44.858,88.891,74.166,"W","Q",81.531,30.953,45,34.299,31.483
"Class5",91.013,35.755,15.523,43.602,"A","B",6.46,75.759,28,31.042,79.314
"Class2",23.534,47.854,13.238,64.847,"D","W",59.998,61.362,43,16.128,30.392
"Class2",34.972,59.166,38.747,64.066,"K","B",28.802,63.31,29,23.307,45.458
"Class2",42.496,78.504,24.271,64.744,"D","N",81.348,69.697,39,23.433,85.709
"Class4",54.532,57.224,7.966,46.353,"Q","C",84.285,80.89,34,36.803,62.322
"Class3",33.264,37.346,33.942,61.637,"A","D",14.058,73.89,79,77.574,38.404
"Class4",46.081,57.067,11.288,49.481,"K","J",41.058,75.138,30,28.921,72.476
"Class2",13.399,47.744,18.112,49.558,"X","B",40.01,66.169,32,15.658,44.461
"Class5",88.255,44.25,16.872,46.611,"W","A",23.072,64.115,14,14.473,71.362
"Class1",53.868,47.141,45.899,72.976,"O","W",75.159,27.061,47,32.088,25.298
"Class2",42.956,47.036,12.497,56.301,"X","Z",22.395,65.453,24,7.922,22.59
"Class4",36.445,57.046,12.942,47.622,"W","C",43.406,77.897,33,20.798,89.784
"Class3",46.196,28.019,31.799,77.943,"A","R",18.872,45.288,73,72.092,40.356
"Class5",88.064,36.231,16.748,47.319,"N","G",18.349,42.202,11,39.125,68.044
"Class5",85.524,61.54,16.845,47.653,"N","A",31.207,33.048,5,23.222,56.676
"Class3",22.585,29.921,31.778,63.601,"A","D",9.673,47.57,54,83.569,42.757
"Class2",9.199,74.386,13.901,99.1,"X","N",18.358,65.71,30,8.196,58.876
"Class4",47.532,58.424,10.576,55.369,"K","J",88.032,75.242,30,35.403,55.765
"Class4",23.657,59.541,11.499,NA,NA,"M",88.82,80.991,32,63.119,57.745
"Class3",72.565,38.521,30.733,38.351,"J","R",12.425,57.949,80,71.717,32.853
"Class1",46.212,43.46,77.969,71.582,"W","W",74.104,30.138,28,15.014,26.208
"Class4",79.203,59.292,15.093,56.148,"W","Z",66.791,77.047,32,25.321,77.128
"Class3",24.244,36.931,33.966,69.368,"J","R",16.634,24.748,76,82.968,29.875
"Class4",42.839,58.953,4.461,41.603,"Q","C",69.958,77.358,31,46.711,77.031
"Class2",35.301,60.2,32.635,66.514,"F","N",22.794,63.941,6,26.495,56.69
"Class3",33.951,31.125,31.025,63.262,"C","T",10.715,65.215,83,82.114,41.72
"Class3",87.37,29.087,32.496,46.418,"A","U",16.828,37.762,72,87.193,37.242
"Class1",11.455,32.856,79.906,47.358,"V","Q",75.094,29.39,47,37.3,27.006
"Class3",-6.581,28.483,27.323,42.228,"J","T",9.204,36.746,65,84.38,33.039
"Class5",88.725,8.339,16.893,43.262,"A","B",19.756,32.94,17,36.687,61.243
"Class2",47.098,62.386,10.838,83.023,"K","W",22.905,66.49,19,28.946,22.689
"Class3",13.582,36.319,28.868,NA,"J","U",15.995,37.125,67,81.501,42.486
"Class5",88.706,40.217,15.473,46.663,"L","S",19.907,76.08,36,18.076,45.576
"Class1",4.908,53.949,56.603,51.474,"T","R",70.038,29.27,26,36.208,30.917
"Class4",45.358,58.451,6.547,58.381,"W","W",69.011,75.481,29,47.774,66.187
"Class2",15.617,59.697,21.765,77.746,"D","W",72.467,63.63,21,26.486,1.112
"Class2",31.988,51.321,37.077,83.924,"F","W",22.883,62.841,11,20.769,32.099
"Class3",75.643,28.446,31.884,72.257,"J","R",19.003,37.595,75,87.503,44.299
"Class2",12.247,67.263,34.639,79.951,"X","H",24.304,64.426,41,28.512,57.066
"Class2",2.556,40.485,31.552,92.917,"R","Z",46.357,66.914,19,24.23,43.282
"Class2",26.408,56.853,37.785,61.583,"D","B",31.77,69.943,47,23.938,41.891
"Class2",33.954,78.586,22.57,68.15,"K","H",20.524,65.045,25,29,26.499
"Class1",62.191,51.587,46.158,66.798,"V","R",75.025,26.792,28,37.955,50.164
"Class3",83.177,33.966,30.04,46.154,"Z","R",18.966,79.753,76,77.822,34.949
"Class5",90.986,32.024,16.005,NA,"N","X",13.697,32.036,8,26.971,76.233
"Class3",1.597,33.38,35.096,52.588,"A","U",13.03,69.843,62,72.565,40.149
"Class3",105.961,28.781,29.764,43.453,"Z","T",14.451,79.817,59,88.234,45.636
"Class5",83.313,71.746,15.003,48.212,"L","X",25.619,57.363,29,18.404,58.448
"Class5",82.218,72.083,16.861,44.38,"L","G",29.053,39.913,18,28.794,53.244
"Class3",55.82,33.621,31.056,65.39,"Z","R",12.918,79.819,63,83.537,37.888
"Class4",31.487,58.3,6.384,34.702,"K","J",104.505,77.562,31,46.418,65.429
"Class4",56.786,58.666,16.117,50.187,"K","C",78.398,75.119,34,43.083,69.333
"Class3",36.843,29.524,30.483,46.803,"A","R",17.179,45.055,71,83.107,48.908
"Class5",86.383,67.546,16.047,43.217,"A","G",17.447,56.376,15,20.077,41.731
"Class4",69.522,58.854,9.499,40.811,"Z","W",97.417,76.107,31,41.606,69.386
"Class3",67.473,39.772,27.741,NA,"A","R",12.089,43.588,64,71.9,44.06
"Class1",44.46,18.848,37.879,53.771,"O","R",71.548,27.273,49,19.501,18.186
"Class3",79.374,33.747,29.879,48.581,"C","T",15.073,66.388,69,90.966,48.157
"Class1",12.677,39.385,90.01,45.461,"N","W",73.874,28.309,28,42.691,51.624
"Class3",20.218,27.804,31.904,58.176,NA,"R",17.108,73.953,67,82.993,37.48
"Class1",62.207,54.555,59.598,43.046,"O","Q",74.746,24.436,41,46.654,-5.16
"Class3",81.472,33.156,30.542,44.549,NA,"U",20.667,22.817,68,79.036,49.252
"Class2",18.023,54.789,34.476,48.805,"D","H",9.388,69.512,33,19.392,33.323
"Class3",84.389,28.567,29.495,74.447,"J","U",14.398,77.146,58,76.772,45.147
"Class4",59.122,58.775,18.644,53.028,"K","M",56.737,79.877,33,19.476,68.62
"Class3",31.053,31.626,29.699,70.331,"J","A",13.117,58.985,67,88.611,39.593
"Class1",8.665,23.138,68.817,48.263,"N","B",66.994,22.317,46,23.886,32.059
"Class2",2.266,51.289,30.433,43.277,"R","N",38.994,61.649,13,14.057,62.784
"Class1",67.148,42.975,64.831,58.387,"W","Q",69.33,25.003,45,31.224,15.359
"Class3",47.986,30.528,30.203,47.088,"A","A",14.255,47.762,72,86.186,43.652
"Class4",61.694,59.554,9.046,59.91,"G","J",33.39,76.181,32,28.535,71.489
"Class5",84.281,57.887,16.093,46.244,"N","S",16.2,48.494,18,15.019,65.206
"Class1",5.511,50.246,50.635,55.83,"N","Q",73.939,29.861,45,36.884,34.668
"Class2",22.588,49.035,20.838,54.434,"K","Z",16.848,67.166,41,34.396,53.249
"Class2",26.607,61.851,38.736,58.059,"R","Z",63.746,69.169,22,23.971,26.478
"Class3",31.85,40.032,29.773,63.356,"A","A",14.765,26.977,82,71.994,36.088
"Class3",68.091,31.431,33.212,53.599,"S","R",13.364,46.559,73,78.846,35.577
"Class1",17.296,38.862,54.494,65.427,"V","V",74.969,24.136,36,25.631,30.226
"Class2",25.313,42.92,37.878,71.131,"D","Z",69.881,63.31,34,25.556,29.011
"Class1",-7.542,50.278,53.208,37.465,"T","R",65.117,29.759,41,27.76,31.771
"Class3",74.048,41.654,35.961,60.474,"A","A",10.816,50.937,81,86.799,30.907
"Class5",86.615,21.017,15.215,45.765,"L","A",10.084,23.472,27,23.679,52.932
"Class2",30.277,40.028,18.535,61.653,"R","Z",52.754,67.958,40,22.479,-6.026
"Class3",27.62,39.851,35.594,65.431,NA,"U",21.107,40.396,56,90.47,48.505
"Class4",72.555,58.27,10.672,63.013,"G","Z",69.291,79.674,32,42.691,69.378
"Class1",28.81,43.84,54.044,68.881,"N","B",72.184,23.791,25,18.951,41.945
"Class3",89.266,33.632,28.855,53.894,"S","U",11.408,54.72,71,71.987,30.597
"Class5",83.917,26.268,16.25,38.572,"N","S",10.38,51.066,4,39.585,59.333
"Class2",1.853,63.572,36.341,68.63,"F","N",37.398,67.023,11,28.513,39.13
"Class4",65.855,59.075,18.29,46.278,"Z","Z",53.576,78.643,32,42.484,83.252
"Class5",81.089,77.633,15.679,40.22,"L","A",25.405,46.263,33,14.815,71.268
"Class2",31.408,39.597,27.794,91.842,"F","N",35.379,64.208,32,5.226,38.664
"Class2",33.244,80.275,38.004,NA,"K","H",27.262,64.285,15,7.888,30.95
"Class5",85.435,64.126,16.276,39.756,"N","X",20.52,13.07,30,12.39,66.46
"Class1",19.012,52.89,41.709,64.252,"O","V",71.052,24.295,34,39.314,26.183
"Class2",31.112,43.925,40.487,69.641,"F","H",-4.239,69.169,27,4.267,33.429
"Class1",76.594,39.759,48.767,70.397,"T","B",70.558,27.91,50,16.052,34.284
"Class3",85.23,41.283,31.509,62.005,"A","D",16.709,64.945,80,77.551,38.295
"Class5",90.403,7.678,15.262,44.339,"N","X",16.666,47.122,9,0.242,62.993
"Class1",25.207,58.318,86.401,38.471,"T","Q",71.45,27.807,39,12.231,36.713
"Class5",86.62,16.059,16.233,43.272,"L","S",24.424,55.183,39,6.014,61.18
"Class5",90.389,8.566,15.094,45.813,"L","S",25.226,31.054,33,20.077,43.792
"Class5",83.351,9.914,15.606,47.772,"L","B",32.117,33.074,8,21.662,61.457
"Class3",75.894,31.794,29.427,44.247,"C","D",13.041,44.057,68,84.749,35.221
"Class5",82.882,58.648,16.607,44.953,"I","S",15.29,21.885,19,7.999,61.944
"Class5",85.111,25.267,16.581,44.051,"W","S",15.443,36.738,4,15.151,67.1
"Class1",11.573,20.831,68.959,45.996,"V","B",74.075,25.607,53,13.149,21.179
"Class4",28.887,58.068,5.714,40.771,"Z","J",41.6,75.587,29,36.721,90.79
"Class3",34.702,38.835,29.03,33.678,NA,"D",16.53,44.469,81,79.031,49.668
"Class3",65.966,36.546,28.66,75.282,"J","D",16.304,52.919,83,73.228,34.32
"Class2",22.343,56.814,34.313,73.37,"K","Z",39.988,67.591,15,15.824,49.765
"Class3",29.971,31.967,27.337,58.221,"A","A",15.125,36.998,58,90.031,32.828
"Class3",47.429,27.047,35.976,82.767,"Z","A",15.783,61.594,58,90.164,41.15
"Class4",40.713,57.677,7.847,56.277,"Q","Z",66.301,80.033,32,38.536,69.062
"Class2",16.358,58.188,18.169,53.007,"R","H",20.705,68.379,13,13.395,45.767
"Class1",30.361,48.78,82.933,61.363,"V","W",68.947,22.572,23,49.301,29.38
"Class1",41.725,32.808,78.387,40.658,NA,"R",73.482,29.999,23,26.756,17.686
"Class4",41.804,58.048,9.309,57.129,"Q","J",61.484,77.271,29,52.113,58.399
"Class3",109.753,32.862,34.143,66.97,"S","U",10.515,39.366,76,83.982,41.695
"Class1",23.496,25.636,69.303,50.025,"V","B",70.162,26.601,25,32.495,10.392
"Class3",46.17,40.335,35.886,61.359,"C","R",11.962,62.139,71,87.392,42.055
"Class3",31.467,26.448,28.542,64.416,"C","U",17.469,43.46,71,71.195,42.331
"Class1",45.199,35.852,62.107,53.613,"N","Q",76.493,31.372,52,10.461,45.033
"Class2",14.483,40.154,27.018,65.18,"K","B",22.643,66.922,23,19.055,37.569
"Class2",35.908,67.199,10.544,58.086,"R","H",24.806,69.248,28,11.09,24.071
"Class4",65.202,59.915,9.314,34.649,"G","Z",52.451,77.913,34,23.963,69.737
"Class4",81.7,57.689,9.602,46.626,"W","Z",67.265,77.983,31,27.375,68.005
"Class4",57.426,58.593,16.765,49.68,"Z","M",61.806,80.052,31,51.961,79.811
"Class4",64.207,59.251,6.844,43.636,"G","C",76.052,77.78,33,53.832,82.964
"Class2",21.585,78.337,18.517,77.115,"R","Z",59.694,69.516,22,29.917,16.53
"Class4",27.202,59.495,8.501,38.047,"G","Z",79.846,76.301,34,21.944,72.806
"Class5",83.667,50.605,16.442,42.943,"A","A",23.816,35.772,30,4.398,61.501
"Class1",1.441,58.091,44.502,66.684,NA,"R",70.733,26.702,33,47.203,44.546
"Class1",13.222,40.865,95.486,NA,"O","Q",75.713,28.46,50,42.262,56.068
"Class1",29.547,44.853,79.317,58.957,"W","R",70.668,25.775,43,13.584,46.478
"Class4",7.015,58.672,10.392,48.753,"Q","C",93.106,80.94,31,36.569,66.513
"Class3",66.212,35.258,32.157,13.708,"A","D",15.797,71.125,70,82.89,42.212
"Class2",8.818,63.319,16.656,59.855,"R","N",58.123,65.904,30,12.699,37.988
"Class3",45.48,39.683,35.486,23.763,"A","D",10.057,41.391,77,90.718,47.051
"Class1",32.226,41.103,59.789,55.625,"T","V",74.577,23.353,45,39.643,14.652
"Class5",81.794,14.294,15.578,42.172,"L","X",24.887,54.382,7,5.253,78.061
"Class4",51.595,57.051,10.161,48.652,"Q","W",61.973,79.844,31,61.475,78.929
"Class3",29.075,32.982,27.013,30.679,"Z","R",10.645,35.865,77,72.726,36.222
"Class1",21.177,53.774,69.392,66.431,"O","B",76.782,29.353,52,33.187,18.172
"Class1",44.122,36.694,68.732,NA,"W","Q",73.488,27.86,49,12.075,25.256
"Class1",35.693,57.857,83.228,58.951,"V","B",73.338,27.415,38,20.988,38.021
"Class5",85.051,71.057,15.763,39.14,"L","A",7.026,47.96,34,19.882,51.267
"Class3",-18.907,29.975,33.341,79.712,"A","U",17.022,76.386,61,84.744,43.015
"Class1",52.138,45.443,53.298,41.756,"N","R",73.256,24.908,54,37.221,9.238
"Class5",86.797,47.777,16.283,46.069,"A","A",26.988,38.284,25,7.844,70.85
"Class5",84.14,34.309,16.594,44.679,"N","A",21.076,55.387,13,9.158,68.27
"Class4",51.064,59.892,4.726,NA,"Z","C",59.087,77.354,30,36.721,66.734
"Class5",83.189,8.858,16.348,44.418,"A","X",23.159,52.875,37,41.221,57.244
"Class5",92.016,82.69,15.282,42.341,"W","X",14.747,5.628,34,5.826,66.713
"Class5",90.15,9.902,16.103,45.267,"N","B",19.665,13.474,28,1.94,60.998
"Class3",40.105,27.193,31.526,54.066,"Z","T",19.991,51.283,83,83.907,43.415
"Class2",37.154,56.91,16.514,58.064,"F","W",41.794,62.009,27,17.049,66.179
"Class2",15.415,68.281,22.796,44.47,"F","Z",37.963,65.026,19,11.043,29.619
"Class1",21.994,58.586,76.937,57.025,"W","B",69.04,31.423,22,30.437,18.472
"Class1",49.651,21.781,73.752,65.618,"N","R",74.353,25.336,24,42.272,25.767
"Class4",60.491,58.348,14.309,44.133,NA,"J",90.12,78.572,33,34.862,56.67
"Class1",50.324,52.215,67.257,62.683,"T","B",72.287,24.666,45,22.462,26.232
"Class3",50.374,37.365,35.265,53.159,"A","R",14.423,43.258,76,80.335,29.589
"Class4",68.489,57.409,16.064,20.302,"Z","C",87.296,78.295,32,49.33,68.755
"Class1",33.462,37.51,64.765,59.231,"T","W",76.174,25.893,52,23.876,33.765
"Class3",91.097,32.488,28.458,73.497,"C","U",14.863,40.884,78,89.202,41.652
"Class5",85.858,82.343,16.569,44.688,"I","S",13.472,47.019,30,17.12,44.073
"Class2",33.234,73.62,21.013,76.781,NA,"H",39.079,67.423,31,11.411,55.532
"Class3",55.401,32.496,32.666,58.306,"A","T",20.04,27.89,80,70.189,43.401
"Class2",50.722,72.163,10.801,70.636,"K","B",44.809,63.551,41,21.713,44.742
"Class1",-23.605,32.398,71.231,39.013,"N","W",76.518,29.25,32,25.447,54.098
"Class5",87.009,10.741,16.899,43.878,"N","X",21.079,52.651,4,36.419,62.063
"Class5",89.775,77.433,16.348,53.6,"A","S",35.06,46.236,5,24.184,71.494
"Class1",13.378,59.019,90.244,36.025,"T","B",69.01,24.753,29,10.836,46.139
"Class3",58.987,26.382,32.932,78.43,"J","T",20.899,55.055,65,82.749,29.621
"Class5",87.679,55.231,15.146,38.926,"W","X",21.268,13.514,7,29.641,60.321
"Class2",29.243,41.01,30.008,NA,"K","N",12.732,65.609,10,23.173,13.457
"Class5",88.668,8.351,15.9,46.936,"L","B",40.301,39.395,4,10.35,60.213
"Class4",48.196,58.399,17.06,55.406,"G","C",71.017,78.428,34,50.607,70.193
"Class3",78.657,38.796,27.281,35.104,"Z","R",14.238,67.855,81,82.281,37.748
"Class5",87.476,46.906,15.849,48.014,"W","A",32.724,17.292,17,29.438,37.944
"Class3",77.076,29.789,31.928,66.564,"A","A",14.47,46.906,82,75.557,31.529
"Class5",91.333,68.956,15.036,43.79,"W","S",7.408,27.553,33,25.171,64.207
"Class3",28.485,35.229,33.347,47.967,"J","A",16.792,59.851,78,81.204,43.321
"Class1",51.17,52.931,77.633,55.786,"W","W",69.983,23.242,52,26.153,11.3
"Class5",90.533,19.366,15.957,45.218,"I","S",14.993,31.797,14,42.617,68.565
"Class4",59.356,58.388,8.036,62.989,"G","M",82.407,78.129,32,19.517,59.898
"Class1",65.134,16.822,85.88,61.065,"N","W",72.95,31.271,42,29.382,31.845
"Class1",10.011,21.212,71.978,70.21,"V","R",76.646,30.16,26,25.938,13.761
"Class3",34.481,35.01,35.987,73.147,"J","T",9.675,69.353,73,76.828,29.862
"Class5",83.848,53.235,15.713,43.331,NA,"X",21.762,75.734,26,24.034,64.621
"Class4",58.32,59.943,11.909,53.758,"G","C",73.14,78.47,30,53.32,69.129
"Class1",32.031,25.553,78.828,64.101,"O","W",74.822,22.372,38,38.154,45.607
"Class3",37.935,39.523,30.04,67.508,"J","U",13.255,23.524,67,74.412,44.869
"Class2",23.744,41.703,9.66,74.781,"X","B",29.265,68.541,31,10.589,51.138
"Class1",29.045,59.505,84.007,44.611,"N","B",70.069,25.496,51,37.508,14.857
"Class3",51.724,39.896,31.162,16.78,"J","R",18.817,45.684,58,88.118,45.076
"Class2",41.896,47.665,29.039,67.537,"X","W",32.232,69.373,47,8.869,33.334
"Class2",13.975,55.955,36.13,79.132,"D","B",36.037,67.464,42,6.235,46.486
"Class2",15.07,64.293,27.684,54.269,"R","H",11.065,67.431,7,32.589,-3.261
"Class1",37.697,44.055,63.938,74.866,"T","W",76.046,31.551,23,29.788,18.48
"Class5",87.25,9.136,16.164,45.797,"W","A",38.835,69.857,6,40.974,80.041
"Class5",92.207,46.17,15.154,51.92,"L","G",12.913,15.827,5,29.809,64.522
"Class1",65.001,22.741,91.231,69.999,"N","Q",65.165,23.027,36,18.786,-9.623
"Class5",86.661,65.918,15.157,43.919,"A","A",17.673,50.612,9,0.734,81.551
"Class1",19.413,44.728,66.16,43.85,"T","Q",73.897,30.235,23,35.169,40.246
"Class1",8.849,48.937,62.579,57.119,"T","Q",70.97,26.428,48,42.037,17.23
"Class5",82.067,27.289,16.221,45.977,"N","X",8.671,13.47,18,30.164,58.517
"Class5",84.834,64.755,15.349,42.969,"A","X",30.603,41.985,30,11.288,65.071
"Class4",50.476,59.712,8.012,58.38,"G","W",68.224,80.777,29,28.916,47.701
"Class5",84.6,52.811,15.361,43.828,"I","X",28.566,73.316,18,39.134,58.373
"Class2",15.422,72.909,35.523,65.515,"K","Z",55.01,62.388,38,12.564,14.579
"Class2",29.183,40.7,22.045,67.856,"F","W",28.952,67.327,38,4.716,47.032
"Class1",52.704,38.499,55.516,52.363,"O","W",75.043,24.09,44,31.766,8.696
"Class2",52.557,42.312,27.913,77.475,"D","Z",54.675,68.481,16,17.757,16.456
"Class3",51.971,37.039,27.919,62.565,"S","R",12.101,27.938,80,77.998,36.15
"Class1",4.411,33.595,63.68,68.449,"O","B",73.007,29.789,48,29.395,27.805
"Class5",83.145,32.142,15.383,42.807,"W","A",15.825,61.7,23,8.286,70.362
"Class2",19.639,75.205,25.654,38.641,"F","Z",41.108,69.541,20,31.637,-2.44
"Class4",25.561,59.092,7.433,42.838,"Q","Z",77.098,77.049,32,59.044,88.809
"Class5",90.881,22.317,15.12,42.198,"A","A",17.069,73.542,28,40.16,64.022
"Class5",88.215,21.245,15.744,49.961,"A","A",23.148,33.451,38,2.462,84.753
"Class4",47.293,57.67,7.335,50.098,"K","W",79.554,79.8,31,56.21,74.428
"Class3",31.081,27.519,29.955,62.142,"J","R",18.244,27.346,74,84.16,41.616
"Class2",50.362,39.549,36.195,64.955,"F","B",59.271,62.256,31,11.66,20.491
"Class1",52.531,54.002,46.235,46.211,"O","Q",73.925,26.584,26,16.912,61.085
"Class4",32.449,58.609,13.772,50.009,"K","Z",60.946,79.577,29,55.28,82.823
"Class2",-6.377,65.222,9.73,71.607,"F","B",63.328,68.526,6,11.132,12.709
"Class1",26.109,51.644,85.508,42.731,"W","R",68.772,25.098,53,47.749,45.923
"Class3",61.944,40.848,35.111,62.722,"C","A",11.586,59.491,82,88.198,48.998
"Class2",-4.082,49.203,24.907,68.793,"F","H",34.426,61.964,40,33.008,64.852
"Class1",32.239,46.798,78.303,43.836,NA,"R",75.757,27.77,26,49.555,21.991
"Class3",81.987,26.784,35.408,53.885,"J","R",18.759,62.44,73,74.881,37.976
"Class4",50.334,59.887,18.154,47.546,"G","M",33.181,78.502,33,27.819,71.275
"Class3",35.306,40.101,27.666,64.446,"Z","D",17.812,27.105,77,74.03,41.512
"Class4",21.934,58.489,16.337,NA,"G","J",65.476,79.396,29,63.001,67.764
"Class4",31.011,58.501,9.132,41.059,"Q","C",64.502,75.086,30,60.458,76.945
"Class4",29.207,57.263,8.683,45.244,"Q","J",49.497,80.776,31,18.416,86.123
"Class1",67.989,37.627,77.424,41.877,"W","Q",70.743,30.47,22,33.283,16.149
"Class4",71.821,59.352,7.171,41.09,"K","C",33.038,78.118,32,61.348,58.809
"Class2",-8.367,49.943,17.438,69.248,"D","H",59.289,62.067,40,30.059,26.924
"Class1",57.226,34.028,46.948,48.02,"N","B",72.971,23.255,42,30.074,54.649
"Class3",37.459,29.384,29.861,73.903,"S","A",9.088,45.777,82,75.207,43.744
"Class4",81.43,58.704,5.998,52.61,"W","J",73.571,77.958,29,28.402,71.033
"Class2",35.701,50.867,29.438,67.238,"F","W",23.872,67.771,44,32.105,22.906
