"PVT1","EWU2","YVT3","XIU4","VWP5","TGF6","WGR7","OEX8","EBD9","JXG10","XGE11","Output7"
"G",15.186,46.945,29.016,64.713,19.61,75.068,2,"G",60.218,88.957,"Class3"
"X",21.222,18.72,89.627,69.275,32.163,1.092,7,"E",10.125,83.407,"Class1"
"M",67.871,68.617,23.186,41.197,64.677,63.168,62,"E",91.351,32.721,"Class2"
"Y",23.159,18.698,65.736,39.851,33.315,22.526,14,"S",7.995,82.185,"Class1"
"P",69.147,63.43,47.962,46.483,59.092,67.384,82,"E",67.473,17.648,"Class2"
"P",23.702,19.961,83.268,50.304,30.927,24.154,23,"A",9.462,46.84,"Class1"
"H",32.162,25.925,14.993,67.145,27.243,69.62,4,"S",56.981,90.043,"Class3"
"M",73.827,72.62,41.17,41.914,84.281,72.767,76,"W",81.05,13.767,"Class2"
"Y",21.078,19.968,89.511,64.259,31.9,19.299,15,"U",1.649,81.634,"Class1"
"H",23.603,34.446,18.561,74.666,16.16,66.187,4,"O",56.734,87.47,"Class3"
"C",78.441,70.39,39.156,25.418,55.476,62.689,76,"Q",90.554,63.124,"Class2"
"F",24.613,22.415,12.635,78.492,23.019,67.195,4,"E",53.284,81.665,"Class3"
"P",80.132,69.64,35.566,49.681,67.136,56.944,62,"W",67.721,24.314,"Class2"
"D",21.072,19.137,83.257,40.183,33.287,19.962,4,"U",24.534,45.34,"Class1"
"X",22.313,18.692,91.543,52.243,32.409,33.513,14,"T",5.751,46.472,"Class1"
"M",68.151,72.513,9.515,21.267,83.638,78.077,65,"T",98.222,15.08,"Class2"
"J",73.443,69.599,9.488,14.867,91.802,68.059,73,"T",95.105,83.687,"Class2"
"O",24.549,35.516,19.945,54.912,13.307,71.617,4,"E",54.557,81.493,"Class3"
"H",25.963,22.034,23.727,48.006,21.712,68.673,4,"G",60.388,86.51,"Class3"
"W",74.933,65.343,36.579,54.154,64.729,72.411,NA,"T",76.227,75.277,"Class2"
"H",24.29,43.426,14.994,39.744,28.14,74.089,2,"G",59.635,90.755,"Class3"
"P",22.338,17.533,81.079,43.09,32.174,13.791,3,"U",10.059,61.272,"Class1"
"H",28.872,38.341,28.597,41.555,15.597,73.273,2,"S",57.659,90.716,"Class3"
"F",23.353,37.805,15.54,67.59,19.87,69.149,4,"S",63.771,81.717,"Class3"
"P",23.619,19.884,85.638,57.686,33.079,9.203,NA,"E",6.621,77.041,"Class1"
"H",21.088,49.419,25.518,76.423,16.255,68.784,2,"D",62.829,83.204,"Class3"
"V",21.492,17.474,67.212,38.128,31.44,9.695,19,"A",13.28,50.687,"Class1"
"D",23.782,19.202,83.374,47.341,33.025,23.355,16,"T",27.151,77.94,"Class1"
"F",21.619,27.412,14.477,79.663,19.532,74.199,2,"S",58.449,90.465,"Class3"
"P",65.91,73.358,9.429,26.189,70.687,56.019,90,"W",63.542,7.892,"Class2"
"C",69.72,71.081,35.142,40.446,69.16,60.31,88,"E",89.287,42.38,"Class2"
NA,76.978,66.751,16.692,55.176,71.074,69.395,52,"W",78.105,4.212,"Class2"
"M",76.908,69.028,26.046,32.483,79.23,76.803,85,"Q",73.486,3.003,"Class2"
"H",22.293,27.05,7.694,29.724,21.286,69.778,2,"E",54.685,86.383,"Class3"
"O",34.683,49.015,16.769,67.262,16.978,73.154,4,"G",60.779,81.908,"Class3"
"D",24.117,18.394,67.435,65.401,32.04,26.986,20,"S",24.044,82.785,"Class1"
"J",79.326,72.971,4.795,55.412,87.886,57.484,78,"E",91.033,32.966,"Class2"
"O",29.72,22.436,1.56,52.384,16.86,74.155,3,"E",58.195,82.418,"Class3"
"P",19.146,19.338,70.951,68.386,31.955,41.342,10,"A",19.659,50.12,"Class1"
"D",21.866,18.347,84.597,42.486,31.493,31.453,7,"T",34.941,76.183,"Class1"
"L",15.406,46.153,22.062,59.897,18.892,71.744,3,"D",57.27,81.119,"Class3"
"P",74.293,63.19,13.976,37.565,75.677,67.88,89,"E",95.243,91.753,"Class2"
"J",72.915,73.307,12.289,45.853,43.914,80.362,56,"E",98.144,14.821,"Class2"
"F",14.582,23.212,19.229,45.03,22.953,67.114,2,"O",61.153,84.327,"Class3"
"M",78.52,71.672,23.971,16.011,65.358,63.907,72,"E",72.91,91.791,"Class2"
"L",27.455,37.726,19.695,38.39,17.714,77.93,2,"S",63.892,81.619,"Class3"
"H",20.524,37.933,21.367,41.057,15.015,68.105,3,"O",57.841,87.667,"Class3"
"W",78.357,68.037,21.118,32.337,79.063,59.281,75,"Y",92.034,7.883,"Class2"
"V",18.894,18.726,84.134,68.896,32.511,18.622,21,"U",13.147,65.002,"Class1"
"V",22.211,19.629,95.188,60.722,31.69,34.599,5,"S",26.791,46.923,"Class1"
"C",71.681,64.872,29.601,15.114,57.122,72.177,60,"T",77.338,97.625,"Class2"
"C",74.306,64.927,-0.593,27.998,48.22,65.409,75,"Y",65.804,68.043,"Class2"
"C",71.278,71.655,29.625,35.187,68.377,69.917,81,"Q",64.227,43.247,"Class2"
"M",69.149,73.522,29.31,18.515,84.498,62.869,78,"Q",97.292,64.602,"Class2"
"V",23.644,19.362,78.49,59.92,31.766,18.806,21,"T",10.375,72.131,"Class1"
"Y",22.543,18.897,81.199,62.812,32.579,1.459,15,"A",11.536,60.212,"Class1"
"H",35.633,33.426,15.365,58.561,26.754,68.258,4,"O",61.737,86.705,"Class3"
"C",72.341,73.67,43.225,29.313,66.615,63.425,87,"Q",81.104,74.109,"Class2"
NA,22.854,18.65,89.964,58.075,31.824,28.448,4,"A",32.266,54.575,"Class1"
"W",75.909,71.212,-1.082,13.972,66.397,63.097,76,"Q",68.967,7.856,"Class2"
"P",21.495,19.297,73.747,70.12,32.496,35.096,25,"U",11.72,50.684,"Class1"
"D",25.28,17.394,82.988,43.36,32.647,-4.73,23,"T",29.082,68.273,"Class1"
"H",22.903,27.008,18.749,51.154,21.587,74.084,4,"E",61.15,84.163,"Class3"
"O",35.58,42.192,17.586,36.657,20.561,74.501,NA,"S",63.323,88.444,"Class3"
NA,25.445,19.339,87.61,56.956,30.195,24.881,5,"E",0.609,70.3,"Class1"
"Y",19.92,18.037,78.938,53.972,32.845,21.952,19,"S",4.048,54.062,"Class1"
"P",76.814,72.791,48.321,36.828,85.62,84.421,59,"T",70.249,17.774,"Class2"
"W",65.116,65.514,-0.803,34.474,64.474,67.697,56,"Q",74.803,17.079,"Class2"
"X",20.714,18.509,65.855,61.864,33.32,16.822,7,"S",20.957,75.808,"Class1"
"P",75.424,66.255,17.513,42.994,70.263,69.119,59,"Q",94.016,93.051,"Class2"
"H",22.39,32.998,10.463,33.995,18.203,69.183,2,"S",61.536,87.213,"Class3"
"L",28.24,32.326,16.475,55.991,20.245,67.862,4,"S",56.633,92.638,"Class3"
"P",19.381,19.772,61.254,69.453,32.165,27.205,4,"E",1.88,71.763,"Class1"
"P",19.706,18.385,83.12,61.103,31.809,33.627,4,"S",29.377,84.248,"Class1"
"H",14.273,24.933,16.238,46.831,19.454,71.188,3,"O",61.266,88.427,"Class3"
"M",71.471,66.559,14.502,28.407,53.78,65.919,70,"E",98.267,84.044,"Class2"
"Y",18.98,18.99,89.575,39.111,31.939,-4.563,14,"E",21.206,68.737,"Class1"
"P",22.594,17.869,91.727,37.968,31.236,6.246,19,"T",17.143,56.069,"Class1"
"G",27.103,22.424,29.351,36.702,10.952,67.257,2,"D",54.235,92.827,"Class3"
"O",20.891,36.359,21.112,47.168,20.133,67.557,3,"G",53.283,84.852,"Class3"
"P",24.479,17.063,86.644,51.729,31.941,34.949,3,"A",1.984,62.665,"Class1"
"G",21.159,27.152,18.569,77.872,24.169,70.036,4,"S",54.435,89.564,"Class3"
"F",22.166,33.926,5.813,38.215,9.989,66.647,4,"O",55.863,84.219,"Class3"
NA,76.086,68.686,9.679,22.404,71.808,58.302,54,"T",89.678,36.516,"Class2"
"J",75.543,69.479,8.978,42.448,83.084,66.427,87,"W",77.004,52.117,"Class2"
"F",24.392,21.925,20.017,48.896,17.896,74.212,3,"S",53.166,89.165,"Class3"
"L",15.84,24.058,25.186,76.606,11.969,72.556,2,"O",59.377,91.108,"Class3"
"M",69.234,72.276,27.723,37.436,61.318,81.575,66,"Y",77.34,10.447,"Class2"
"V",15.69,17.487,90.368,41.458,30.44,30.596,4,"T",17.702,78.614,"Class1"
"H",25.083,27.694,31.944,46.54,22.241,69.484,3,"D",58.59,84.12,"Class3"
"G",19.672,25.08,23.486,84.631,18.396,66.141,4,"E",56.089,84.211,"Class3"
"W",69.899,67.415,14.469,46.818,63.609,63.015,52,"Y",82.625,29.443,"Class2"
"H",11.905,37.459,8.241,76.565,12.896,71.782,NA,"E",55.008,81.997,"Class3"
"F",25.42,28.141,19.175,61.731,21.156,72.818,2,"D",54.689,85.687,"Class3"
"L",16.885,22.7,25.854,71.97,13.031,69.359,3,"E",54.283,87.264,"Class3"
"D",22.641,17.781,82.794,58.484,32.107,29.649,19,"A",1.218,57.074,"Class1"
"D",18.172,17.758,102.339,57.885,32.757,40.154,10,"S",1.203,77.517,"Class1"
"F",26.756,41.76,9.409,34.008,14.596,67.056,2,"O",62.541,87.206,"Class3"
"P",24.563,18.862,85.021,65.257,31.804,16.747,3,"S",7.303,82.545,"Class1"
"C",80.29,70.784,27.969,54.587,89.127,62.76,87,"Y",91.748,10.091,"Class2"
"X",21.243,18.506,103.306,44.778,31.742,7.533,21,"S",21.66,66.694,"Class1"
"J",69.245,67.177,38.542,29.825,79.922,65.774,75,"W",85.454,76.109,"Class2"
"V",21.583,19.503,60.881,49.478,32.328,15.09,13,"T",0.188,64.14,"Class1"
"P",71.557,69.493,17.028,56.1,81.778,60.547,77,"Q",89.08,54.185,"Class2"
"O",32.873,46.956,22.796,32.561,15.061,68.021,4,"G",59.855,85.096,"Class3"
"J",75.089,63.726,16.956,15.878,60.594,52.033,80,"E",79.254,50.855,"Class2"
"P",68.635,67.302,6.382,26.617,75.662,72.973,89,"Q",89.518,82.53,"Class2"
"X",19.593,18.851,78.677,41.116,32.293,36.095,NA,"T",4.353,64.474,"Class1"
"Y",19.884,17.452,77.576,54.349,31.299,24.754,26,"A",16.539,81.297,"Class1"
"P",75.506,69.87,13.672,20.08,70.188,75.727,81,"Y",77.573,19.782,"Class2"
"Y",26.014,19.056,112.882,66.507,31.302,9.923,23,"T",29.034,53.919,"Class1"
"J",73.987,68.081,25.458,33.829,52.485,71.149,74,"Y",92.039,65.307,"Class2"
"D",25.028,18.133,63.962,46.265,31.911,9.98,7,"T",3.143,59.868,"Class1"
"D",21.353,18.083,86.084,41.407,31.72,11.569,4,"S",12.619,46.772,"Class1"
"Y",16.001,17.77,88.701,51.284,33.235,1.897,11,"T",6.678,80.627,"Class1"
"Y",21.358,19.435,90.319,49.291,32.918,14.026,19,"A",35.28,44.469,"Class1"
"F",30.448,43.643,17.242,83.899,22.215,70.715,2,"O",59.04,90.387,"Class3"
"V",18.814,18.07,89.58,48.753,31.135,23.361,15,"A",35.532,53.209,"Class1"
"G",21.923,39.786,14.135,68.254,19.663,74.452,3,"S",56.599,88.473,"Class3"
"D",22.644,18.105,89.753,54.321,32.1,10.881,9,"A",22.012,50.903,"Class1"
"V",22.381,18.477,84.292,46.544,31.617,23.332,25,"U",36.115,71.894,"Class1"
"V",20.664,17.833,95.487,39.509,31.186,-5.145,24,"U",8.387,43.854,"Class1"
"J",64.839,65.507,17.519,33.664,68.251,69.963,72,"E",77.184,68.065,"Class2"
"Y",18.904,18.92,93.451,47.702,30.936,31.786,20,"T",29.234,83.383,"Class1"
"H",21.45,26.72,14.556,50.052,27.679,66.409,3,"G",54.701,87.453,"Class3"
"F",28.77,31.582,16.104,84.031,22.981,70.089,3,"G",60.115,91.642,"Class3"
"P",72.446,65.695,21.28,52.098,57.073,53.085,66,"Q",93.359,70.617,"Class2"
"M",77.764,65.056,33.854,38.855,68.988,55.804,56,"W",87.778,64.005,"Class2"
"M",77.289,67.212,-5.639,21.887,65.275,54.184,71,"Q",65.173,55.68,"Class2"
"L",12.638,21.349,14.545,75.811,24.991,67.84,NA,"D",57.591,81.443,"Class3"
"G",17.105,26.026,17.706,47.357,25.046,69.3,4,"S",61.714,91.653,"Class3"
"C",73.038,72.922,27.706,44.04,63.773,59.58,77,"W",93.867,69.355,"Class2"
"O",33.359,21.972,21.971,27.922,14.153,68.589,4,"S",56.166,88.039,"Class3"
"F",34.18,32.669,23.968,83.035,20.414,64.848,3,"O",55.522,82.291,"Class3"
"M",74.038,69.987,15.134,44.339,78.952,55.582,76,"E",65.897,67.152,"Class2"
"O",30.944,38.783,29.345,37.435,17.231,70.431,2,"S",53.884,92.888,"Class3"
"L",22.433,34.979,21.976,43.519,13.647,72.936,3,"E",56.331,86.523,"Class3"
"M",79.712,63.218,26.728,22.194,68.949,52.166,91,"E",78.204,29.03,"Class2"
"H",23.467,31.039,9.42,52.009,15.534,69.614,2,"O",61.788,82.27,"Class3"
"P",21.79,17.216,62.759,50.694,31.932,23.146,25,"T",24.123,71.923,"Class1"
"L",40.491,35.082,26.062,53.196,16.739,65.424,3,"D",62.161,89.924,"Class3"
"W",71.219,71.976,13.65,30.893,85.888,70.587,87,"T",82.969,94.778,"Class2"
"X",20.32,19.996,91.16,66.4,31.625,39.991,22,"T",13.674,50.525,"Class1"
"C",68.997,63.779,34.037,15.08,64.657,71.867,86,"W",71.956,66.876,"Class2"
"P",77.221,69.595,34.589,12.058,69.677,63.674,59,"Q",71.848,67.953,"Class2"
"M",68.928,69.442,34.185,44.958,83.818,59.04,54,"W",78.762,61.576,"Class2"
"F",23.885,42.681,20.359,43.547,15.427,64.912,4,"E",53.825,85.052,"Class3"
"C",73.081,71.134,33.476,29.927,82.364,69.894,64,"T",78.222,44.541,"Class2"
"C",74.005,63.11,23.172,25.857,73.655,61.897,81,"T",84.348,78.976,"Class2"
"D",21.62,19.611,80.13,62.188,31.055,12.911,20,"S",11.086,55.961,"Class1"
"P",22.987,18.114,69.888,69.171,31.897,39.179,14,"A",7.709,65.176,"Class1"
"Y",24.667,18.185,83.808,53.147,31.806,4.104,15,"S",1.976,75.851,"Class1"
"G",23.227,34.779,14.277,52.186,16.339,69.198,2,"O",61.149,89.304,"Class3"
"F",17.685,32.135,16.229,66.726,15.379,67.357,NA,"G",60.247,84.574,"Class3"
"H",21.51,42.349,29.926,74.768,21.791,71.778,4,"S",60.868,90.063,"Class3"
"P",72.402,67.155,28.041,38.278,56.037,64.271,58,"Y",74.776,39.984,"Class2"
"H",35.24,34.828,6.845,71.871,22.311,69.96,3,"E",59.177,88.413,"Class3"
"J",62.255,73.857,29.792,42.915,84.346,61.056,60,"W",64.865,82.346,"Class2"
"Y",24.078,18.983,60.572,71.207,31.926,1.515,11,"T",3.296,61.641,"Class1"
"J",71.087,63.068,48.729,41.533,59.688,57.044,59,"W",76.272,92.177,"Class2"
"V",22.312,18.272,86.286,53.606,31.937,33.164,13,"S",13.356,60.129,"Class1"
"M",72.562,66.633,17.406,17.44,88.524,62.959,76,"W",88.34,8.881,"Class2"
"F",25.152,44.975,19.617,42.516,21.575,70.019,2,"O",61.337,85.357,"Class3"
"G",26.967,32.102,23.414,64.382,21.378,70.176,4,"S",63.288,84.89,"Class3"
"P",75.521,73.31,11.79,49.785,66.689,62.412,91,"W",88.96,50.607,"Class2"
"D",21.457,19.437,88.513,55.746,33.444,-6.075,18,"S",33.122,77.553,"Class1"
"D",21.155,18.686,90.155,38.511,31.163,9.618,24,"E",0.94,77.138,"Class1"
"M",76.443,73.374,13.597,30.757,67.332,68.919,53,"Q",97.193,27.211,"Class2"
"X",27.266,19.522,79.486,43.051,31.423,20.383,17,"T",21.056,68.935,"Class1"
NA,77.076,69.518,29.449,26.995,62.345,55.676,87,"Y",92.759,51.463,"Class2"
"J",69.457,71.723,8.862,39.11,60.435,55.209,80,"W",72.791,66.138,"Class2"
"W",71.783,69.293,23.228,43.646,60.716,63.301,56,"Q",73.737,94.273,"Class2"
NA,21.185,42.73,7.785,63.003,20.932,69.519,2,"S",62.301,90.729,"Class3"
"C",77.322,66.631,35.333,27.278,63.31,66.793,66,"T",96.332,81.445,"Class2"
"P",70.1,68.28,36.754,29.107,80.092,65.824,87,"Y",91.569,23.375,"Class2"
"D",19.398,19.328,76.218,40.372,31.98,21.521,25,"T",19.837,79.563,"Class1"
"D",17.388,17.252,106.183,64.958,33.19,6.987,10,"S",30.174,62.177,"Class1"
"F",31.855,46.749,13.995,36.408,20.862,67.132,2,"E",55.971,90.146,"Class3"
"X",16.487,19.875,92.371,64.518,32.41,2.775,7,"E",23.838,57.069,"Class1"
"F",23.131,28.608,13.866,30.784,24.454,68.494,4,"E",60.3,83.043,"Class3"
"D",21.631,18.307,89.041,71.973,31.993,31.666,11,"A",3.249,66.957,"Class1"
"J",81.866,69.507,30.129,51.37,82.818,55.632,58,"W",83.968,11.687,"Class2"
"V",22.418,18.079,65.314,48.894,31.461,-10.255,17,"S",32.519,65.498,"Class1"
"C",78.623,65.843,22.225,44.103,66.688,68.301,56,"Q",76.183,60.822,"Class2"
"P",74.275,63.276,5.59,14.413,72.09,54.425,59,"T",87.756,96.28,"Class2"
"J",75.469,73.774,16.859,34.601,88.757,55.031,85,"Y",63.602,46.681,"Class2"
"V",22.295,19.498,59.016,65.814,31.452,35.966,5,"A",34.955,44.565,"Class1"
"H",27.224,28.769,12.255,26.337,19.074,66.232,4,"D",56.965,89.047,"Class3"
"G",17.014,49.46,27.937,26.495,18.8,69.559,2,"G",63.127,83.127,"Class3"
"C",75.597,70.977,27.321,51.095,77.658,59.347,80,"W",86.726,7.869,"Class2"
"P",23.521,18.556,101.013,61.741,32.619,18.304,13,"A",29.476,60.642,"Class1"
"V",20.571,18.215,82.75,41.795,31.963,25.788,8,"T",9.343,52.684,"Class1"
"P",74.607,63.065,7.796,22.291,71.879,68.852,NA,"Q",90.116,64.293,"Class2"
"C",73.722,66.181,21.999,12.16,74.275,63.572,52,"Q",95.117,19.597,"Class2"
"W",75.718,67.428,26.279,53.934,71.819,55.592,86,"Y",67.851,95.44,"Class2"
"Y",21.096,18.662,80.687,66.377,30.985,35.087,8,"A",20.55,53.859,"Class1"
"J",71.916,72.824,25.132,36.572,83.22,56.119,64,"W",86.882,77.24,"Class2"
"V",23.587,17.922,94.105,62.66,30.58,-1.379,7,"A",12.159,66.132,"Class1"
"J",70.025,70.047,18.002,46.792,57.76,58.464,53,"E",79.075,94.7,"Class2"
"O",31.915,41.975,18.822,53.591,28.036,66.282,2,"E",57.439,92.593,"Class3"
"Y",21.953,19.505,66.854,58.969,32.4,5.161,5,"U",8.101,77.902,"Class1"
"V",20.123,19.895,79.058,54.877,33.528,35.771,21,"S",3.157,63.939,"Class1"
"L",24.864,32.6,12.924,71.494,25.037,70.365,3,"G",61.749,89.108,"Class3"
"W",76.892,69.263,28.806,30.212,60.327,59.764,59,"T",98.83,48.526,"Class2"
"C",69.655,64.769,17.217,13.602,67.988,71.883,77,"T",65.429,28.49,"Class2"
"W",81.71,73.896,20.729,45.861,63.81,61.8,58,"T",91.903,43.033,"Class2"
"O",32.161,31.903,5.601,72.626,15.418,73.448,2,"E",58.784,82.645,"Class3"
"C",77.609,71.477,31.553,42.87,74.386,69.636,56,"Q",65.343,22.597,"Class2"
"O",30.811,35.52,18.085,58.993,17.659,70.057,4,"G",59.306,81.301,"Class3"
"P",69.57,69.358,32.212,47.446,54.182,62.39,86,"E",99.956,89.101,"Class2"
"W",71.673,68.847,24.782,19.649,85.252,68.909,66,"T",71.168,23.621,"Class2"
"G",25.233,31.822,15.455,76.769,14.446,68.602,4,"G",58.32,86.183,"Class3"
"P",67.96,65.29,21.011,22.41,49.144,73.105,82,"Q",81.716,89.746,"Class2"
"F",27.845,46.177,3.249,27.385,22.236,75.864,4,"G",59.277,92.266,"Class3"
"P",19.379,17.192,75.742,41.964,31.92,26.384,10,"U",11.208,46.091,"Class1"
"V",23.912,19.789,87.538,36.682,32.095,20.289,24,"S",15.972,62.239,"Class1"
NA,67.53,73.928,-0.732,42.961,78.232,69.503,60,"Y",81.041,79.703,"Class2"
NA,76.39,72.438,20.468,35.606,67.937,70.554,88,"Y",96.435,97.979,"Class2"
"H",28.259,25.727,13.115,74.481,22.24,66.748,3,"O",62.651,92.98,"Class3"
"P",79.876,67.598,14.581,18.772,50.877,66.115,59,"E",77.958,55.191,"Class2"
"W",71.147,72.109,0.661,43.069,81.357,69.233,76,"W",80.474,30.351,"Class2"
"Y",24.371,18.845,79.807,55.035,32.036,14.608,15,"E",0.95,43.772,"Class1"
"J",73.727,71.368,9.775,16.223,62.512,61.464,58,"W",80.649,26.651,"Class2"
"X",27.916,18.363,84.534,61.687,31.974,23.9,20,"A",24.34,44.304,"Class1"
"J",71.683,70.176,16.864,12.717,81.925,76.554,54,"W",63.056,33.354,"Class2"
"L",22.468,38.089,20.968,70.249,21.867,72.374,NA,"D",59.683,87.937,"Class3"
"C",70.421,72.842,37.401,28.333,77.828,52.012,67,"T",81.39,64.863,"Class2"
"H",26.941,33.509,28.533,41.54,27.17,75.311,2,"S",54.047,83.237,"Class3"
"X",24.526,17.253,75.83,59.244,32.264,17.688,5,"T",10.966,76.067,"Class1"
"L",28.111,44.59,22.188,76.119,17.013,71.9,4,"G",54.086,87.012,"Class3"
"D",19.335,19.131,69.873,59.812,31.447,18.745,8,"E",0.163,64.231,"Class1"
"P",75.249,69.87,22.008,39.558,72.307,62.744,72,"E",76.132,6.567,"Class2"
"X",21.122,19.723,75.319,55.189,32.263,19.828,23,"U",3.262,78.477,"Class1"
"C",73.723,73.307,40.482,50.451,81.506,71.562,59,"T",89.498,79.287,"Class2"
"P",74.479,69.166,17.258,18.313,80.937,75.35,88,"Y",79.67,84.897,"Class2"
"P",23.597,19.634,82.23,60.526,32.116,26.553,9,"S",30.098,47.826,"Class1"
"M",76.074,68.648,25.04,14.211,74.135,70.707,53,"E",93.974,36.128,"Class2"
"G",34.521,38.93,21.635,29.133,19.767,69.286,3,"D",63.761,81.308,"Class3"
"F",23.306,38.187,15.021,82.106,23.781,71.392,2,"O",59.645,85.447,"Class3"
"V",27.816,19.829,87.674,61.61,32.307,6.138,8,"U",22.46,81.505,"Class1"
"P",20.124,19.603,81.535,68.71,31.993,23.49,4,"S",10.239,54.149,"Class1"
"Y",26.124,18.316,71.158,61.145,32.027,2.445,22,"U",16.33,55.8,"Class1"
"D",21.281,18.244,77.223,58.892,30.937,25.235,7,"T",7.699,62.906,"Class1"
"H",27.635,40.974,22.524,77.06,20.572,66.062,NA,"E",56.933,81.124,"Class3"
"H",31.531,47.862,7.881,32.517,17.79,70.155,4,"O",53.878,88.291,"Class3"
"H",25.672,35.446,15.808,57.959,19.756,71.219,3,"O",56.03,92.712,"Class3"
"D",21.099,19.189,79.399,58.608,32.491,25.381,5,"A",5.415,44.286,"Class1"
"L",38.685,47.701,12.611,62.345,27.733,63.392,3,"O",53.32,89.668,"Class3"
"C",78.394,71.039,21.052,46.496,72.552,67.018,62,"T",89.673,61.04,"Class2"
"J",75.892,73.931,32.827,45.553,80.53,65.663,72,"Y",91.977,76.518,"Class2"
"W",77.643,73.133,14.025,21.984,60.676,59.233,85,"T",73.973,53.566,"Class2"
"L",25.606,42.421,14.52,36.033,17.165,67.902,2,"O",63.587,86.641,"Class3"
"X",21.531,18.5,77.998,63.503,31.229,12.107,18,"S",0.564,59.873,"Class1"
"L",22.189,36.075,20.319,28.142,18.952,66.982,4,"S",60.659,83.505,"Class3"
"Y",28.044,18.529,93.181,58.695,32.488,49.979,23,"A",33.132,58.147,"Class1"
"Y",17.667,19.467,67.409,56.93,32.446,21.68,7,"U",13.089,66.086,"Class1"
"H",30.057,37.914,10.083,59.005,17.143,69.353,3,"G",55.204,88.754,"Class3"
"V",20.354,18.916,73.095,55.787,32.057,28.462,19,"T",11.418,61.295,"Class1"
"H",16.218,28.484,27.364,69.356,10.033,67.387,2,"O",62.011,88.758,"Class3"
"L",24.296,39.523,14.352,31.824,12.871,74.218,2,"E",54.024,88.947,"Class3"
"F",24.992,28.429,10.754,54.289,20.76,68.22,2,"O",53.9,85.26,"Class3"
"W",70.576,70.153,18.907,39.514,62.255,51.963,82,"Q",91.627,38.608,"Class2"
"J",80.526,71.859,25.644,56.239,79.4,79.529,63,"Q",73.983,67.113,"Class2"
"C",71.931,68.82,2.15,52.936,53.227,68.222,67,"W",78.066,34.694,"Class2"
"M",78.391,67.475,24.879,26.713,56.001,67.055,82,"E",67.837,77.528,"Class2"
"O",27.325,48.18,11.696,34.871,21.784,68.173,2,"S",61.26,89.692,"Class3"
"F",19.22,34.95,24.883,51.352,14.461,71.419,2,"E",59.763,91.527,"Class3"
"H",29.318,41.921,18.308,50.033,20.178,68.993,3,"O",58.064,84.425,"Class3"
"F",20.922,29.192,24.214,27.718,18.242,70.099,3,"S",61.081,81.098,"Class3"
"D",25.471,19.879,88.463,51.801,31.677,47.817,23,"U",28.09,70.126,"Class1"
"M",86.297,69.099,15.921,16.016,78.692,69.895,88,"E",94.318,3.037,"Class2"
"D",18.638,18.882,76.936,60.023,32.523,13.02,9,"A",3.716,57.327,"Class1"
"Y",19.852,18.325,91.7,43.224,31.28,38.751,NA,"S",32.908,52.362,"Class1"
"L",21.166,23.084,23.253,65.042,18.327,71.333,4,"E",54.318,82.275,"Class3"
"M",72.902,63.849,11.095,27.173,58.122,67.8,58,"E",94.036,77.258,"Class2"
"C",76.579,68.458,25.649,28.771,76.338,71.311,NA,"W",97.447,63.212,"Class2"
"L",43.108,35.909,23.266,53.896,24.454,67.045,2,"D",58.948,88.312,"Class3"
"O",24.642,39.866,24.824,76.041,17.726,68.345,3,"D",58.936,90.272,"Class3"
"W",68.425,64.112,25.137,24.346,66.028,61.029,60,"E",68.61,30.959,"Class2"
"P",71.693,70.029,31.889,47.461,73.975,64.9,66,"Y",95.669,37.188,"Class2"
"O",32.507,43.968,12.745,60.613,15.766,66.193,2,"D",56.22,90.892,"Class3"
"F",32.002,47.524,22.883,59.377,21.478,68.354,4,"G",62.454,87.273,"Class3"
NA,66.952,64.886,38.4,41.308,72.268,76.139,72,"Q",74.988,92.569,"Class2"
"D",20.983,19.874,75.959,50.432,30.518,43.236,26,"A",8.775,53.34,"Class1"
"F",19.499,22.007,17.599,61.227,25.581,66.171,4,"S",63.476,89.621,"Class3"
"G",39.386,39.811,17.095,49.16,18.88,76.573,4,"G",56.426,86.544,"Class3"
"J",73.864,64.588,20.962,46.627,82.225,79.834,71,"E",86.003,58.269,"Class2"
"H",19.231,33.891,15.563,35.382,13.446,69.28,2,"D",53.417,90.947,"Class3"
"O",31.128,36.985,10.644,77.445,23.459,72.901,3,"G",54.27,81.46,"Class3"
"P",21.989,18.205,95.26,53.213,32.547,27.728,10,"E",4.642,64.194,"Class1"
"V",25.368,19.698,89.158,70.079,32.149,10.889,17,"A",24.729,58.141,"Class1"
"W",70.21,63.842,24.548,18.854,71.182,50.574,53,"E",73.071,7.39,"Class2"
"L",26.385,21.083,19.741,62.107,17.671,71.672,3,"O",56.495,82.123,"Class3"
"F",17.211,33.449,30.8,73.992,15.923,69.778,4,"E",63.193,83.591,"Class3"
"Y",18.148,18.553,90.103,50.803,32.313,21.166,16,"S",12.983,77.086,"Class1"
"V",23.783,18.242,80.148,38.006,31.94,19.819,24,"S",5.13,46.918,"Class1"
"L",23.411,42.424,11.603,27.255,19.122,73.493,3,"S",53.486,86.35,"Class3"
"G",24.725,28.923,13.62,36.38,22.658,65.647,2,"E",54.294,86.565,"Class3"
"X",19.561,18.696,69.13,53.554,31.216,19.234,26,"A",10.036,51.336,"Class1"
"P",20.161,17.584,67.1,49.08,31.795,15.442,3,"T",7.49,52.439,"Class1"
"L",28.331,43.016,22.394,50.292,18.799,72.167,3,"O",59.42,91.094,"Class3"
