"CAI1","LOM2","CNL3","ZIY4","GCO5","UQO6","HAI7","CWY8","SUO9","Output20","UNL10"
"T",52.496,62,22.688,20.196,4.976,67.583,68.429,66.231,"Class1",31.851
"L",47.19,22,79.537,86.451,53.529,49.791,33.385,80.75,"Class4",22.442
"L",55.125,34,96.759,69.703,98.368,63.046,20.693,12.786,"Class3",97.519
"L",47.475,33,100.334,77.345,93.08,69.595,23.257,NA,"Class3",95.726
"C",40.986,36,43.776,80.58,32.875,55.384,21.713,54.644,"Class4",17.923
"A",43.165,34,94.276,81.098,95.884,57.696,42.84,19.498,"Class3",89.959
"Y",38.488,33,89.661,57.544,98.56,57.951,34.511,9.837,"Class3",95.894
"Y",50.605,32,97.916,87.019,89.211,56.977,43.012,12.388,"Class3",93.594
"D",36.183,34,95.367,65.264,97.128,46.857,41.58,13.275,"Class3",92.925
"B",79.172,35,93.206,67.531,97.934,71.539,20.217,18.599,"Class3",88.735
"Y",72.192,22,32.234,67.697,68.812,26.14,61.522,2.9,"Class2",24.162
"B",81.272,32,96.337,69.647,86.717,71.27,55.783,19.533,"Class3",79.154
"D",78.659,10,19.127,91.646,85.338,19.292,53.537,11.393,"Class2",35.908
NA,67.032,77,21.014,14.457,18.719,58.401,53.897,69.611,"Class1",30.758
"U",71.237,23,39.203,86.749,69.906,20.894,70.624,5.813,"Class2",42.172
"P",50.141,41,67.565,32.511,28.404,44.299,43.907,70.954,"Class5",55.426
"L",24.896,27,62.69,78.584,57.095,50.9,69.505,78.6,"Class4",18.798
"B",65.135,32,97.682,56.358,93.389,73.351,27.526,10.447,"Class3",95.476
"D",68.132,77,19.109,16.591,35.997,64.522,42.229,59.666,"Class1",26.385
"Y",37.164,19,37.24,89.586,65.134,7.602,70.328,5.659,"Class2",37.48
"U",42.93,23,55.237,50.163,51.341,38.21,63.293,8.568,"Class2",13.584
"N",49.774,34,42.921,28.21,29.04,39.792,42.34,72.07,"Class5",44.032
"S",60.03,25,30.269,77.837,50.099,29.258,69.701,4.384,"Class2",43.606
"Y",63.417,20,6.43,89.25,59.508,6.871,75.126,11.369,"Class2",19.921
"D",51.534,77,19.917,11.563,17.988,63.894,44.298,50.951,"Class1",28.418
"N",48.684,50,51.224,31.212,21.047,46.442,46.255,76.549,"Class5",92.864
"C",36.189,43,89.052,88.494,92.274,40.916,45.697,68.63,"Class4",20.857
"Z",49.585,68,70.021,31.705,25.593,34.676,29.445,71.927,"Class5",41.122
"Z",51.689,38,76.437,28.528,10.268,49.921,51.226,49.246,"Class5",38.357
"A",39.679,68,76.895,71.439,56.925,35.878,40.45,50.782,"Class4",20.418
"T",61.494,80,28.971,8.506,22.602,65.255,81.334,70.182,"Class1",38.505
"D",55.971,57,20.725,18.949,5.268,65.727,70.786,46.944,"Class1",44.826
"Y",75.706,25,29.903,84.795,32.976,62.776,67.975,10.751,"Class2",33.794
"U",49.375,13,20.71,69.356,75.353,46.52,52.038,9.41,"Class2",33.21
"G",43.853,67,24.658,8.665,18.54,61.704,55.85,94.44,"Class1",30.65
"Z",54.646,55,22.972,9.956,16.637,56.922,60.072,54.801,"Class1",45.403
"D",61.112,53,22.308,18.631,18.384,66.564,53.252,76.876,"Class1",30.681
"A",46.639,33,99.717,35.228,94.742,52.211,9.007,15.432,"Class3",85.529
"K",53.616,13,59.206,72.312,92.802,45.009,68.859,81.094,"Class4",27.038
"D",65.079,79,21.94,18.766,35.203,65.024,49.49,72.556,"Class1",45.021
"D",45.897,7,-3.779,60.662,85.269,32.151,65.364,3.582,"Class2",35.066
"Z",51.863,35,57.167,33.126,2.578,49.418,33.55,55.814,"Class5",34.444
"B",35.094,35,96.017,47.048,91.562,56.435,22.868,12.567,"Class3",91.735
"Z",47.089,61,20.014,12.422,27.216,65.893,67.408,52.758,"Class1",32.94
"U",68.142,15,39.798,47.045,78.827,29.279,54.964,10.32,"Class2",49.662
"Y",64.138,21,32.722,90.704,73.699,53.195,55.111,10.616,"Class2",33.728
"D",74.674,14,31.791,72.163,84.673,21.097,66.967,7.487,"Class2",35.488
"G",49.768,72,22.08,12.6,21.501,61.939,88.823,46.171,"Class1",44.45
"Y",44.334,3,22.069,48.002,62.087,23.39,64.963,3.562,"Class2",32.908
"P",47.054,65,81.881,28.081,31.552,45.815,36.591,55.051,"Class5",38.06
"K",28.86,7,59.454,68.303,34.289,39.664,42.917,52.895,"Class4",20.54
"G",67.631,54,22.254,13.37,21.305,60.657,85.451,73.555,"Class1",29.187
"L",72.08,33,95.43,65.456,91.505,53.193,15.76,9.852,"Class3",91.344
"Y",65.488,33,99.305,89.908,87.284,68.781,42.348,11.441,"Class3",83.229
"B",35.751,33,93.553,31.491,99.198,60.415,48.537,6.777,"Class3",78.551
"C",50.855,37,49.404,75.038,43.425,64.754,56.936,53.648,"Class4",21.688
"B",66.356,75,20.583,10.002,36.103,71.288,86.781,NA,"Class1",27.257
"A",23.949,34,97.238,92.441,96.58,54.945,20.741,10.443,"Class3",98.678
"Q",45.983,50,56.736,31.755,40.526,36.573,50.775,56.31,"Class5",28.569
"Y",61.479,2,24.746,72.565,52.508,16.63,63.181,8.619,"Class2",62.402
"B",28.062,35,95.861,77.997,95.278,42.701,46.002,18.039,"Class3",75.733
"U",64.95,20,18.342,80.543,89.549,10.988,64.018,5.646,"Class2",31.992
"Z",64.495,22,30.883,78.931,73.915,21.937,73.515,NA,"Class2",43.173
"P",48.974,42,59.162,31.069,18.228,40.314,42.7,68.669,"Class5",64.222
NA,49.373,66,52.274,25.246,6.209,31.207,26.676,76.355,"Class5",48.573
"Y",31.472,33,90.745,55.962,92.107,64.696,37.347,NA,"Class3",89.773
"U",68.567,24,39.928,68.959,51.29,27.133,69.307,11.531,"Class2",31.128
"P",46.769,52,24.346,32.771,58.257,52.674,36.213,83.531,"Class5",70.932
"P",46.378,51,35.12,27.638,40.477,38.801,33.611,63.62,"Class5",62.929
"Y",59.487,12,31.657,73.364,83.354,45.285,61.507,9.963,"Class2",42.788
"A",35.713,35,98.27,35.514,94.183,61.271,23.822,9.392,"Class3",96.29
"B",78.761,34,93.084,77.06,99.592,56.963,31.941,10.43,"Class3",91.754
"B",25.152,32,96.057,59.647,94.545,53.571,43.256,7.012,"Class3",88.788
"D",71.913,12,26.495,81.146,80.28,20.422,70.409,8.554,"Class2",21.879
"Y",53.147,17,45.728,79.105,59.254,0.212,52.2,11.31,"Class2",39.366
"Y",27.413,35,93.074,43.568,88.221,67.722,59.562,16.426,"Class3",89.019
"N",48.254,66,44.35,25.374,14.558,30.607,33.133,40.673,"Class5",55.077
"B",59.342,73,22.947,15.522,19.249,73.529,72.597,55.978,"Class1",27.831
"B",37.796,35,93.913,56.098,97.259,62.491,57.408,14.425,"Class3",97.029
"D",29.61,35,99.59,57.491,98.327,55.13,25.942,17.572,"Class3",94.839
"G",55.106,61,19.679,10.512,23.808,67.182,59.529,65.559,"Class1",41.25
NA,62.403,14,45.048,89.852,67.969,9.05,60.598,9.937,"Class2",34.259
"Z",50.386,54,30.364,30.369,-1.233,46.407,26.786,63.736,"Class5",62.2
"N",44.819,37,29.378,33.421,64.032,52.208,42.6,NA,"Class5",44.453
"D",74.522,34,94.649,52.677,99.75,57.026,45.738,7.448,"Class3",83.515
"S",50.967,24,28.891,92.837,53.905,20.055,52.336,5.74,"Class2",28.144
"C",46.472,5,73.337,70.009,54.113,44.577,22.901,45.845,"Class4",24.924
"C",41.824,21,30.463,66.254,97.617,57.305,71.087,81.876,"Class4",22.003
"G",56.48,57,22.524,22.963,16.057,57.316,68.885,59.196,"Class1",49.523
"N",48.394,66,60.946,32.362,3.192,38.124,33.635,40.391,"Class5",49.674
"Z",63.809,69,16.627,8.857,18.555,65.979,49.272,53.593,"Class1",38.477
"S",70.236,26,32.515,69.082,64.684,23.546,55.316,5.135,"Class2",51.144
"P",50.061,48,34.22,33.562,61.836,37.187,38.027,46.615,"Class5",54.596
NA,29.392,32,96.388,90.692,100.908,60.125,39.22,12.502,"Class3",75.424
NA,41.702,78,19.913,14.656,25.123,60.136,71.328,85.72,"Class1",23.782
"B",81.981,33,94.886,84.935,92.534,60.665,45.902,17.492,"Class3",77.611
"L",82.37,34,94.457,81.184,93.736,61.047,10.017,15.337,"Class3",97.36
"D",68.883,34,98.93,58.234,96.833,44.497,11.401,16.225,"Class3",109.66
"U",42.164,25,17.307,63.534,78.706,44.712,71.856,10.627,"Class2",32.678
NA,58.534,71,20.276,13.627,21.697,65.29,89.636,86.876,"Class1",15.521
"Y",72.402,33,92.875,52.066,96.342,56.638,48.976,14.963,"Class3",91.74
"A",35.099,69,32.373,68.553,91.423,53.05,47.265,NA,"Class4",22.038
"Y",36.105,15,8.066,89.351,56.373,32.924,64.04,1.931,"Class2",39.823
"B",40.388,33,93.53,72.396,95.126,58.168,48.69,11.036,"Class3",88.706
"P",46.067,41,15.656,31.954,44.324,49.173,41.083,69.854,"Class5",40.402
"T",62.722,55,25.272,12.891,10.373,63.04,81.952,90.378,"Class1",22.091
"L",44.536,33,94.26,45.942,95.111,54.582,22.643,17.808,"Class3",77.783
NA,33.21,35,96.132,42.494,97.107,77.974,48.7,18.902,"Class3",93.987
"Z",69.992,10,40.705,47.505,74.117,31.072,70.109,NA,"Class2",36.463
"Z",49.487,62,66.648,29.292,31.231,58.929,32.218,60.151,"Class5",65.464
"C",50.608,11,68.852,75.42,45.196,50.016,78.627,63.966,"Class4",22.803
"L",30.532,33,94.023,40.214,90.486,51.671,55.862,8.453,"Class3",77.487
"L",59.675,33,92.522,84.885,94.024,46.787,44.64,5.833,"Class3",86.261
"W",50.972,42,100.908,29.104,35.902,40.11,52.309,NA,"Class5",65.455
"Z",57.723,70,24.712,19.27,13.865,63.169,78.705,89.666,"Class1",41.615
"D",72.189,35,97.316,65.186,95.031,58.336,42.874,6.961,"Class3",79.345
"D",52.971,10,42.825,47.148,46.398,19.25,69.453,8.562,"Class2",38.144
"D",45.606,69,17.585,12.73,29.527,68.239,90.54,80.296,"Class1",25.894
"W",47.274,61,43.734,27.885,22.681,55.536,49.683,50.278,"Class5",39.497
"A",73.947,33,92.135,58.628,96.327,46.953,18.088,7.325,"Class3",85.294
"A",49.741,33,93.665,90.788,99.593,60.576,16.598,5.789,"Class3",92.91
"C",15.512,57,85.325,74.436,29.992,42.026,57.992,65.377,"Class4",26.065
NA,58.491,6,27.754,53.951,41.292,46.191,64.648,4.923,"Class2",35.567
"T",41.387,49,21.865,12.375,0.261,69.473,81.532,57.842,"Class1",54.001
NA,29.194,33,97.912,82.922,96.688,66.591,51.745,6.519,"Class3",105.984
"Y",68.541,32,93.761,87.809,101.013,79.17,26.87,8.326,"Class3",91.684
"Q",47.193,62,39.071,32.432,6.03,54.693,44.308,65.581,"Class5",48.057
"Z",45.966,63,68.587,30.621,49.43,38.021,48.53,73.6,"Class5",43.738
"L",19.488,60,51.69,75.341,40.181,50.298,49.534,75.113,"Class4",20.288
"Y",68.796,5,31.987,51.242,66.304,35.771,75.018,11.785,"Class2",31.012
"W",46.439,54,66.158,30.94,34.221,39.242,46.952,52.499,"Class5",49.911
"A",36.229,71,69.643,78.806,57.438,45.121,47.289,75.066,"Class4",19.174
"G",57.615,85,21.767,14.668,8.427,69.386,90.437,48.423,"Class1",18.51
"Q",45.35,54,25.836,30.463,36.908,51.125,53.757,88.439,"Class5",51.177
NA,51.803,40,54.714,74.153,34.952,55.037,39.844,73.056,"Class4",16.827
"L",57.043,34,94.651,97.568,93.002,68.842,9.151,18.441,"Class3",108.141
"W",48.024,57,67.058,27.133,-5.709,48.286,50.963,81.615,"Class5",42.714
"Y",28.364,32,95.505,97.892,96.951,75.212,56.985,7.11,"Class3",90.518
"Y",44.501,32,95.799,72.153,94.1,50.132,17.07,7.096,"Class3",82.544
"B",28.057,34,92.621,73.58,91.705,56.371,10.912,11.717,"Class3",79.506
"Q",51.413,60,51.709,26.137,31.822,44.762,40.995,59.661,"Class5",49.507
"K",15.861,9,45.969,86.207,91.623,50.47,57.729,75.873,"Class4",17.548
"N",51.363,43,55.461,88.805,41.159,33.538,74.95,68.991,"Class4",21.889
"Z",54.232,81,20.282,18.871,27.36,62.937,60.086,62.546,"Class1",0.614
"Z",79.623,7,43.008,85.353,46.128,33.2,71.553,6.083,"Class2",31.682
"T",44.836,52,25.84,20.667,21.724,68.448,60.208,95.807,"Class1",38.283
"Y",36.698,24,39.556,64.792,54.599,57.119,58.627,NA,"Class2",39.242
"Z",71.94,4,36.087,83.374,52.419,37.945,75.026,11.943,"Class2",28.452
"N",18.665,33,72.309,68.392,45.414,35.646,34.896,45.836,"Class4",16.885
"T",43.885,71,20.671,10.246,31.999,53.879,90.201,65.81,"Class1",38.248
"G",64.016,85,23.453,8.992,22.453,69.85,46.676,83.676,"Class1",28.322
"P",50.719,39,29.637,31.804,71.592,55.406,33.293,69.643,"Class5",46.819
"Z",64.289,78,18.529,17.877,5.848,68.056,62.083,55.354,"Class1",51.399
"B",69.167,76,22.239,16.402,11.72,70.427,91.641,95.05,"Class1",43.394
"A",23.012,23,92.836,83.979,79.765,42.547,54.893,77.175,"Class4",20.305
"L",58.895,35,95.826,68.495,98.035,55.124,12.003,5.848,"Class3",96.62
"L",39.869,65,70.052,80.559,44.929,56.931,28.395,79.116,"Class4",20.382
"Z",48.035,58,48.817,32.431,23.793,34.565,38.365,76.209,"Class5",11.454
"D",70.908,70,20.792,8.898,23.357,65.997,68.537,78.195,"Class1",64.15
"G",48.491,55,22.442,9.593,29.203,62.096,69.433,75.268,"Class1",40.279
"A",54.46,33,90.792,58.966,91.272,56.725,20.746,10.971,"Class3",86.089
"Y",76.54,33,96.047,54.709,91.525,52.83,47.013,14.799,"Class3",76.136
"Z",78.542,18,28.569,50.865,77.963,24.92,64.172,5.307,"Class2",33.403
"S",67.428,25,24.852,54.164,26.239,28.108,66.72,11.772,"Class2",40.237
"N",42.46,54,33.426,79.255,75.786,43.603,52.301,50.802,"Class4",19.898
"W",50.82,41,50.473,25.648,52.406,49.111,50.148,84.223,"Class5",44.065
"Y",55.983,23,30.456,48.026,82.556,-7.731,63.035,6.294,"Class2",39.384
"G",46.238,63,24.409,16.278,21.448,68.379,73.884,55.383,"Class1",47.867
"G",49.618,62,21.245,7.771,10.178,65.384,89.783,77.234,"Class1",37.72
"L",49.301,34,98.016,42.787,93.643,77.042,28.956,12.106,"Class3",84.212
"G",60.933,70,22.398,15.684,22.374,61.366,80.533,73.915,"Class1",51.22
"L",39.427,15,83.601,82.36,71.795,41.087,55.507,81.339,"Class4",20.022
"N",47.1,52,48.383,29.768,-3.598,48.695,52.806,51.064,"Class5",41.173
"D",28.777,34,94.043,54.192,91.596,49.734,59.575,9.352,"Class3",96.487
"D",42.059,22,34.912,66.794,56.316,49.556,66.894,7.939,"Class2",33.273
"L",44.992,39,52.458,80.476,52.498,51.069,65.53,70.59,"Class4",20.513
"L",71.637,33,95.768,61.122,103.193,65.419,19.215,16.579,"Class3",94.997
"D",58.276,70,20.374,18.706,21.747,60.171,44.524,68.055,"Class1",40.244
"A",32.462,34,96.217,35.08,100.12,53.557,43.402,10.864,"Class3",93.121
"A",33.739,35,65.601,88.991,13.72,48.587,54.605,75.935,"Class4",16.447
"W",51.205,42,28.288,33.722,30.749,53.078,41.654,90.318,"Class5",45.538
"D",66.177,63,21.734,8.328,28.851,77.678,67.956,77.547,"Class1",37.358
"Y",38.858,32,91.626,61.587,88.845,49.506,19.651,9.283,"Class3",92.97
"B",23.194,34,95.044,47.377,90.042,61.018,31.368,6.541,"Class3",91.746
"K",11.342,47,82.45,75.727,31.467,43.4,51.565,57.65,"Class4",18.296
"K",18.152,22,72.433,83.982,78.712,41.165,37.696,61.469,"Class4",17.62
"B",82.312,34,93.106,31.122,97.047,57.212,35.27,10.044,"Class3",72.185
"B",72.433,35,91.21,72.422,92.852,70.02,28.085,5.882,"Class3",87.323
"D",68.439,23,29.655,57.05,47.211,31.773,64.485,3.746,"Class2",35.464
"N",23.635,9,57.393,74.432,73.026,41.594,61.433,54.459,"Class4",19.929
"L",49.52,43,67.143,84.993,86.576,35.3,29.805,81.274,"Class4",22.067
"T",69.86,79,23.191,10.532,34.089,64.886,41.329,86.118,"Class1",45.287
"W",44.085,52,54.508,29.8,23.758,38.709,46.469,91.436,"Class5",37.87
"Z",55.876,60,24.283,18.772,8.702,68.213,82.909,53.993,"Class1",44.45
"N",18.421,20,76.596,82.301,100.927,52.708,71.851,53.978,"Class4",18.838
"Z",52.672,78,20.391,10.857,21.898,59.082,46.267,51.959,"Class1",35.974
"N",50.824,34,76.763,33.296,17.456,53.929,36.241,82.148,"Class5",69.071
NA,70.775,5,38.123,59.244,48.187,22.184,64.859,3.38,"Class2",45.798
"Q",47.579,58,43.731,27.456,23.228,49.685,34.529,90.994,"Class5",39.608
NA,42.429,7,35.531,77.095,72.738,54.008,60.119,4.423,"Class2",31.233
"Q",46.793,52,102.795,32.969,7.356,67.777,52.919,59.584,"Class5",70.157
"S",49.577,20,13.645,90.492,48.805,10.534,50.436,1.153,"Class2",31.091
"Y",58.005,35,92.45,86.405,93.119,49.372,9.789,5.595,"Class3",111.824
"W",44.768,47,32.381,25.743,1.703,43.109,34.7,38.724,"Class5",48.796
"P",44.744,62,32.31,27.724,49.54,45.647,50.22,NA,"Class5",50.827
"K",48.576,62,85.041,79.099,22.902,48.405,63.53,57.393,"Class4",18.812
"Z",56.709,86,21.667,14.75,32.747,68.732,61.455,63.443,"Class1",30.872
"S",77.56,24,18.624,92.861,56.804,16.087,53.446,9.188,"Class2",33.83
"B",56.415,84,23.983,8.555,21.392,59.196,67.111,95.672,"Class1",49.565
NA,51.078,45,103.212,27.879,6.651,51.687,43.066,64.056,"Class5",62.802
"L",33.026,13,68.751,79.729,61.647,53.743,47.777,51.631,"Class4",15.657
"Z",64.01,6,21.712,54.571,58.218,27.792,53.924,5.69,"Class2",23.85
"N",40.206,67,57.117,84.187,60.157,50.125,45.599,58.113,"Class4",20.329
"Z",50.509,7,23.571,69.294,81.047,43.553,61.658,11.287,"Class2",47.424
"D",47.088,6,17.075,67.057,57.439,24.575,59.52,8.119,"Class2",41.624
"P",49.769,38,38.63,29.767,49.848,52.418,29.536,86.737,"Class5",26.466
"Q",50.472,55,77.211,31.51,56.226,40.785,42.161,57.668,"Class5",30.999
NA,75.705,34,99.716,47.38,94.252,75.907,31.042,15.375,"Class3",92.234
"D",70.512,3,36.719,42.759,42.213,48.371,67.895,3.511,"Class2",42.052
"Q",47.228,34,74.07,27.156,6.955,47.339,47.235,73.109,"Class5",37.9
"N",46.274,45,77.1,29.196,2.353,49.585,49.192,58.687,"Class5",29.355
"Y",34.134,35,98.474,76.049,90.001,48.897,49.009,9.091,"Class3",81.652
"U",70.573,23,30.737,45.006,66.64,-14.097,62.734,9.694,"Class2",35.97
"C",44.234,50,75.708,84.146,78.113,42.439,66.265,61.767,"Class4",19.132
"D",62.408,54,23.887,18.245,8.052,65.069,81.02,72.328,"Class1",47.474
"D",66.955,60,20.953,17.266,26.747,70.085,69.315,83.766,"Class1",41.339
"C",33.32,69,52.981,74.698,40.767,51.036,48.904,53.569,"Class4",26.279
"K",37.444,32,32.722,68.576,44.088,44.874,62.172,64.61,"Class4",23.076
"C",37.464,40,80.992,75.973,31.199,44.532,42.463,48.417,"Class4",19.41
"B",45.686,32,94.757,55.153,95.8,57.108,51.163,7.533,"Class3",88.645
"B",44.113,74,20.849,20.352,16.844,67.991,78.431,57.941,"Class1",30.988
"W",45.284,44,51.465,29.687,28.871,51.538,35.398,60.471,"Class5",50.601
"L",31.073,63,65.504,68.997,55.739,47.067,35.924,65.083,"Class4",21.61
"Z",72.99,7,17.09,85.311,100.456,22.183,71.229,NA,"Class2",28.927
"A",34.688,34,98.233,81.813,103.011,61.454,16.301,6.759,"Class3",96.635
"U",54.438,25,10.96,44.973,50.791,26.848,70.584,6.78,"Class2",36.789
"W",48.256,43,73.363,34.71,36.567,34.935,35.672,70.826,"Class5",45.526
"L",46.104,42,50.434,66.092,57.644,37.735,47.956,51.495,"Class4",19.369
"B",70.176,75,18.54,16.714,21.696,62.575,73.795,56.08,"Class1",23.879
"U",65.56,19,38.167,74.389,45.363,43.845,52.531,8.167,"Class2",28.628
"D",25.607,33,95.929,50.597,89.438,65.183,50.127,13.13,"Class3",95.831
"Y",72.231,6,22.591,90.911,95.475,37.428,54.736,6.076,"Class2",52.744
"Z",60.11,13,22.18,82.992,76.901,56.963,54.39,5.697,"Class2",30.519
NA,34.629,41,54.178,75.595,68.657,52.626,57.861,46.537,"Class4",19.435
"Y",33.837,33,94.555,55.018,94.328,56.753,32.894,10.808,"Class3",85.162
"A",71.911,33,97.14,67.536,94.17,56.202,10.024,15.171,"Class3",85.319
"B",80.926,34,93.093,38.062,94.646,61.036,48.148,9.802,"Class3",101.471
"Q",45.23,51,26.6,26.401,-1.923,43.864,42.417,44.262,"Class5",34.131
"L",43.333,52,67.529,76.252,42.944,46.63,41.089,79.174,"Class4",15.903
"N",13.08,68,100.277,72.096,54.549,41.944,42.584,48.312,"Class4",20.943
"Q",51.901,37,56.993,27.142,17.185,44.614,30.433,86.131,"Class5",28.38
"Z",49.76,70,50.701,34.735,35.151,51.208,44.007,85.563,"Class5",53.133
"B",56.772,74,20.054,7.019,18.877,61.71,74.261,94.857,"Class1",20.705
"Q",51.018,65,21.353,30.439,10.581,39.347,48.366,63.367,"Class5",48.491
"N",51.998,43,55.153,29.617,11.051,42.226,49.42,NA,"Class5",51.914
"N",52.629,67,74.557,88.571,58.011,49.336,39.92,71.094,"Class4",25.298
"D",63.625,79,19.847,12.839,26.554,65.452,53.328,59.475,"Class1",24.141
"Z",51.972,53,67.819,31.175,50.598,53.163,30.147,57.447,"Class5",36.145
"C",52.287,5,69.732,76.487,60.03,55.046,63.778,47.738,"Class4",19.746
"P",48.4,40,70.806,32.487,10.448,47.388,42.766,40.875,"Class5",51.101
"K",11.229,49,52.058,66.728,31.951,49.716,74.86,67.462,"Class4",27.79
"Q",50.254,37,52.529,26.875,16.053,45.82,26.398,68.959,"Class5",35.281
"B",46.018,34,96.523,98.415,92.638,61.637,24.795,5.647,"Class3",83.142
"D",56.642,67,18.673,15.662,21.232,64.072,67.889,83.297,"Class1",34.838
"Q",49.708,35,59.41,32.633,34.276,53.31,30.098,53.194,"Class5",9.561
"Z",64.493,72,25.125,10.662,32.732,65.022,81.681,61.856,"Class1",44.329
"D",32.298,35,97.574,85.831,92.649,74.94,26.886,9.896,"Class3",83.209
"D",44.489,11,31.656,62.018,114.151,16.737,54.364,4.261,"Class2",31.487
"T",48.048,53,21.643,18.656,3.51,64.894,55.635,74.481,"Class1",36.16
"C",20.462,57,96.299,87.788,35.33,47.728,69.736,78.533,"Class4",18.639
"B",27.515,33,97.839,33.394,100.119,55.489,38.7,19.438,"Class3",86.346
"D",48.734,71,22.955,15.877,23.432,61.362,54.664,88.895,"Class1",50.747
"Y",45.358,7,39.212,86.351,80.407,35.868,63.101,NA,"Class2",49.281
"Y",46.177,13,19.921,46.759,47.509,31.458,60.559,10.291,"Class2",30.142
"Z",54.683,50,21.613,21.561,20.969,63.852,76.308,72.669,"Class1",53.698
"W",49.75,41,50.399,28.578,44.656,60.045,25.952,78.443,"Class5",57.912
"D",80.834,32,94.847,61.464,95.847,53.726,57.359,12.93,"Class3",93.919
"Z",50.183,44,14.905,29.973,30.555,56.737,39.299,60.799,"Class5",63.036
"U",70.305,25,30.803,73.629,68.486,12.945,61.394,6.233,"Class2",28.958
"A",31.118,52,45.77,91.136,61.306,48.061,38.326,50.977,"Class4",20.667
"U",47.155,8,31.69,58.629,58.141,27.162,71.311,11.355,"Class2",47.938
"D",63.221,23,26.481,72.993,86.861,42.286,53.812,1.911,"Class2",25.791
"Z",47.572,18,21.004,61.784,40.902,53.588,63.354,10.099,"Class2",50.348
"L",43.951,35,97.893,65.109,97.048,78.234,16.058,NA,"Class3",84.28
"Q",44.233,56,61.083,31.576,33.024,49.327,50.792,87.41,"Class5",46.915
"B",66.359,75,17.851,17.87,19.292,62.205,46.299,87.546,"Class1",58.366
"L",52.744,68,75.847,91.464,48.255,41.865,29.945,66.83,"Class4",21.617
"N",51.236,9,109.572,72.63,71.512,45.756,21.307,81.274,"Class4",20.024
"D",54.269,86,16.635,21.767,31.304,57.658,92.05,89.717,"Class1",27.38
"B",44.867,86,22.096,14.752,29.796,70.268,52.966,54.039,"Class1",53.36
"D",54.766,10,38.217,46.748,52.394,42.112,73.438,5.935,"Class2",50.819
"Y",41.979,17,35.743,68.603,79.147,42.641,62.75,10.63,"Class2",39.844
"K",45.981,31,59.639,73.113,38.139,51.071,70.143,69.092,"Class4",23.92
"W",44.706,63,47.644,25.765,37.1,53.962,48.357,45.539,"Class5",42.482
"N",46.396,49,88.45,25.274,63.159,37.439,41.505,65.837,"Class5",60.997
"K",21.864,15,83.957,81.182,60.884,47.518,41.745,79.007,"Class4",19.433
"N",47.205,65,61.636,26.354,57.732,47.003,28.11,77.008,"Class5",29.11
"N",51.322,50,65.289,31.067,31.896,37.145,42.601,78.967,"Class5",52.836
"G",51.032,79,20.415,21.247,27.948,65.773,55.915,63.857,"Class1",36.088
"C",44.906,31,80.233,91.857,39.21,49.174,46.825,73.505,"Class4",15.866
"B",54.148,84,18.148,18.132,20.309,55.543,49.308,90.036,"Class1",34.955
"Q",47.33,55,57.829,27.384,55.572,43.191,51.819,86.954,"Class5",49.531
"A",52.388,32,96.502,54.748,97.502,52.058,12.697,10.665,"Class3",88.679
"B",61.594,67,19.285,9.357,37.244,69.853,55.822,74.704,"Class1",33.308
"B",60.468,72,20.773,13.312,29.126,61.599,89.137,68.148,"Class1",32.101
"Q",48.601,49,50.492,26.808,57.189,60.566,39.39,38.852,"Class5",58.947
"D",65.238,57,19.31,18.63,22.477,55.852,78.885,91.988,"Class1",44.6
"N",45.732,70,32.631,34.274,57.443,46.765,50.705,70.41,"Class5",45.621
"D",24.566,33,101.27,47.823,87.957,61.072,54.888,19.706,"Class3",90.093
"D",74.119,14,39.823,57.854,60.969,34.548,53.434,8.116,"Class2",-0.372
"D",68.252,14,46.058,68.853,71.331,26.887,52.354,11.275,"Class2",12.373
"N",51.952,49,70.674,28.491,-1.905,41.161,48.354,45.3,"Class5",42.964
"U",70.147,25,8.11,47.001,66.037,-8.43,52.997,8.016,"Class2",29.772
"T",42.81,58,19.441,9.463,19.924,59.294,57.998,92.947,"Class1",31.328
"A",58.785,32,94.23,37.232,95.827,56.036,15.744,16.138,"Class3",95.796
"A",18.819,19,65.141,70.992,55.855,44.474,43.32,74.029,"Class4",21.571
"Z",40.125,17,35.528,54.423,89.387,31.165,67.299,4.823,"Class2",13.543
"Z",48.23,63,40.068,28.702,15.255,46.246,27.47,68.626,"Class5",55.083
"G",42.794,86,17.647,13.956,24.799,65.482,90.945,71.272,"Class1",20.552
"P",48.308,66,57.062,26.786,47.692,44.778,49.171,52.263,"Class5",83.42
"S",64.937,16,40.87,43.466,68.93,37.876,73.579,10.146,"Class2",53.729
"A",26.022,52,65.456,69.714,33.454,51.5,48.862,77.595,"Class4",16.771
"Z",49.837,57,24.086,13.18,15.779,66.971,72.599,57.881,"Class1",46.099
NA,46.459,46,48.318,33.204,25.985,44.06,43.104,47.869,"Class5",40.436
"W",51.47,66,67.651,34.967,27.235,39.577,36.625,47.212,"Class5",56.992
"D",35.258,16,22.667,92.92,72.931,61.805,66.231,11.697,"Class2",37.894
"T",61.17,63,22.612,14.201,22.279,58.317,55.842,71.125,"Class1",36.014
"K",19.538,39,51.766,81.317,49.768,52.399,61.457,50.344,"Class4",19.548
"L",32.781,23,74.729,82.054,55.509,54.701,69.155,72.811,"Class4",16.81
"Q",47.635,56,61.798,26.149,20.257,40.486,50.238,48.931,"Class5",26.156
