"GKT1","EVL2","TVU3","KAM4","OMD5","Output5","UVT6","KTN7","JQW8","FJI9","XOR10","GDI11"
"W",29.481,38.903,44.513,66.445,"Class3",87,81.683,64.434,14.268,46.206,"U"
"W",18.051,6.273,49.616,31.226,"Class3",63,78.286,48.606,9.99,46.541,"U"
"G",32.116,50.753,27.425,60.506,"Class2",47,85.848,41.245,87.031,14.855,"H"
"E",6.786,33.816,26.382,66.158,"Class1",64,39.12,45.648,31.647,73.465,"M"
"X",10.727,50.391,35.861,25.374,"Class1",68,41.352,45.759,32.347,52.942,"M"
"H",24.534,54.522,29.622,39.61,"Class2",30,89.665,67.936,89.908,76.415,"M"
"W",21.641,19.961,43.99,NA,"Class3",52,79.357,42.368,13.739,53.986,"V"
"X",19.244,49.684,31.424,45.786,"Class2",46,90.927,81.619,88.552,73.531,"H"
"W",22.272,7.194,34.468,55.991,"Class3",59,82.633,38.634,62.051,52.506,"E"
"W",15.413,40.32,41.781,17.75,"Class3",71,84.444,41.172,27.771,45.093,"V"
"E",35.206,41.344,60.184,56.396,"Class3",47,75.207,37.867,55.103,51.981,"N"
"J",23.956,8.081,73.738,NA,"Class3",53,81.889,23.854,51.879,54.188,"U"
"G",31.219,50.545,35.835,65.102,"Class2",41,96.159,66.427,93.598,53.361,"H"
"F",31.579,11.173,43.255,43.012,"Class3",57,78.016,39.479,0.351,43.609,"V"
"J",26.044,36.573,34.008,64.543,"Class3",60,77.675,61.568,30.192,42.114,"V"
"F",28.876,11.496,NA,57.828,"Class3",79,82.009,38.86,40.145,48.789,"U"
"H",35.942,53.163,41.074,76.961,"Class2",38,56.614,45.187,82.251,53.828,"Y"
"I",19.229,55.439,35.462,57.381,"Class2",28,83.589,65.11,93.159,59.387,"E"
"V",25.443,24.182,49.104,54.875,"Class3",81,86.476,60.915,38.829,49.61,"P"
"J",3.889,45.486,18.889,57.175,"Class1",61,31.669,46.676,28.34,73.483,"E"
"F",36.4,8.916,52.784,73.374,"Class3",75,80.639,60.621,51.606,49.662,"E"
"I",22.803,52.574,31.863,86.068,"Class2",46,85.898,49.961,87.306,53.903,"H"
"E",8.759,21.179,47.347,48.959,"Class1",65,35.179,47.862,28.085,68.976,"M"
"F",8.467,36.161,33.908,NA,"Class1",61,42.2,48.015,46.071,55.127,"N"
"F",23.72,19.634,62.636,64.082,"Class3",74,83.666,70.057,21.38,46.902,"V"
"J",34.413,44.269,45.113,38.322,"Class3",82,80.129,53.38,22.084,43.204,"P"
"F",37.753,39.477,49.634,63.639,"Class3",73,82.802,50.952,57.641,47.225,"N"
"F",17.269,1.202,47.79,41.781,"Class3",63,80.735,40.697,28.797,41.247,"P"
"W",16.938,23.524,36.337,23.821,"Class3",81,77.04,63.046,5.89,45.68,"V"
"G",26.159,54.807,NA,53.254,"Class2",29,66.677,76.294,91.611,12.063,"M"
"E",33.293,39.12,37.887,67.967,"Class3",81,84.015,69.978,-13.46,50.112,"N"
"F",6.707,21.287,32.211,13.892,"Class1",39,16.156,49.529,23.105,62.949,"B"
"F",19.195,20.289,47.077,49.463,"Class3",81,76.718,29.119,-4.041,55.006,"V"
"E",6.812,29.866,26.845,20.381,"Class1",47,36.957,45.909,36.13,79.855,"M"
"F",30.351,5.75,46.873,73.518,"Class3",54,76.976,33.759,51.199,50.914,"P"
"J",17.855,6.498,38.226,58.646,"Class3",82,80.825,23.405,37.847,46.193,"V"
"P",4.705,48.965,42.595,84.563,"Class1",42,28.406,44.706,39.999,92.675,"E"
"X",13.392,25.314,NA,86.481,"Class1",46,39.979,48.691,45.965,50.621,"D"
"P",15.1,58.252,44.286,17.383,"Class1",66,36.162,46.622,47.915,58.985,"M"
"J",22.46,18.4,51.06,NA,"Class3",79,81.973,32.866,76.85,49.43,"E"
"E",0.004,37.276,41.369,25.56,"Class1",71,38.265,48.96,48.076,81.494,"M"
"E",5.199,49.266,NA,89.707,"Class1",62,34.155,48.662,44.203,57.548,"E"
"X",23.821,49.059,28.66,71.036,"Class2",37,86.34,22.749,92.85,15.323,"H"
"G",26.409,52.893,45.263,50.782,"Class2",43,91.816,41.561,95.565,62.032,"Y"
"J",39.646,14.216,25.25,58.034,"Class3",45,82.433,69.154,20.532,42.411,"U"
"I",39.499,54.607,NA,64.433,"Class2",53,89.019,15.283,91.908,10.795,"M"
"X",33.242,54.825,41.189,83.294,"Class2",37,81.021,69.08,84.725,18.365,"B"
"X",13.424,28.842,44.908,61.701,"Class1",67,35.741,44.526,41.659,61.409,"D"
"W",25.864,29.827,46.763,34.048,"Class3",62,84.883,31.493,-15.801,44.197,"P"
"G",25.773,54.116,29.654,74.562,"Class2",33,85.379,33.407,91.005,67.207,"E"
"P",12.236,33.881,36.371,32.898,"Class1",44,59.096,46.486,47.542,59.693,"D"
"J",41.667,17.676,44.33,66.694,"Class3",78,76.593,57.597,65.193,46.479,"E"
"J",10.665,51.326,19.598,42.976,"Class1",64,21.94,46.4,56.384,88.078,"D"
"F",10.062,53.784,36.877,6.786,"Class1",70,37.199,47.911,36.927,49.992,"N"
"P",9.31,51.869,10.088,37.98,"Class1",67,39.91,48.524,42.101,64.116,"N"
"X",26.138,50.367,42.821,51.021,"Class2",38,77.762,56.442,87.432,78.293,"E"
"P",3.631,35.27,28.869,72.438,"Class1",67,48.459,44.494,48.309,91.158,"N"
"J",13.96,37.921,56.515,29.867,"Class1",58,47.441,48.227,27.005,76.842,"D"
"P",12.851,34.135,28.19,80.391,"Class1",71,27.366,49.147,38.48,82.317,"E"
"M",38.146,51.571,31.677,42.669,"Class2",46,94.145,63.988,89.845,16.404,"B"
"X",41.644,50.827,38.282,52.685,"Class2",29,80.013,43.127,90.599,2.598,"M"
"V",27.876,40.153,46.7,55.349,"Class3",72,82.106,67.638,39.196,42.876,"P"
"X",26.309,54.488,36.483,40.113,"Class2",30,86.935,80.242,88.949,75.463,"B"
"M",22.748,54.363,32.253,84.541,"Class2",38,105.812,59.034,96.947,74.901,"M"
"J",28.161,9.294,45.629,50.805,"Class3",57,82.15,67.119,-18.003,56.731,"E"
"X",31.705,49.419,35.369,85.167,"Class2",50,93.776,41.994,89.115,22.328,"H"
"X",9.468,27.722,42.478,56.388,"Class1",53,36.938,49.259,40.493,67.413,"E"
"F",17.061,24.606,56.569,41.718,"Class1",66,53.791,44.879,59.103,61.752,"E"
"F",7.57,55.664,39.41,56.495,"Class1",58,38.06,48.538,32.289,49.007,"B"
"J",6.859,53.497,47.9,86.684,"Class1",43,46.641,48.223,36.429,53.405,"E"
"G",37.222,48.018,24.986,NA,"Class2",31,74.032,17.008,88.354,49.673,"Y"
"P",2.118,27.251,38.745,39.144,"Class1",57,43.699,46.578,38.701,81.881,"E"
"F",28.986,11.38,43.484,70.618,"Class3",57,80.498,47.469,5.486,47.319,"P"
"J",19.073,9.937,56.048,55.735,"Class3",52,84.816,54.326,8.806,53.686,"N"
"P",9.787,36.021,39.057,14.318,"Class1",72,45.072,45.789,33.183,79.378,"B"
"J",17.308,42.119,25.701,65.283,"Class3",74,81.05,53.991,42.522,55.966,"E"
"J",2.053,48.386,34.825,15.524,"Class1",39,47.788,48.753,23.132,55.352,"M"
"E",39.724,22.942,60.358,61.941,"Class3",71,78.568,44.5,54.448,45.809,"U"
"G",26.452,55.592,35.695,57.622,"Class2",42,88.395,82.923,90.203,47.583,"H"
"I",25.931,51.331,36.124,67.358,"Class2",33,79.543,74.185,94.432,76.677,"H"
"J",4.54,43.945,28.064,14.743,"Class1",43,29.608,48.319,32.22,61.87,"D"
"V",22.753,7.801,47.04,43.709,"Class3",69,79.311,28.507,14.262,56.989,"V"
"F",17.58,31.415,41.772,54.806,"Class3",44,82.164,35.528,18.899,54.91,"U"
"X",27.973,50.189,46.475,68.859,"Class2",29,60.139,51.374,90.851,22.447,"E"
"X",39.053,49.821,38.182,56.997,"Class2",33,68.561,23.881,85.886,45.744,"H"
"J",38.885,16.266,42.975,38.266,"Class3",64,78.788,38.964,37.141,42.137,"E"
"W",23.745,9.082,47.003,60.588,"Class3",76,82.203,65.149,44.292,46.971,"V"
"F",9.66,24.78,38.167,15.547,"Class1",37,42.347,45.582,40.036,62.455,"N"
"F",5.334,46.305,29.464,31.778,"Class1",51,35.907,49.941,46.588,58.932,"M"
"J",22.114,8.902,NA,66.999,"Class3",65,81.284,33.931,46.863,48.083,"U"
"G",35.622,51.533,49.272,73.155,"Class2",36,90.632,74.913,88.947,50.915,"B"
"J",11.085,53.87,29.964,23.941,"Class1",69,45.815,44.725,46.314,50.632,"E"
"E",13,47.448,61.078,NA,"Class1",56,45.654,44.763,34.85,84.108,"N"
"W",32.88,22.716,37.428,51.456,"Class3",45,77.371,51.733,41.064,45.62,"P"
"I",30.521,53.523,41.25,76.446,"Class2",48,61.584,56.862,86.058,51.919,"B"
"F",15.23,53.457,25.546,51.198,"Class1",66,51.476,45.726,39.419,70.578,"M"
"G",24.318,53.407,40.37,45.293,"Class2",40,73.428,37.95,87.081,55.738,"Y"
"F",27.095,20.426,41.217,45.124,"Class3",62,77.507,52.905,33.925,41.328,"V"
"M",32.369,49.255,37.209,41.286,"Class2",49,89.62,20.677,87.409,42.123,"Y"
"F",13.405,24.768,8.406,70.534,"Class1",70,28.182,46.155,34.69,68.459,"E"
"X",31.124,55.426,34.5,66.53,"Class2",35,85.001,17.265,90.138,41.181,"M"
"J",25.074,15.803,66.751,27.694,"Class3",52,81.638,51.297,46.424,41.198,"E"
"H",22.303,51.733,39.804,45.837,"Class2",36,84.501,61.329,93.463,78.737,"B"
"X",40.558,48.643,42.031,59.43,"Class2",29,78.002,41.614,88.232,76.043,"E"
"P",7.19,23.714,29.188,45.948,"Class1",38,43.232,44.04,49.048,67.907,"B"
"J",10.36,40.479,49.095,43.782,"Class1",61,46.643,45.765,42.542,80.507,"N"
"V",12.928,28.763,59.283,52.954,"Class3",70,82.383,24.295,-1.012,51.758,"E"
"X",33.238,48.05,40.705,86.764,"Class2",37,73.241,82.632,89.912,52.737,"E"
"G",26.402,51.19,35.389,44.052,"Class2",29,106.245,80.281,90.728,60.077,"H"
"F",32.119,22.129,48.565,28.508,"Class3",75,86.511,42.333,39.135,46.686,"N"
"F",33.579,33.703,46.842,67.24,"Class3",75,87.611,66.606,2.906,52.926,"E"
"F",17.677,26.281,43.077,69.209,"Class3",61,80.687,31.492,-2.019,41.568,"E"
"V",26.125,10.14,54.283,66.83,"Class3",67,83.987,67.084,0.288,43.653,"N"
"H",31.946,53.721,43.092,63.185,"Class2",34,77.298,56.547,85.207,9.606,"E"
"F",6.607,45.119,33.942,10.637,"Class1",37,47.33,48.051,33.253,50.226,"B"
"W",21.443,41.64,33.46,NA,"Class3",51,82.414,28.616,40.155,40.924,"E"
"X",12.834,36.637,37.161,2.916,"Class1",46,43.725,44.727,31.711,90.821,"B"
"J",12.989,32.849,39.872,NA,"Class1",65,18.263,48.959,29.306,92.71,"M"
"E",12.461,27.465,36.85,42.136,"Class1",47,38.87,49.852,35.68,56.249,"N"
"F",8.727,44.549,38.397,19.565,"Class1",70,35.206,49.938,35.886,79.867,"E"
"P",1.444,23.848,42.885,27.105,"Class1",71,28.665,45.076,45.372,81.133,"D"
"E",2.109,55.543,39.817,80.443,"Class1",59,42.583,44.603,33.492,51.873,"N"
"H",26.543,54.414,32.037,87.109,"Class2",49,84.952,50.377,83.713,51.497,"Y"
"J",10.921,53.437,53.541,77.44,"Class1",37,30.948,48.06,35.821,92.978,"D"
"F",24.877,3.443,33.055,49.461,"Class3",82,79.444,74.822,-9.228,44.891,"P"
"J",31.327,22.7,45.381,NA,"Class3",51,81.373,51.225,29.464,40.094,"V"
"X",4.249,59.501,23.582,78.726,"Class1",63,55.532,47.219,33.623,92.395,"D"
"X",29.643,52.09,35.866,69.144,"Class2",44,65.103,19.356,89.09,72.345,"Y"
"F",29.679,44.071,52.392,68,"Class3",67,81.277,57.072,44.078,43.119,"V"
"X",12.79,29.197,35.497,75.103,"Class1",51,31.184,44.72,41.044,91.705,"M"
"J",11.723,32,36.099,NA,"Class1",62,44.952,49.556,19.905,74.218,"M"
"P",7.481,46.077,50.056,90.633,"Class1",54,43.121,48.387,53.132,73.69,"E"
"J",14.861,32.877,42.402,44.438,"Class1",40,33.106,49.79,57.059,70.874,"B"
"E",7.343,57.864,35.688,49.542,"Class1",65,33.214,47.799,27.813,82.771,"M"
"M",27.053,55.59,30.055,45.927,"Class2",34,71.604,49.399,91.626,12.341,"E"
"X",3.601,37.497,28.613,23.941,"Class1",39,49.636,45.899,38.385,72.368,"M"
"G",35.707,48.836,NA,86.594,"Class2",40,77.078,15.982,89.038,16.237,"H"
"J",28.365,4.928,54.605,52.417,"Class3",78,78.358,39.473,23.403,40.273,"V"
"E",25.429,40.459,47.838,72.114,"Class3",57,80.058,38.074,38.456,54.112,"E"
"J",15.656,43.92,40.331,17.754,"Class1",37,43.018,49.126,26.819,50.156,"D"
"F",29.71,19.38,50.694,60.2,"Class3",75,78.479,67.16,19.388,51.302,"N"
"G",32.775,48.983,30.76,67.83,"Class2",51,76.285,72.635,92.498,17.727,"Y"
"J",32.087,17.07,48.353,67.417,"Class3",70,82.614,37.308,38.163,40.625,"E"
"E",32.369,3.958,49.831,23.499,"Class3",77,81.407,54.832,65.885,46.953,"U"
"E",3.215,59.883,30.223,23.053,"Class1",50,31.774,47.91,35.272,90.828,"N"
"P",16.356,39.21,25.685,51.776,"Class1",57,36.445,47.13,38.756,65.507,"N"
"J",34.968,43.142,55.142,71.094,"Class3",58,79.63,58.956,45.366,43.553,"P"
"F",32.642,28.705,52.303,57.647,"Class3",56,80.179,50.703,42.942,54.764,"V"
"W",21.98,31.443,49.14,43.959,"Class3",55,77.696,50.667,16.476,40.068,"N"
"W",26.536,22.582,33.305,17.256,"Class3",49,81.618,37.852,31.72,53.66,"P"
"W",43.121,11.509,33.958,51.388,"Class3",62,83.642,31.689,-9.655,50.923,"V"
"V",27.189,9.133,50.555,63.691,"Class3",45,81.063,48.788,9.45,48.43,"N"
"M",39.157,52.685,38.222,86.952,"Class2",37,93.243,28.309,89.254,47.13,"M"
"F",23.581,2.916,48.322,27.371,"Class3",86,82.614,61.845,85.059,54.936,"P"
"P",4.027,31.89,35.659,2.027,"Class1",60,53.023,46.386,39.594,89.608,"M"
"G",17.548,54.043,34.061,44.476,"Class2",47,85.69,65.384,93.239,77.524,"M"
"P",3.774,39.618,27.002,74.745,"Class1",42,30.94,48.139,25.605,59.562,"M"
"G",40.436,52.041,44.954,40.344,"Class2",29,67.478,23.916,94.109,16.74,"Y"
"J",31.371,20.231,52.267,64.876,"Class3",59,77.812,61.733,31.173,41.459,"N"
"H",27.587,54.565,39.206,58.688,"Class2",43,72.605,67.14,83.044,69.331,"Y"
"P",14.003,41.894,36.93,93.371,"Class1",65,29.859,48.578,39.647,66.896,"E"
"P",14.827,54.038,49.755,43.928,"Class1",48,37.85,46.95,51.331,92.243,"B"
"P",2.694,28.892,34.331,6.238,"Class1",45,52.342,48.314,37.214,90.221,"D"
"J",24.843,41.251,34.354,60.067,"Class3",60,81.769,73.641,4.426,48.675,"V"
"X",9.527,24.354,40.99,11.833,"Class1",66,53.733,48.382,44.451,62.187,"N"
"W",38.422,13.867,45.488,24.119,"Class3",78,81.725,41.967,3.24,40.366,"N"
"M",26.335,53.776,27.559,NA,"Class2",34,72.706,28.126,89.461,3.455,"E"
"E",11.162,27.675,47.579,46.58,"Class1",72,25.423,49.761,45.536,91.376,"D"
"E",25.384,14.733,37.739,22.482,"Class3",69,79.746,60.455,31.06,49.822,"V"
"W",36.155,3.698,66.128,43.534,"Class3",68,81.201,35.386,48.677,41.962,"U"
"H",28.441,53.732,25.383,83.512,"Class2",52,83.616,26.66,86.142,13.114,"B"
"X",38.039,49.442,37.387,64.074,"Class2",47,58.257,72.677,87.643,53.811,"H"
"P",7.866,59.085,20.037,56.446,"Class1",49,37.577,44.365,27.38,70.864,"E"
"E",30.149,43.181,45.054,40.237,"Class3",56,81.635,43.424,46.817,41.418,"U"
"E",30.657,4.421,57.751,37.923,"Class3",71,81.284,29.844,33.705,55.087,"U"
"H",23.881,54.915,32.933,72.171,"Class2",32,67.3,44.724,89.974,33.077,"E"
"P",9.963,32.202,34.902,3.152,"Class1",71,22.932,47.559,17.127,85.87,"B"
"E",10.669,24.975,46.665,32.173,"Class1",47,23.837,49.805,36.404,61.603,"N"
"F",38.799,24.216,34.175,27.345,"Class3",56,84.61,39.648,60.405,44.402,"V"
"G",27.935,55.547,17.174,60.945,"Class2",51,81.443,36.066,89.115,44.45,"B"
"E",2.901,58.302,38.037,91.703,"Class1",53,32.495,45.305,32.836,56.389,"B"
"J",7.777,44.118,30.052,22.779,"Class1",52,40.932,46.05,53.651,85.769,"E"
"V",26.4,12.854,44.652,35.083,"Class3",62,76.512,68.035,58.838,48.457,"E"
"W",25.091,20.134,NA,48.777,"Class3",54,78.671,41.681,33.461,47.997,"N"
"W",20.81,32.987,NA,48.009,"Class3",86,80.586,74.439,27.894,54.393,"V"
"V",29.052,33.027,49.118,39.362,"Class3",53,79.655,38.105,32.19,52.27,"U"
"I",34.761,54.952,42.299,71.606,"Class2",48,91.41,65.332,82.045,40.509,"M"
"F",0.016,36.126,NA,75.845,"Class1",40,38.776,45.308,32.406,83.722,"D"
"X",9.827,33.479,22.796,54.03,"Class1",69,40.728,47.833,39.102,66.143,"B"
"V",23.675,8.284,60.633,68.443,"Class3",78,82.721,68.257,57.797,41.382,"V"
"W",40.434,12.871,NA,30.822,"Class3",58,85.772,43.278,33.663,47.728,"P"
"V",20.108,45.695,52.528,24.521,"Class3",73,81.864,57.817,46.983,44.852,"N"
"X",38.274,50.587,32.341,65.45,"Class2",47,85.618,79.105,86.932,2.378,"Y"
"E",4.964,27.946,24.046,NA,"Class1",62,46.759,49.767,36.747,53.958,"E"
"V",31.5,39.501,44.118,46.743,"Class3",74,81.823,25.907,38.675,50.746,"U"
"X",8.593,43.063,25.084,9.882,"Class1",42,36.902,45.571,42.062,90.33,"B"
"I",34.117,50.079,26.275,63.062,"Class2",38,78.779,27.175,86.155,17.985,"Y"
"J",13.393,25.508,22.548,82.577,"Class1",53,42.212,47.101,31.768,59.49,"N"
"F",33.02,19.631,40.842,44.093,"Class3",81,82.867,64.226,29.954,53.301,"U"
"F",32.854,41.043,59.812,41.141,"Class3",84,76.568,30.783,18.053,50.19,"N"
"I",33.587,49.065,30.083,75.689,"Class2",29,90.919,33.094,86.076,45.467,"M"
"H",41.621,51.603,29.746,70.386,"Class2",44,81.711,19.753,90.833,4.313,"B"
"J",6.751,55.711,28.329,47.927,"Class1",69,25.432,49.735,25.389,72.726,"N"
"F",25.763,16.135,42.755,55.881,"Class3",86,81.061,31.983,29.601,50.738,"P"
"E",19.875,39.821,44.303,59.983,"Class3",71,81.605,24.408,43.504,49.628,"E"
"P",20.255,34.563,33.544,16.194,"Class1",51,39.571,46.215,43.83,60.833,"M"
"E",12.753,55.207,41.162,88.889,"Class1",67,29.483,45.898,20.002,85.862,"N"
"H",36.225,51.45,39.124,68.006,"Class2",50,82.003,67.357,94.327,38.007,"M"
"F",-2.574,35.962,39.448,NA,"Class1",60,36.967,49.289,33.487,58.979,"B"
"X",20.415,52.826,44.928,86.171,"Class2",40,81.893,31.877,86.794,29.766,"E"
"V",31.067,32.607,39.868,57.313,"Class3",46,78.988,29.945,-6.852,42.123,"U"
"J",42.538,35.82,46.612,36.409,"Class3",45,82.28,43.422,32.121,50.63,"E"
"X",27.23,54.052,32.369,41.245,"Class2",34,83.342,47.971,88.687,41.707,"H"
"W",18.845,16.949,57.62,55.721,"Class3",65,78.161,28.22,27.364,54.594,"U"
"V",26.808,20.159,59.351,57.049,"Class3",48,82.541,31.493,29.072,44.228,"U"
"I",38.464,55.063,NA,44.563,"Class2",45,92.478,19.335,85.825,33.304,"Y"
"G",27.51,50.295,38.942,46.449,"Class2",46,82.9,19.097,91.229,73.547,"M"
"V",17.616,21.363,38.773,24.018,"Class3",72,82.477,28.303,21.404,51.412,"V"
"M",37.369,54.613,29.773,45.259,"Class2",47,87.029,61.46,91.218,37.335,"Y"
"J",27.558,16.005,49.451,42.944,"Class3",79,81.525,56.674,41.539,41.779,"V"
"P",9.082,60.557,38.406,21.414,"Class1",40,40.663,46.548,42.358,85.402,"N"
"E",11.187,31.785,21.051,23.507,"Class1",40,55.515,49.296,26.462,74.822,"N"
"I",32.622,52.132,38.398,67.733,"Class2",31,68.031,25.851,89.067,20.907,"B"
"F",28.625,7.014,55.024,19.629,"Class3",87,81.097,57.727,27.715,56.111,"E"
"P",5.203,41.895,20.677,11.211,"Class1",52,47.903,44.063,36.079,74.176,"B"
"F",5.356,36.947,37.162,76.425,"Class1",57,34.086,49.793,42.203,66.834,"E"
"V",26.378,41.788,55.17,42.899,"Class3",85,84.433,35.566,10.005,43.463,"E"
"W",29.148,16.258,60.859,37.19,"Class3",82,84.187,68.375,12.647,42.025,"N"
"I",22.496,54.226,28.339,48.595,"Class2",34,78.653,32.151,90.623,40.697,"E"
"P",9.271,42.83,22.156,44.68,"Class1",57,34.988,48.486,48.115,75.414,"E"
"W",36.412,11.758,49.34,58.733,"Class3",80,81.898,72.662,42.135,44.178,"N"
"M",49.932,55.622,38.315,63.032,"Class2",31,80.04,63.376,91.264,68.666,"M"
"X",3.488,54.876,28.379,35.517,"Class1",68,35.274,49.102,36.83,80.788,"M"
"G",26.915,54.156,44.097,73.877,"Class2",39,91.452,69.011,96.251,38.953,"B"
"X",23.93,51.875,41.501,58.424,"Class2",53,73.608,75.606,84.821,65.154,"Y"
"G",27.003,55.418,50.578,79.641,"Class2",28,53.801,50.774,87.746,71.599,"M"
"V",37.577,32.641,37.497,72.923,"Class3",75,81.986,63.066,55.14,45.696,"V"
"X",24.011,50.608,33.057,75.479,"Class2",28,74.099,73.842,87.768,21.771,"H"
"X",8.168,26.016,NA,11.823,"Class1",64,45.918,44.948,28.82,51.381,"N"
"X",37.724,48.476,26.055,78.762,"Class2",45,81.171,51.322,91,63.389,"Y"
"J",30.912,32.165,43.365,30.904,"Class3",60,76.994,45.074,49.798,46.935,"N"
"J",39.852,23.556,55.098,41.308,"Class3",70,84.335,66.342,53.99,41.714,"N"
"G",20.898,54.497,NA,47.254,"Class2",31,95.464,53.275,88.146,41.473,"M"
"X",25.812,54.367,45.755,43.517,"Class2",33,62.14,24.858,89.581,50.747,"M"
"F",31.495,27.139,39.352,66.689,"Class3",79,81.197,66.887,14.917,45.268,"N"
"M",31.095,48.123,31.645,44.305,"Class2",52,87.696,35.66,91.311,63.088,"B"
"J",19.754,36.187,51.367,66.625,"Class3",60,86.839,35.059,2.986,41.742,"P"
"M",20.199,50.815,38.234,83.432,"Class2",32,78.342,31.608,93.265,7.975,"M"
"J",7.746,49.364,48.012,67.141,"Class1",68,31.314,44.674,24.98,64.954,"D"
"W",33.308,11.133,32.916,40.773,"Class3",57,74.51,38.716,29.779,42.408,"V"
"M",27.752,48.846,31.694,78.909,"Class2",50,85.989,76.379,85.605,56.404,"H"
"G",27.235,50.045,21.364,57.649,"Class2",50,97.558,46.202,91.017,58.064,"H"
"J",9.094,29.344,39.638,92.009,"Class1",59,21.494,49.526,38.003,68.148,"E"
"W",34.427,8.69,50.166,NA,"Class3",74,83.205,34.706,54.762,42.058,"P"
"J",3.828,47.312,33.403,56.818,"Class1",57,36.556,49.849,48.466,52.486,"B"
"I",35.674,53.769,35.674,50.516,"Class2",30,82.24,18.988,87.22,22.64,"E"
"E",9.358,46.635,45.322,46.567,"Class1",68,43.66,49.676,17.903,66.291,"M"
"W",15.484,34.855,45.166,NA,"Class3",74,84.164,60.489,33.246,46.198,"N"
"E",22.242,13.026,39.211,49.726,"Class3",86,81.208,48.883,44.173,48.835,"P"
"E",22.604,23.218,56.655,52.172,"Class3",60,83.121,33.706,17.164,45.514,"P"
"E",33.432,14.91,54.813,36.398,"Class3",44,84.086,34.986,29.625,40.988,"E"
"F",16.845,37.648,40.113,63.112,"Class1",69,27.647,44.646,39.153,75.285,"N"
"F",8.743,21.779,22.391,80.606,"Class1",53,23.718,48.109,35.57,56.806,"N"
"V",30.685,3.755,56.487,46.184,"Class3",60,84.417,49.025,21.97,55.375,"N"
"P",14.806,29.821,7.755,19.252,"Class1",54,21.323,47.298,49.293,86.774,"M"
"J",3.846,31.929,36.069,32.557,"Class1",58,31.552,48.857,39.421,91.792,"E"
"V",35.306,28.496,52.786,18.966,"Class3",72,84.775,58.86,6.825,56.563,"U"
"I",41.601,50.283,28.597,55.989,"Class2",51,62.855,52.63,93.515,66.352,"E"
"F",4.168,27.333,31.572,47.947,"Class1",38,44.338,49.697,35.56,76.168,"B"
"J",42.813,40.908,52.523,33.275,"Class3",84,79.199,60.57,46.861,48.481,"P"
"P",8.849,58.642,43.749,51.597,"Class1",52,43.25,49.594,27.257,51.535,"D"
"I",33.898,48.671,42.239,78.61,"Class2",29,87.422,46.783,87.089,40.308,"Y"
"V",23.889,16.311,37.92,21.085,"Class3",78,81.285,71.465,40.93,50.839,"N"
"W",38.22,5.5,58.844,65.416,"Class3",84,77.947,52.099,-11.766,46.977,"P"
"X",22.089,50.683,39.862,39.015,"Class2",50,70.503,20.893,89.759,34.265,"B"
"F",15.424,35.413,49.042,18.863,"Class3",82,78.995,35.623,35.435,55.523,"U"
"G",36.856,48.905,31.129,51.684,"Class2",32,63.817,42.531,89.137,13.166,"B"
"J",23.012,20.3,51.629,18.591,"Class3",62,80.063,28.892,41.1,49.566,"E"
"P",3.233,56.228,28.373,40.602,"Class1",39,51.435,48.243,32.152,87.787,"D"
"F",8.449,27.785,36.624,94.435,"Class1",54,46.314,46.643,33.706,65.384,"B"
"I",25.926,55.718,33.938,40.326,"Class2",35,77.947,43.738,90.741,47.084,"H"
"G",25.096,53.318,32.229,43.623,"Class2",37,70.048,26.814,89.902,37.974,"B"
"V",31.702,12.209,50.465,47.359,"Class3",57,83.166,40.833,7.417,43.682,"V"
"F",6.109,48.597,NA,90.58,"Class1",49,41.723,47.406,43.625,55.053,"N"
"W",15.588,40.4,53.396,30.028,"Class3",45,81.186,56.902,68.718,41.733,"N"
"J",16.486,21.734,41.569,38.955,"Class1",41,18.234,47.843,34.578,70.21,"M"
"G",24.709,52.562,37.7,71.106,"Class2",51,89.266,41.544,86.853,33.285,"Y"
"E",3.99,23.944,60.659,22.208,"Class1",50,21.009,46.576,48.669,55.396,"M"
"X",-2.248,25.598,31.727,79.769,"Class1",68,46.183,48.8,33.703,76.705,"D"
"J",7.663,50.584,27.923,49.308,"Class1",67,50.574,48.624,37.748,59.22,"B"
"H",36.136,51.265,30.158,55.133,"Class2",32,84.827,45.439,86.445,35.618,"H"
"W",33.132,10.399,57.118,61.783,"Class3",45,82.777,61.46,38.829,43.929,"P"
"J",28.313,20.551,53.652,72.308,"Class3",74,82.176,40.674,57.844,47.545,"U"
"E",2.513,56.933,30.685,21.338,"Class1",63,23.583,46.705,37.985,64.614,"N"
"M",19.482,50.047,27.151,61.108,"Class2",31,90.548,51.845,92.853,75.429,"Y"
"V",26.73,16.84,48.752,42.939,"Class3",57,81.104,28.995,48.622,44.073,"N"
"G",37.441,48.085,37.224,81.223,"Class2",30,80.358,33.05,85.367,14.249,"B"
"X",22.457,49.842,32.672,50.285,"Class2",38,94.793,73.648,90.534,16.21,"M"
"J",2.172,21.848,27.106,6.586,"Class1",46,42.058,48.515,41.66,50.994,"B"
"P",8.119,41.709,20.773,87.605,"Class1",46,28.845,49.048,48.988,63.065,"B"
"G",36.728,53.972,38.219,86.476,"Class2",38,70.507,79.561,88.863,44.279,"E"
"M",16.326,53.069,NA,48.846,"Class2",53,80.454,27.19,87.551,39.554,"Y"
"E",33.761,2.423,NA,43.386,"Class3",65,81.556,52.238,67.325,44.299,"V"
