"VZB1","RDU2","QGJ3","QKH4","WKR5","MVA6","Output1","YEX7","RZG8","QIG9","BJL10","NLD11"
"Y",76.234,55.839,60,25.737,34.333,"Class3",64.133,23.333,78,93.442,48.393
"S",66.152,57.977,51,15.501,73.696,"Class2",73.733,59.909,63,49.566,38.578
"M",13.133,85.897,67,39.9,80.246,"Class1",36.933,65.16,27,56.884,67.54
"V",11.311,77.082,60,34.571,79.632,"Class1",69.833,78.18,27,28.541,66.844
"F",71.66,56.411,51,20.217,36.888,"Class3",80.153,36.779,85,94.089,27.435
"M",49.76,70.408,58,38.531,81.363,"Class1",18.945,77.566,7,66.344,67.42
"F",35.344,36.161,52,74.116,35.239,"Class3",82.988,-0.846,76,93.132,36.794
"F",52.123,19.751,71,13.45,34.383,"Class3",105.311,57.948,77,98.449,31.12
"J",76.603,52.656,55,53.693,34.508,"Class3",79.32,21.173,71,93.17,33.2
"N",31.821,80.091,41,37.748,82.625,"Class1",-10.603,31.413,8,48.539,76.279
"Y",57.915,32.222,62,67.424,34.933,"Class3",68.8,26.901,73,98.817,30.441
"G",80.879,58.412,61,45.701,35.225,"Class3",87.247,55.264,85,94.704,48.86
"S",67.297,19.973,65,41.429,73.005,"Class2",61.384,62.081,82,28.816,65.929
"D",64.411,61.1,67,46.024,40.956,"Class2",86.495,53.624,59,11.919,63.997
"C",60.991,69.33,48,35.13,78.592,"Class1",10.427,60.956,19,35.97,77.245
"O",64.006,63.468,57,50.261,69.988,"Class2",86.337,65.294,78,42.022,58.517
"Q",61.609,84.71,58,48.917,45.547,"Class2",65.348,60.18,68,9.392,83.989
"Q",66.794,37.796,62,31.444,67.204,"Class2",86.677,56.404,56,28.43,56.015
"D",66.297,47.503,50,33.304,50.048,"Class2",65.045,54.14,79,60.966,82.623
"F",58.761,42.962,59,-1.166,34.713,"Class3",94.464,51.25,80,97.573,53.718
"F",71.305,39.045,69,43.469,36.481,"Class3",76.941,53.885,72,95.807,68.855
"Y",75.204,48.15,66,87.196,35.203,"Class3",94.895,51.157,78,94.979,36.254
"V",30.872,83.699,65,35.144,82.348,"Class1",44.413,46.054,27,31,66.101
"Q",65.393,55.179,66,29.46,75.085,"Class2",70.439,59.378,58,20.619,85.109
"D",65.478,-1.4,54,44.812,41.646,"Class2",73.271,52.869,72,65.308,32.288
"J",68.349,38.632,70,66.221,34.206,"Class3",75.933,1.388,76,98.812,26.157
"B",37.841,79.867,56,34.157,83.14,"Class1",31.474,68.204,30,35.626,64.104
"E",65.173,40.853,59,46.654,45.881,"Class2",72.141,54.178,77,83.113,49.863
"J",78.984,77.596,54,31.653,NA,"Class3",83.552,33.051,78,96.026,55.902
"Y",50.521,41.434,51,57.403,33.999,"Class3",83.19,60.703,85,96.754,46.417
"C",66.441,76.376,55,41.162,80.645,"Class1",77.754,51.497,30,66.864,69.415
"L",36.144,44.11,65,77.174,34.131,"Class3",82.706,13.433,86,98.613,30.693
"Q",65.289,51.291,62,50.344,51.562,"Class2",64.794,50.864,63,16.844,71.315
"L",45.931,64.317,67,53.297,33.296,"Class3",82.268,53.519,80,93.299,40.768
"O",66.442,63.961,55,58.692,27.582,"Class2",55.639,47.674,71,63.118,40.993
"B",38.235,71.163,55,35.391,81.491,"Class1",23.807,53.196,40,70.465,77.9
"Q",67.591,125.292,57,44.479,76.028,"Class2",88.974,55.116,57,18.56,42.294
"D",65.076,87.591,56,48.07,28.512,"Class2",74.75,59.537,73,11.143,42.048
"S",61.213,76.73,62,49.453,31.395,"Class2",77.491,60.758,55,47.032,34.387
"C",39.256,75.42,38,37.573,82.854,"Class1",9.417,64.532,10,64.896,71.952
"Q",62.786,69.419,54,37.04,49.545,"Class2",69.36,59.826,61,18.781,26.56
NA,44.925,74.511,35,38.68,82.658,"Class1",65.233,43.938,8,70.976,65.609
"G",88.686,22.531,59,57.767,34.497,"Class3",78.847,32.714,81,93.286,48.052
"S",64.515,60.607,60,33.662,25.587,"Class2",68,55.871,60,88.977,65.495
"J",33.989,40.39,56,68.845,36.986,"Class3",99.66,54.29,82,95.763,31.278
"G",75.774,62.925,58,7.043,35.802,"Class3",89.084,64.65,77,93.144,41.216
"L",46.446,37.679,62,59.355,35.79,"Class3",83.863,24.648,79,95.313,26.995
"M",27.116,78.311,46,40.593,83.433,"Class1",68.675,47.631,17,58.301,64.704
"Q",65.058,54.042,65,32.417,NA,"Class2",64.234,53.784,56,95.347,77.047
"Y",88.821,52.858,58,31.528,34.722,"Class3",84.544,10.564,78,97.827,70.284
"B",63.004,81.577,66,37.486,82.993,"Class1",29.536,65.32,14,40.451,64.564
"B",67.9,74.208,64,44.663,81.142,"Class1",22.942,37.161,36,42.664,64.352
"Y",47.023,16.993,62,58.833,35.283,"Class3",69.802,58.786,83,98.278,37.322
"N",23.087,73.379,56,32.996,83.828,"Class1",42.816,41.268,29,67.396,72.795
"B",35.501,79.182,38,34.019,81.896,"Class1",46.396,69.627,26,33.829,76.551
"J",78.896,26.973,52,26.978,33.346,"Class3",97.187,27.048,83,94.088,47.947
"F",56.999,47.335,62,48.802,33.6,"Class3",62.484,63.249,79,94.435,42.141
"N",56.368,78.669,43,38.725,78.763,"Class1",23.944,70.365,36,43.005,77.083
"C",49.388,75.768,41,36.955,79.221,"Class1",5.233,64.066,35,71.404,60.765
"Y",80.253,31.897,66,41.481,34.372,"Class3",83.053,40.575,74,98.305,55.362
"N",29.887,76.89,40,45.027,78.811,"Class1",66.558,62.2,12,25.552,76.464
"Y",32.078,21.953,71,2.461,35.619,"Class3",82.961,29.811,82,97.744,52.001
"J",76.479,50.253,62,34.302,34.882,"Class3",92.888,43.857,83,97.955,66.49
"Q",62.467,22.768,63,35.693,39.343,"Class2",62.231,57.073,76,22.523,27.294
"J",80.47,-10.695,55,51.042,33.762,"Class3",89.524,1.734,72,97.473,56.959
"V",58.338,72.443,41,31.087,83.578,"Class1",38.263,59.18,16,64.814,63.845
"C",17.738,73.185,42,37.244,NA,"Class1",73.842,73.36,25,32.042,66.496
"J",50.163,42.403,68,40.807,33.451,"Class3",72.617,28.712,81,96.568,26.315
"J",48.026,34.392,70,23.396,33.641,"Class3",71.327,35.472,79,94.999,26.334
"V",40.009,72.911,59,55.669,80.655,"Class1",50.682,19.759,33,32.965,61.194
"Y",80.887,39.331,53,43.668,35.623,"Class3",72.256,22.046,79,97.957,27.645
"D",66.221,39.891,58,46.466,21.545,"Class2",77.478,55.508,61,37.322,38.233
"S",67.124,72.258,57,46.582,62.026,"Class2",69.848,59.199,65,54.459,73.634
NA,64.247,74.577,42,38.452,83.397,"Class1",56.332,66.407,34,26.096,70.072
"N",12.842,75.443,47,39.24,80.039,"Class1",67.369,77.769,40,74.508,60.649
"F",56.693,50.03,66,37.016,36.796,"Class3",69.833,8.904,77,97.482,50.819
"V",17.596,79.242,38,43.769,78.039,"Class1",35.574,62.5,31,67.902,63.551
NA,67.935,73.078,51,47.063,82.557,"Class1",98.005,67.685,22,58.184,75.603
"S",66.839,48.899,66,42.919,50.651,"Class2",81.76,60.187,69,51.936,71.49
NA,88.561,34.48,51,29.111,36.708,"Class3",84.778,13.467,72,95.058,36.382
"S",67.86,71.076,60,43.357,31.489,"Class2",63.243,52.866,81,3.182,82.971
"O",62.16,33.95,50,36.014,25.524,"Class2",67.793,59.428,78,36.638,55.472
"V",67.189,75.893,36,40.704,80.979,"Class1",30.772,42.612,36,20.716,77.024
"G",48.415,61.914,66,40.191,35.736,"Class3",85.774,48.89,75,95.98,35.89
"Y",85.233,51.702,71,61.952,36.23,"Class3",85.056,17.011,80,97.136,63.123
"Y",43.846,12.699,64,71.813,NA,"Class3",78.635,43.465,84,97.988,31.226
"S",62.896,83.568,55,35.436,51.258,"Class2",73.758,53.847,62,16.374,32.679
"M",44.973,77.966,65,34.672,NA,"Class1",65.947,64.906,28,67.867,74.629
"E",66.09,16.519,54,48.114,76.742,"Class2",90.511,54.676,59,48.71,66.919
"O",63.714,40.5,58,41.82,50.161,"Class2",61.855,49.452,79,30.014,53.578
"G",58.718,23.519,58,66.032,34.47,"Class3",96.762,44.795,83,94.75,55.51
"B",47.611,75.97,34,38.942,82.189,"Class1",58.705,48.921,20,80.291,73.245
"J",32.214,46.985,71,57.01,33.018,"Class3",90.82,22.55,81,96.154,26.079
"F",70.043,44.103,68,60.251,36.169,"Class3",82.221,9.19,73,96.123,39.313
"F",66.205,37.223,70,42.375,36.657,"Class3",74.001,33.893,84,95.736,32.419
NA,89.859,63.062,52,61.41,33.436,"Class3",79.383,10.262,78,93.667,44.593
"S",64.969,28.385,54,31.046,49.032,"Class2",87.864,54.888,75,49.814,25.504
"F",38.077,19.99,64,66.891,33.484,"Class3",72.442,23.591,86,94.172,34.357
"J",65.78,66.672,63,28.666,35.793,"Class3",81.087,53.858,73,96.339,54.196
"M",10.575,73.13,35,42.636,80.309,"Class1",24.397,53.838,35,70.255,59.973
"F",45.536,46.032,54,75.58,33.683,"Class3",81.685,44.415,83,97.511,56.74
"C",17.126,71.361,59,33.08,79.975,"Class1",50.527,50.264,31,70.193,59.659
"L",56.821,58.242,53,85.829,36.309,"Class3",83.766,64.851,73,97.967,64.476
"J",56.783,53.565,53,70.031,34.338,"Class3",80.998,-4.61,74,97.05,57.135
"V",66.307,74.485,44,36.979,79.84,"Class1",32.356,57.274,22,44.638,67.797
"O",65.742,22.955,67,32.735,29.627,"Class2",74.523,56.142,58,57.813,64.389
"V",31.039,74.71,59,39.082,79.415,"Class1",28.024,35.83,24,75.063,77.001
"V",32.871,74.421,64,35.356,78.422,"Class1",80.868,73.382,20,72.358,70.103
"F",40.251,61.957,63,27.169,35.27,"Class3",98.476,34.225,85,95.643,31.174
"J",41.504,30.509,62,25.601,35.365,"Class3",87.522,5.635,85,98.501,48.174
"E",62.679,80.325,54,45.281,44.726,"Class2",60.539,54.625,66,68.821,66.125
"B",53.452,79.556,52,37.699,82.051,"Class1",67.061,26.608,40,46.841,59.548
NA,52.737,73.75,50,40.062,83.914,"Class1",48.438,69.33,40,71.8,59.286
"E",62.198,20.729,67,48.791,35.096,"Class2",76.97,55.961,74,5.157,46.901
"Y",82.788,-6.173,66,22.408,34.869,"Class3",87.456,29.989,85,98.93,32.165
"N",62.5,76.993,52,39.518,81.341,"Class1",34.174,63.41,25,39.581,60.058
"C",35.097,71.19,46,38.712,80.558,"Class1",41.479,42.171,20,78.483,69.838
"G",75.385,43.998,66,47.26,36.361,"Class3",101.099,21.257,71,97.109,38.573
"J",51.259,38.322,64,46.432,33.647,"Class3",79.408,39.64,75,94.782,59.387
"C",13.114,80.732,36,38.84,78.14,"Class1",59.812,62.075,12,30.769,61.221
"M",52.512,78.024,43,42.974,80.047,"Class1",53.114,81.137,31,48.926,68.312
"V",37.81,78.346,64,48.977,78.147,"Class1",43.377,79.275,32,78.223,65.762
NA,29.664,80.925,47,43.236,78.5,"Class1",26.253,52.297,31,54.458,59.222
"J",54.361,35.897,60,52.063,33.039,"Class3",90.417,63.886,85,93.795,43.197
"O",62.161,-8.299,53,46.737,23.521,"Class2",81.438,60.04,79,69.814,56.429
"J",36.388,47.756,57,54.417,36.901,"Class3",95.955,-0.349,78,93.842,38.519
"M",33.238,78.326,62,34.457,80.748,"Class1",-44.758,65.351,33,32.424,75.143
"D",62.02,68.851,67,43.726,75.523,"Class2",72.204,58.745,66,44.412,52.047
"L",52.346,39.895,58,51.895,34.517,"Class3",81.403,27.18,78,93.614,32.2
"C",52.407,79.487,49,34.388,83.407,"Class1",67.207,62.327,33,21.946,76.905
"Q",67.908,55.633,65,50.986,64.987,"Class2",70.492,58.375,69,18.458,32.334
"S",65.859,54.393,62,36.272,48.613,"Class2",83.825,65.29,79,13.202,54.743
"B",24.191,75.198,32,41.888,82.626,"Class1",45.809,74.435,22,67.414,77.121
"E",62.912,15.814,67,44.676,60.472,"Class2",71.89,63.789,59,94.539,80.15
"B",25.454,77.959,60,35.573,80.06,"Class1",-11.251,28.638,20,45.331,72.55
"J",70.216,42.536,65,19.27,36.028,"Class3",88.921,50.428,72,95.374,60.001
"F",77.681,26.421,70,37.9,33.707,"Class3",99.34,29.476,84,96.596,62.632
"V",55.072,78.704,59,40.136,81.468,"Class1",53.45,64.068,14,73.786,67.151
NA,62.819,5.58,65,36.299,51.066,"Class2",67.852,51.909,60,3.697,25.641
NA,67.515,73.098,41,38.281,81.46,"Class1",61.694,35.479,21,32.92,69.431
NA,73.843,41.555,61,40.492,34.391,"Class3",71.286,45.851,86,95.908,51.092
"C",54.599,75.665,33,36.529,81.477,"Class1",89.035,65.809,11,31.267,60.704
"N",51.545,73.71,49,44.314,78.899,"Class1",83.092,70.012,13,54.719,67.422
"B",61.359,75.958,46,40.5,78.598,"Class1",12.33,64.376,12,70.03,65.726
"J",88.431,70.457,51,34.02,34.805,"Class3",80.81,64.361,82,96.32,54.359
"O",65.242,48.26,56,35.42,NA,"Class2",75.226,50.326,71,40.417,61.987
"D",61.005,33.788,50,44.809,55.254,"Class2",78.326,59,63,86.915,65.946
"G",42.224,51.607,55,50.681,36.171,"Class3",75.379,-19.687,79,97.669,59.546
"Y",31.251,41.273,55,74.559,34.242,"Class3",96.226,22.769,76,94.98,51.556
"Y",55.088,40.332,65,2.157,33.756,"Class3",76.967,31.194,85,93.832,60.669
"N",66.195,69.99,55,46.817,78.763,"Class1",64.347,48.324,16,25.915,71.671
"G",37.003,67.695,68,70.08,34.794,"Class3",75.925,33.143,84,93.165,32.449
"L",32.368,37.713,54,37.249,35.176,"Class3",69.222,37.342,85,94.514,59.116
"D",63.758,82.325,66,34.203,43.468,"Class2",78.549,51.274,69,73.666,48.175
"L",87.613,21.783,51,97.468,36.917,"Class3",98.154,35.512,84,95.439,32.541
"J",44.986,19.773,61,17.324,34.492,"Class3",65.93,55.594,85,94.644,46.469
NA,66.483,67.178,57,48.056,24.288,"Class2",92.148,49.644,73,40.424,83.434
NA,61.176,76.185,67,39.358,67.589,"Class2",73.767,57.995,56,11.284,50.207
"Q",67.489,61.395,63,23.787,43.76,"Class2",90.16,57.607,63,85.459,30.61
"B",34.353,73.419,42,37.38,80.738,"Class1",48.136,29.666,27,74.284,76.725
"Y",59.238,54.111,52,39.503,34.69,"Class3",86.015,49.494,81,96.93,62.104
"J",81.134,49.643,63,100.229,33.612,"Class3",78.526,38.982,73,96.413,56.163
"C",65.39,73.841,32,44.881,83.098,"Class1",-5.524,52.691,15,19.537,60.985
"J",50.037,41.891,64,34.408,35.636,"Class3",75.781,60.488,85,95.593,27.871
"F",69.582,29.374,59,80.563,36.407,"Class3",94.777,47.304,81,96.991,70.541
"M",9.949,74.917,51,39.484,78.44,"Class1",28.845,79.084,38,57.112,70.918
"J",79.869,46.673,68,50.544,33.815,"Class3",112.251,41.33,71,96.455,52.434
"B",12.347,74.569,49,40.876,79.83,"Class1",26.537,49.642,6,54.325,65.852
"L",34.603,28.223,62,48.357,36.78,"Class3",87.347,4.253,78,94.435,60.23
"V",65.688,74.69,40,43.709,79.653,"Class1",50.18,60.226,9,35.639,63.519
"J",80.879,51.167,55,50.526,36.265,"Class3",80.59,42.39,82,94.246,65.523
"N",28.964,79.018,44,44.181,82.339,"Class1",15.037,46.531,13,27.617,77.345
"V",48.013,80.509,60,42.235,83.215,"Class1",23.617,58.225,39,50.408,68.972
"J",74.379,61.274,55,40.141,36.002,"Class3",79.186,31.81,76,96.492,65.933
"D",61.855,46.873,56,41.557,43.209,"Class2",61.41,54.964,71,72.158,36.106
"L",59.544,62.035,56,78.231,34.435,"Class3",103.92,47.262,84,95.709,49.463
"V",50.169,75.928,48,44.633,79.356,"Class1",44.102,56.805,38,47.978,74.5
"G",84.574,24.389,56,59.288,35.987,"Class3",87.66,52.345,75,98.081,36.477
"S",61.369,74.814,66,33.025,32.402,"Class2",52.825,57.367,66,18.223,42.723
"C",17.971,75.677,47,34.26,78.703,"Class1",37.967,76.886,27,34.136,69.788
"S",63.898,35.574,65,53.588,45.22,"Class2",68.02,60.465,57,64.467,76.663
"V",27.743,79.819,44,50.63,NA,"Class1",37.309,47.761,28,63.438,75.905
"M",31.543,74.264,46,46.436,82.694,"Class1",60.244,82.181,10,32.26,62.135
"D",61.791,67.852,66,35.546,54.594,"Class2",64.564,48.224,64,60.704,50.844
"N",60.393,72.803,39,40.208,79.886,"Class1",58.547,29.807,27,63.033,76.308
"B",55.486,82.753,40,40.205,78.03,"Class1",51.33,37.379,27,59.934,61.761
"F",37.769,25.138,63,76.857,36.706,"Class3",80.333,46.594,81,93.06,29.721
"J",50.235,43.93,55,43.197,36.419,"Class3",71.292,36.566,86,94.574,26.677
"V",27.658,81.645,54,35.007,NA,"Class1",-10.41,48.806,31,75.234,66.583
"C",62.898,78.14,52,35.969,83.409,"Class1",43.102,61.295,35,67.225,67.015
"L",82.739,38.814,51,24.141,34.574,"Class3",82.368,37.906,79,95.292,45.085
"D",67.566,65.191,53,44.922,52.354,"Class2",74.908,49.361,79,43.95,32.917
"M",40.111,69.364,37,43.063,83.765,"Class1",42.916,29.189,15,44.517,59.143
"C",22.369,74.414,35,34.791,79.11,"Class1",50.227,45.547,26,35.995,62.537
"Q",66.929,62.545,60,17.518,21.741,"Class2",64.276,46.302,73,33.63,29.698
NA,53.736,61.735,60,70.306,33.252,"Class3",87.829,47.952,83,93.34,37.625
"F",81.87,40.673,52,63.849,34.996,"Class3",93.909,5.998,82,98.579,68.751
"Q",63.554,74.002,61,12.33,24.879,"Class2",60.661,57.074,67,35.087,54.061
"N",12.786,74.786,37,40.15,82.612,"Class1",40.841,35.091,30,42.256,67.081
"Y",62.781,86.96,70,80.897,34.06,"Class3",91.759,7.291,74,98.268,49.195
"Q",65.943,60.959,53,34.389,29.104,"Class2",61.079,61.93,74,38.645,74.543
"O",63.573,60.294,60,34.966,76.857,"Class2",67.863,53.125,64,6.685,26.446
"G",70.98,56.615,70,35.941,34.18,"Class3",79.887,49.199,80,94.648,56.487
"E",61.248,77.019,52,25.63,60.142,"Class2",48.185,52.704,61,94.164,56.831
"F",34.744,32.413,63,64.802,36.963,"Class3",62.537,54.658,85,95.452,55.537
"C",30.725,83.481,46,42.381,79.577,"Class1",-0.64,83.195,32,46.497,70.645
"B",36.612,73.849,42,37.009,82.31,"Class1",32.861,71.927,17,51.961,59.425
"V",16.674,77.798,50,40.935,80.154,"Class1",48.974,44.282,34,39.288,64.352
"N",47.272,74.164,46,32.153,78.536,"Class1",75.305,47.998,25,33.283,74.453
"C",66.448,72.133,32,38.683,83.636,"Class1",26.474,72.544,28,80.668,59.832
"Q",63.236,75.833,54,48.411,24.151,"Class2",78.392,52.367,79,91.594,73.897
"C",22.277,80.571,54,39.141,83.252,"Class1",41.294,74.26,37,39.291,65.943
"N",51.391,77.461,52,47.916,82.188,"Class1",26.139,43.771,20,26.694,75.173
"C",30.256,80.228,43,42.225,80.76,"Class1",-2.254,54.2,22,24.901,67.615
"N",42.129,73.288,41,51.81,78.228,"Class1",25.367,69.382,35,64.226,74.55
"G",87.906,25.802,58,42.491,36.009,"Class3",85.74,55.562,86,94.625,58.947
NA,48.416,33.591,65,42.737,33.421,"Class3",74.026,22.113,71,95.285,31.337
"Y",37.68,50.145,69,43.996,35.932,"Class3",75.144,5.572,82,98.914,62.066
"M",28.059,79.157,55,38.553,78.892,"Class1",41.091,80.915,29,39.05,70.83
"J",33.927,21.769,58,79.395,36.09,"Class3",86.835,63.562,78,93.434,31.554
"B",10.56,75.827,39,35.301,NA,"Class1",-2.554,69.22,14,30.505,59.51
"N",64.654,79.911,57,40.018,78.001,"Class1",60.154,44.293,25,68.101,68.644
"D",64.863,60.377,58,37.128,45.531,"Class2",53.715,57.072,58,67.653,58.164
"N",18.157,72.555,47,36.745,80.708,"Class1",37.869,64.814,36,38.829,72.533
"M",30.758,70.713,38,41.632,82.711,"Class1",39.218,60.351,24,34.191,62.285
"G",64.205,42.202,58,50.774,35.404,"Class3",76.526,31.392,75,95.6,60.211
"B",18.545,81.643,54,38.301,80.709,"Class1",-11.907,72.477,23,26.954,75.39
"G",39.421,53.114,62,33.463,36.92,"Class3",83.164,31.235,78,93.255,65.973
"M",26.933,70.6,40,35.79,81.371,"Class1",61.268,55.752,13,62.121,75.292
"B",67.209,72.663,60,45.287,81.35,"Class1",22.995,62.116,19,55.964,76.577
"O",62.4,62.616,55,35.714,22.032,"Class2",69.865,56.492,80,13.161,32.254
"L",60.117,73.247,51,55.474,NA,"Class3",92.019,41.774,74,94.191,42.614
"C",40.285,78.886,66,35.77,81.629,"Class1",11.007,61.221,17,35.077,60.12
"C",58.54,72.812,46,40.814,82.207,"Class1",40.468,44.679,11,21.167,65.621
"N",19.673,76.668,63,44.304,83.592,"Class1",61.224,82.143,19,35.473,73.199
"M",30.286,79.538,65,36.528,83.647,"Class1",50.179,41.868,28,23.402,77.634
"O",62.831,15.702,55,45.351,57.31,"Class2",78.854,60.609,72,80.276,67.518
"V",28.861,79.245,38,38.342,79.243,"Class1",39.435,24.997,32,19.146,63.147
"N",62.468,74.174,57,49.526,79.474,"Class1",43.076,57.118,30,34.89,76.16
"D",61.317,41.094,63,49.361,63.383,"Class2",66.337,45.504,60,97.493,46.606
"B",66.37,78.292,32,50.894,78.537,"Class1",69.275,54.498,32,46.546,59.789
"V",40.758,81.771,49,34.728,80.415,"Class1",39.536,96.778,38,75.029,59.835
"D",65.819,72.875,65,34.138,50.977,"Class2",71.784,53.964,65,39.193,42.272
"F",31.056,30.024,67,41.403,36.893,"Class3",93.442,27.021,81,95.888,30.799
"S",62.613,49.189,53,41.187,54.589,"Class2",91.119,58.027,62,82.916,75.637
"M",10.302,76.087,35,43.16,81.331,"Class1",69.694,63.671,35,55.544,61.244
"D",62.879,18.767,52,45.03,44.671,"Class2",69.474,58.764,78,62.402,43.17
"J",84.701,55.188,68,14.269,35.745,"Class3",75.15,43.322,83,96.835,67.78
NA,48.749,47.336,53,44.101,33.222,"Class3",86.233,51.609,76,98.107,55.468
"Y",34.453,81.794,71,32.225,35.161,"Class3",79.198,54.837,80,96.792,66.22
"V",51.433,74.229,57,45.786,78.932,"Class1",58.953,61.38,5,54.907,66.396
"B",15.371,79.797,52,40.159,79.603,"Class1",5.481,42.097,24,22.731,65.682
"G",71.976,71.679,59,36.269,33.996,"Class3",89.429,36.928,80,93.07,28.688
"F",81.665,30.62,68,71.132,35.145,"Class3",78.204,69.102,76,95.238,63.748
"L",79.807,50.109,51,34.492,33.957,"Class3",86.488,21.088,86,97.617,35.881
"O",67.046,93.072,58,49.495,68.007,"Class2",67.315,55.313,75,59.344,28.152
"Q",65.748,52.626,57,58.083,36.75,"Class2",76.246,56.162,81,93.86,23.079
"N",20.054,74.768,60,36.28,83.726,"Class1",-7.927,67.291,17,50.856,62.725
"Y",32.746,41.329,56,67.445,36.483,"Class3",83.364,38.074,82,97.23,47.295
"G",48.637,51.523,51,51.071,36.719,"Class3",95.62,33.74,71,94.241,53.497
"V",43.964,73.836,51,33.917,83.198,"Class1",23.403,53.505,13,36.768,63.548
"V",50.615,77.391,43,39.33,79.132,"Class1",55.492,46.346,10,59.76,62.97
"Y",78.281,33.631,56,16.774,36.678,"Class3",68.552,53.572,72,95.426,66.909
"Q",62.792,38.878,65,34.418,79.204,"Class2",60.055,55.104,80,73.453,82.349
NA,66.618,58.971,63,49.464,42.699,"Class2",77.301,57.049,63,42.938,25.339
"S",67.954,42.896,53,40.009,39.085,"Class2",79.343,62.541,61,50.248,60.686
"N",58.585,81.32,56,38.899,82.727,"Class1",58.074,62.272,7,30.1,71.849
"S",65.917,19.796,63,60.477,32.642,"Class2",57.377,51.512,57,8.091,35.345
"O",64.958,86.183,61,60.213,60.086,"Class2",81.141,62.288,67,53.975,32.733
"F",75.339,52.945,60,34.966,36.522,"Class3",78.83,15.216,72,98.643,45.531
"L",80.582,49.428,62,88.151,33.644,"Class3",89.387,24.363,79,97.514,40.95
"D",62.125,69.095,62,49.525,58.795,"Class2",68.76,62.371,59,15.016,67.947
"V",52.493,75.87,64,42.054,83.361,"Class1",57.839,65.457,14,35.89,76.169
"L",42.842,44.868,55,55.206,33.061,"Class3",95.179,-4.444,79,98.17,28.137
"M",54.703,71.565,50,33.283,79.259,"Class1",63.455,49.103,17,57.788,69.12
"F",68.72,27.925,56,100.805,33.057,"Class3",58.71,18.336,76,95.658,45.338
"E",67.454,84.166,63,40.657,34.986,"Class2",63.676,55.266,76,45.855,56.377
"J",84.591,54.069,70,53.089,36.427,"Class3",89.776,48.214,74,97.397,41.824
NA,64.069,69.869,60,39.392,44.856,"Class2",82.448,58.552,61,46.256,33.901
"N",18.132,73.554,36,37.689,NA,"Class1",1.761,50.926,24,77.477,64.055
"B",26.562,79.841,43,38.079,78.785,"Class1",61.119,52.902,11,51.768,59.391
"G",66.169,40.148,71,54.871,36.228,"Class3",68.329,29.503,85,93.13,70.769
"Q",65.246,105.302,52,35.518,NA,"Class2",54.899,53.642,76,40.291,80.986
"E",66.539,31.103,60,29.392,34.374,"Class2",71.767,55.256,82,35.411,44.697
"E",66.66,58.27,64,40.555,23.673,"Class2",68.355,53.093,82,26.329,30.112
"Y",53.263,21.706,54,54.044,35.262,"Class3",88.072,32.01,79,96.812,70.463
"Q",63.571,56.525,63,39.204,24.647,"Class2",67.684,52.512,59,75.938,25.015
"O",66.95,57.955,51,24.184,44.046,"Class2",69.787,59.326,79,55.336,76.174
"S",61.748,70.893,66,31.013,25.983,"Class2",75.262,59.865,79,69.406,39.065
"B",27.747,83.168,40,41.37,79.691,"Class1",37.974,48.244,33,27.867,64.223
"V",68.479,68.69,63,36.6,79.429,"Class1",57.25,76.105,5,22.963,72.645
"G",69.631,46.409,65,69.885,36.888,"Class3",72.443,91.593,75,96.798,64.947
"L",71.841,55.182,55,42.415,33.69,"Class3",85.586,21.284,73,95.475,33.904
"C",32.616,71.424,38,36.325,78.619,"Class1",59.47,62.053,26,66.306,69.756
"B",35.848,72.448,35,35.012,80.343,"Class1",6.501,10.459,25,56.337,65.349
"G",88.005,73.347,56,67.251,36.533,"Class3",98.052,37.737,79,93.378,32.639
"G",81.472,50.856,60,85.274,36.146,"Class3",70.637,24.764,74,93.907,61.285
"E",67.93,57.365,64,35.895,50.303,"Class2",87.73,66.745,60,42.295,84.098
"C",22.31,81.609,62,43.991,81.288,"Class1",66.896,32.077,33,42.769,69.041
"N",34.254,74.125,36,45.568,83.359,"Class1",73.772,74.1,6,34.382,64.723
"D",65.837,83.184,57,38.458,24.582,"Class2",87.288,62.613,69,68.578,53.881
"Q",65.402,35.252,67,64.723,40.65,"Class2",81.911,50.928,65,32.737,64.268
"C",32.616,73.174,35,38.837,81.736,"Class1",7.493,38.315,28,65.8,75.001
"S",67.315,73.753,65,18.408,78.701,"Class2",64.985,55.839,77,77.102,30.427
"D",66.097,37.027,60,39.357,75.701,"Class2",82.469,47.57,56,61.167,42.348
"G",76.617,37.119,71,47.153,36.2,"Class3",80.701,31.808,83,93.178,45.895
"O",67.517,25.034,67,38.638,51.639,"Class2",69.76,59.179,72,91.03,56.608
"S",63.578,60.595,55,21.051,40.378,"Class2",61.508,58.229,59,70.836,68.881
"V",26.834,77.227,56,40.67,82.799,"Class1",56.772,58.204,26,60.326,72.267
"O",63.631,90.927,60,34.46,52.567,"Class2",71.463,58.211,80,61.698,80.058
NA,64.502,22.345,67,51.51,48.032,"Class2",70.639,51.608,73,74.81,49.602
"C",34.874,78.537,56,35.889,79.872,"Class1",-6.463,42.536,39,67.828,69.404
"D",67.994,29.172,66,45.713,79.674,"Class2",81.511,67.512,79,47.261,32.211
"C",63.195,76.613,67,39.88,79.631,"Class1",57.806,54.29,26,31.651,67.363
"F",51.896,48.427,54,29.738,NA,"Class3",82.647,28.62,80,96.323,51.234
