"GEF1","ZJQ2","PNA3","HJS4","KWG5","Output7","CWN6","FKT7","HTK8","OWZ9","XEK10","YQP11"
"G",44.917,50.98,54,76.391,"Class1",33.273,"D",35.048,49.455,86.068,66.002
"U",41.129,45.518,30,58.697,"Class2",74.171,"C",14.05,77.215,11.935,25.859
"G",33.765,50.685,57,70.947,"Class1",10.377,"I",28.202,19.584,74.627,NA
"C",30.744,50.237,52,70.003,"Class1",21.081,"C",17.887,74.657,89.602,54.339
"D",46.273,46.895,38,45.987,"Class2",79.428,"L",16.685,70.283,4.732,26.117
"O",34.744,9.726,70,23.972,"Class3",51.336,"G",55.561,75.155,17.59,78.531
"H",50.356,42.776,42,4.396,"Class2",51.992,"Q",20.007,86.613,10.815,NA
"O",34.445,16.599,60,14.573,"Class3",47.719,"L",51.59,41.659,11.173,80.416
"N",46.844,60.549,38,114.849,"Class2",95.183,"C",18.037,75.908,6.202,25.054
"H",47.334,71.259,33,3.073,"Class2",83.837,"C",14.398,82.067,16.626,18
"O",35.082,7.813,63,35.728,"Class3",41.469,"R",48.409,93.284,74.463,57.041
"T",43.835,50.707,53,70.361,"Class1",-0.376,"I",64.251,92.538,81.771,48.718
"U",45.319,57.848,32,83.075,"Class2",103.818,"C",19.804,83.566,6.91,19.925
"N",45.178,51.567,52,60.072,"Class1",10.528,"C",14.037,37.174,80.311,72.231
"G",48.306,52.319,52,88.968,"Class1",10.366,"C",34.027,62.703,92.301,31.993
"N",45.312,51.254,57,77.765,"Class1",19.243,"I",62.665,66.991,73.981,71.349
"N",55.793,52.876,55,67.147,"Class1",8.306,"X",11.16,8.699,80.615,45.796
"N",43.572,29.452,28,82.051,"Class2",83.252,"L",18.554,77.875,12.802,19.052
"Z",46.342,66.734,30,52.155,"Class2",58.555,"A",17.193,78.899,15.877,20.608
"H",46.935,40.436,41,98.965,"Class2",48.619,"L",36.837,74.409,5.23,23.739
"D",43.631,36.674,44,76.163,"Class2",51.753,"C",27.426,70.686,3.756,NA
"H",45.267,68.349,30,48.086,"Class2",80.43,"A",31.831,73.423,14.125,19.648
"S",34.681,14.968,66,25.674,"Class3",47.555,"L",50.078,30.816,71.598,64.31
"N",59.663,52.885,51,58.116,"Class1",7.06,"D",73.099,73.146,71.711,34.715
"U",45.752,58.852,28,69.525,"Class2",74.836,"X",29.98,78.146,12.194,26.278
"T",17.424,52.45,57,55.153,"Class1",4.134,"X",36.88,78.527,81.309,41.022
"N",38.579,52.749,55,67.432,"Class1",13.557,"D",73.127,94.796,88.587,77.477
"N",50.454,51.897,57,86.345,"Class1",19.08,"C",7.594,24.879,86.399,72.072
"T",53.557,50.866,52,51.197,"Class1",32.75,"I",4.955,58.752,74.722,34.144
"G",32.619,50.362,55,91.889,"Class1",22.066,"P",38.73,34.86,73.89,25.505
"D",74.603,51.236,51,75.405,"Class1",11.526,"D",NA,76.198,78.316,74.418
"G",41.658,51.348,51,72.136,"Class1",15.132,"P",76.351,15.359,79.122,15.596
"U",47.13,33.375,30,70.922,"Class2",95.448,"X",NA,70.085,14.243,19.7
"A",34.642,11.27,59,23.33,"Class3",36.916,"E",58.429,72.611,85.83,61.226
"C",44.073,52.959,53,54.928,"Class1",21.501,"P",66.495,21.178,84.43,42.027
"N",49.939,52.947,29,36.382,"Class2",74.625,"C",33.523,77.936,4.893,22.261
"B",34.761,17.743,62,21.403,"Class3",51.445,"R",58.633,30.561,25.206,53.367
"O",35.508,8.957,65,38.763,"Class3",42.172,"G",58.966,84.86,85.45,60.891
"D",44.564,54.118,31,57.415,"Class2",52.84,"C",15.25,78.505,13.505,18.97
"H",48.398,24.997,38,58.516,"Class2",97.726,"A",23.949,74.113,9.059,18.853
"G",34.885,10.446,70,20.847,"Class3",46.858,"G",51.396,44.914,18.53,74.384
"D",50.839,52.861,54,71.761,"Class1",10.266,"C",NA,48.561,82.165,42.126
"S",35.102,11.969,61,42.084,"Class3",54.152,"R",50.881,93.382,58.775,39.375
"H",41.372,29.589,42,17.599,"Class2",65.189,"C",33.96,86.546,15.568,21.414
"N",45.681,27.156,28,77.568,"Class2",85.734,"L",25.942,83.095,3.189,19.687
"T",50.769,51.282,51,55.588,"Class1",24.873,"D",50.288,98.546,68.088,78.267
"D",43.032,52.827,52,66.094,"Class1",31.265,"X",79.683,14.445,80.88,60.749
"U",48.412,29.765,41,-0.724,"Class2",76.313,"Q",41.681,78.771,11.687,18.058
"D",50.329,57.473,40,72.489,"Class2",59.626,"C",16.549,87.637,10.112,17.013
"S",34.767,22.982,67,33.542,"Class3",35.859,"L",58.749,89.363,26.982,62.324
"U",47.864,52.34,33,11.638,"Class2",72.256,"C",21.475,73.203,5.536,21.562
"G",36.383,11.381,64,18.723,"Class3",37.405,"G",56.077,94.754,24.812,85.75
"S",35.761,18.627,62,13.629,"Class3",48.568,"R",56.97,36.286,28.214,NA
"B",34.783,19.242,66,28.345,"Class3",54.489,"G",48.03,63.472,39.282,71.139
"D",45.043,52.447,51,67.369,"Class1",13.742,"D",68.263,13.498,90.734,33.629
"Z",44.383,42.823,35,66.344,"Class2",104.298,"X",42.594,72.133,8.569,18.086
"Z",42.869,51.693,37,41.852,"Class2",41.873,"Q",47.289,83.088,8.037,17.944
"H",43.463,34.611,31,33.307,"Class2",44.192,"A",41.293,79.798,15.717,21.047
"C",35.921,52.074,51,61.237,"Class1",17.033,"I",65.443,42.074,72.889,45.964
"Z",43.382,32.765,31,89.502,"Class2",67.999,"A",NA,86.484,10.826,23.291
"B",34.47,13.941,70,31.429,"Class3",58.33,"L",50.472,70.645,3.702,87.196
"O",34.605,6.911,69,15.695,"Class3",32.609,"X",NA,92.299,11.201,81.167
"B",35.256,15.465,70,13.273,"Class3",52.476,"G",46.955,43.115,23.184,60.058
"U",48.338,54.313,38,77.966,"Class2",73.245,"Q",18.908,82.704,15.533,18.454
"U",45.481,27.662,44,66.532,"Class2",74.739,"Q",35.683,85.924,2.333,25.756
"G",57.713,51.785,55,73.127,"Class1",46.164,"I",29.9,67.942,79.281,54.812
"D",48.229,52.866,52,58.142,"Class1",6.961,"I",10.053,52.558,92.478,61.635
"D",44.974,66.924,34,59.62,"Class2",47.484,"L",26.953,75.514,7.083,25.582
"B",34.976,12.902,61,14,"Class3",46.687,"X",56.103,32.085,11.379,88.945
"G",34.523,21.18,63,19.17,"Class3",46.784,"R",NA,73.885,68.462,59.167
"C",46.527,52.357,56,75.761,"Class1",15.628,"P",8.472,69.724,92.989,34.321
"B",34.446,20.901,68,23.172,"Class3",55.591,"G",47.452,67.891,69.7,68.537
"N",42.376,61.707,33,106.986,"Class2",50.966,"C",27.932,83.92,10.895,27.844
"G",35.168,6.068,64,23.523,"Class3",62.687,"G",59.048,81.81,47.05,49.129
"Z",49.606,51.458,28,60.428,"Class2",58.35,"A",23.958,75.034,16.144,22.063
"B",34.395,22.827,68,24.78,"Class3",50.132,"R",48.356,57.433,53.106,97.73
"D",45.797,51.267,56,48.475,"Class1",32.276,"I",NA,31.696,76.98,NA
"D",49.815,36.776,40,102.754,"Class2",43.379,"C",44.954,70.687,9.905,21.463
"N",47.263,40.256,38,67.986,"Class2",98.598,"L",30.183,84.602,2.033,17.986
"A",35.617,11.724,61,40.911,"Class3",46.949,"L",NA,46.054,53.145,74.679
"C",54.682,51.26,52,58.897,"Class1",7.802,"D",8.329,31.056,70.571,54.826
"G",54.946,52.854,52,69.313,"Class1",25.688,"P",60.216,88.984,82.406,51.756
"N",63.694,52.633,53,67.896,"Class1",35.682,"D",70.941,5.585,78.354,72.474
"U",41.375,72.787,36,34.53,"Class2",106.725,"A",46.38,77.013,12.457,19.78
"N",45.301,70.279,28,70.803,"Class2",63.884,"A",25.44,85.293,11.6,21.296
"Z",43.899,60.177,38,43.831,"Class2",93.632,"X",20.83,70.155,6.121,29.45
"G",39.058,50.524,54,72.223,"Class1",36.111,"I",44.96,31.239,66.18,46.239
"N",43.869,47.925,40,98.413,"Class2",90.524,"A",37.425,84.001,10.711,23.446
"U",43.521,47.675,35,19.982,"Class2",58.053,"A",35.568,87.675,6.407,23.507
"O",33.826,6.121,65,26.845,"Class3",61.266,"L",48.376,33.066,40.554,72.877
"N",54.727,51.014,52,84.397,"Class1",22.691,"P",54.958,56.605,88.665,17.406
"T",55.696,50.81,56,70.298,"Class1",10.835,"C",50.433,80.605,88.583,24.53
"G",40.688,51.74,51,56.705,"Class1",17.55,"P",55.636,61.052,76.895,28.176
"D",63.585,51.384,55,66.444,"Class1",12.062,"X",16.435,98.936,84.931,32.619
"S",35.212,8.526,67,36.311,"Class3",51.462,"R",59.087,42.288,82.407,68.354
"O",34.989,17.195,61,32.868,"Class3",42.705,"X",56.673,88.654,82.789,71.989
"U",43.07,29.607,40,42.705,"Class2",82.393,"A",12.177,78.458,4.388,12.096
"D",48.218,72.126,42,87.584,"Class2",63.5,"L",45.415,80.282,16.946,17.28
"G",34.805,9.868,68,25.312,"Class3",43.787,"R",51.252,81.032,35.756,85.246
"G",39.298,51.205,57,89.835,"Class1",10.046,"I",60.469,24.013,92.229,71.823
"T",51.108,50.392,54,70.962,"Class1",9.284,"I",68.312,48.325,73.331,30.547
"N",55.214,50.798,54,60.285,"Class1",27.184,"I",41.615,24.373,87.445,36.781
"C",57.134,50.668,57,68.291,"Class1",33.004,"C",48.568,26.783,78.208,78.928
"O",34.521,6.964,61,1.692,"Class3",34.629,"L",46.554,61.776,14.757,62.792
"S",34.642,7.914,65,37.775,"Class3",46.176,"E",48.977,87.301,38.27,66.504
"U",43.167,42.649,38,85.972,"Class2",60.229,"L",28.375,79.64,8.142,19.178
"G",36.684,19.671,69,21.359,"Class3",55.87,"X",52.887,62.693,39.684,54.217
"O",35.119,16.335,68,27.962,"Class3",50.228,"R",49.324,61.844,8.071,72.789
"U",41.136,24.613,35,85.611,"Class2",45.073,"A",17.121,84.704,16.81,22.87
"D",48.24,71.685,40,12.637,"Class2",67.756,"X",22.324,87.314,12.041,21.524
"T",58.343,51.534,54,63.8,"Class1",25.596,"X",5.015,21.055,91.759,52.365
"T",40.04,51.728,55,52.484,"Class1",14.952,"P",58.757,93.205,72.193,45.79
"T",52.888,51.258,56,45.685,"Class1",17.045,"X",47.998,52.83,87.621,NA
"N",49.708,69.592,36,37.953,"Class2",43.13,"L",30.678,70.388,10.367,NA
"G",45.436,52.96,53,77.387,"Class1",12.116,"P",70.355,50.544,83.404,62.636
"D",37.121,50.898,52,84.497,"Class1",18.976,"X",57.013,47.186,69.55,98.771
"D",55.486,51.021,54,60.9,"Class1",33.114,"C",40.798,84.706,66.207,6.1
"G",35.188,9.609,65,24.9,"Class3",58.74,"X",53.016,50.915,45.323,49.088
"U",48.515,39.579,31,85.276,"Class2",57.272,"X",38.018,82.991,9.054,18.613
"C",47.46,51.832,51,52.32,"Class1",28.325,"C",69.41,51.47,87.73,46.235
"G",36.128,21.605,66,16.319,"Class3",36.518,"X",52.625,36.716,55.193,78.074
"S",34.925,21.567,59,20.397,"Class3",43.47,"L",55.201,30.578,50.51,80.457
"U",43.36,69.953,39,36.643,"Class2",74.919,"A",42.494,75.614,2.977,23.211
"D",45.075,36.337,43,51.471,"Class2",112.654,"L",NA,81.403,6.477,19.419
"A",33.86,5.815,64,35.34,"Class3",64.105,"R",50.594,31.655,29.446,72.268
"O",35.037,19.245,68,38.35,"Class3",47.108,"E",49.687,84.182,80.755,59.313
"Z",44.928,24.41,40,54.129,"Class2",65.521,"X",13.985,87.249,10.421,18.483
"G",33.642,19.455,65,29.797,"Class3",62.187,"E",54.366,77.702,21.139,66.923
"U",47.433,24.742,32,29.097,"Class2",89.261,"L",24.647,78.511,4.808,NA
"G",35.113,10.243,60,23.891,"Class3",53.687,"G",51.31,65.842,9.711,80.614
"O",34.547,11.297,63,23.214,"Class3",48.464,"R",56.13,66.683,12.043,60.179
"T",24.958,51.793,51,47.189,"Class1",9.506,"D",3.937,92.322,73.173,51.272
"D",50.677,53.868,34,20.799,"Class2",89.176,"X",45.578,73.438,9.852,21.181
"T",53.692,51.625,51,70.244,"Class1",32.005,"C",27.926,57.027,75.565,17.102
"S",33.535,22.684,71,29.746,"Class3",36.089,"G",53.58,44.429,12.028,77.542
"S",34.894,8.956,68,30.824,"Class3",54.203,"L",48.21,87.376,78.94,66.39
"B",34.233,8.513,64,25.352,"Class3",54.28,"L",NA,90.932,38.19,87.102
"O",35.127,13.132,60,29.794,"Class3",41.04,"X",53.422,39.572,84.357,72.925
"N",43.298,50.947,54,62.981,"Class1",20.118,"X",75.252,58.29,91.882,75.346
"O",34.968,15.74,61,21.632,"Class3",36.916,"X",51.876,50.027,82.922,80.219
"H",47.143,59.508,36,-1.193,"Class2",78.772,"Q",39.72,75.116,15.282,16.369
"B",34.575,22.39,65,23.714,"Class3",48.322,"G",55.807,78.146,62.765,56.904
"A",34.083,23.086,63,22.881,"Class3",50.724,"R",NA,55.039,25.586,68.293
"D",50.995,71.01,28,28.013,"Class2",85.167,"L",45.701,77.754,15.884,22.082
"H",46.333,66.927,28,121.507,"Class2",82.442,"A",31.99,83.529,14.334,17.711
"G",61.912,50.425,55,87.664,"Class1",28.411,"C",74.22,39.864,70.26,51.959
"A",35.188,11.058,61,29.335,"Class3",44.405,"E",48.196,35.615,70.888,NA
"D",49.018,50.069,33,18.982,"Class2",81.397,"L",25.775,82.701,16.972,NA
"C",40.582,50.977,51,61.902,"Class1",16.983,"C",56.994,44.602,69.343,56.259
"H",49.408,26.922,44,25.227,"Class2",75.443,"Q",35.5,72.828,8.308,21.512
"T",44.491,51.927,57,55.77,"Class1",12.45,"C",NA,53.327,84.195,43.875
"G",58.2,50.122,54,98.764,"Class1",29.656,"D",63.816,7.283,85.512,74.039
"D",51.68,52.833,56,67.737,"Class1",14.838,"I",9.333,58.311,90.106,36.153
"C",93.763,50.423,53,96.261,"Class1",8.772,"D",47.656,62.654,67.341,88.945
"G",33.91,22.415,65,29.039,"Class3",59.563,"X",53.457,49.681,54.866,57.896
"D",50.414,61.773,35,27.958,"Class2",44.392,"L",39.632,77.154,13.591,25.976
"D",43.952,36.326,41,19.26,"Class2",49.355,"C",39.629,86.323,11.284,28.273
"U",47.466,40.45,39,54.642,"Class2",61.028,"C",22.376,85.183,10.442,22.657
"S",35.135,22.095,62,26.057,"Class3",48.14,"G",52.269,94.962,18.475,97.729
"D",64.778,52.877,51,58.638,"Class1",22.93,"D",NA,22.508,70.82,NA
"A",35.32,5.001,65,36.262,"Class3",41.721,"G",53.606,82.3,9.541,59.753
"C",47.091,51.381,51,64.494,"Class1",16.198,"I",72.474,40.441,72.116,69.445
"G",54.924,52.97,54,74.723,"Class1",16.763,"P",20.211,37.295,68.204,62.471
"N",54.648,51.791,54,61.338,"Class1",23.889,"I",45.786,88.828,84.326,77.025
"D",33.726,50.029,55,52.107,"Class1",13.969,"I",4.998,94.718,70.05,63.698
"G",34.161,17.052,69,20.846,"Class3",54.031,"G",51.711,23.706,56.219,54.023
"Z",45.929,30.839,42,33.95,"Class2",52.423,"X",15.944,78.613,11.246,24.389
"G",36.297,13.001,63,19.553,"Class3",49.397,"L",48.763,76.738,50.665,88.532
"Z",49.519,42.454,43,25.464,"Class2",75.993,"X",31.774,79.11,11.1,19.401
"D",44.077,50.211,54,75.26,"Class1",26.025,"C",50.641,20.168,69.479,68.563
"N",49.564,51.858,57,61.177,"Class1",23.207,"X",55.012,84.713,79.335,82
"H",46.36,48.761,43,103.968,"Class2",61.794,"Q",43.981,78.823,8.681,NA
"G",39.263,51.665,56,66.25,"Class1",13.134,"P",67.223,31.26,78.894,59.085
"N",43.684,45.612,36,44.279,"Class2",42.744,"Q",39.514,70.606,8.445,23.182
"U",46.443,66.743,38,13.016,"Class2",48.588,"L",18.12,82.462,2.383,16.824
"U",43.226,39.321,30,31.033,"Class2",53.808,"A",36.791,74.086,15.235,25.297
"U",44.221,40.634,27,64.299,"Class2",87.618,"C",28.947,75.638,6.481,21.965
"D",44.16,59.249,38,59.069,"Class2",76.42,"A",19.067,78.805,11.796,27.62
"N",44.943,51.034,52,59.406,"Class1",44.067,"C",63.547,10.937,84.175,69.986
"U",43.653,31.994,33,124.16,"Class2",88.446,"Q",34.04,74.823,8.894,17.908
"D",49.673,52.821,52,75.75,"Class1",37.953,"X",30.645,24.448,72.423,44.443
"T",67.296,50.365,55,53.324,"Class1",24.012,"D",NA,56.783,66.829,40.107
"A",34.937,23.418,62,4.621,"Class3",51.425,"R",55.967,30.49,65.276,79.285
"O",35.369,21.179,65,25.249,"Class3",47.594,"X",51.812,52.983,30.958,66.134
"G",35.127,23.443,71,17.579,"Class3",48.334,"R",53.594,44.589,49.02,49.851
"D",40.654,52.017,53,78.015,"Class1",20.161,"X",49.883,63.821,66.702,57.979
"S",35.314,6.131,66,31.256,"Class3",56.471,"E",48.824,30.593,46.409,57.054
"N",46.7,43.496,34,57.416,"Class2",88.924,"X",12.055,76.636,3.573,19.982
"G",52.878,51.847,51,58.042,"Class1",16.228,"D",NA,95.799,83.786,62.099
"C",65.692,52.4,53,75.075,"Class1",25.865,"C",54.628,93.065,71.434,70.859
"N",34.683,51.089,57,88.416,"Class1",28.105,"D",74.273,52.003,74.631,58.468
"H",44.441,66.804,43,93.365,"Class2",24.624,"X",35.172,80.148,2.29,25.03
"G",60.523,51.544,51,50.319,"Class1",18.359,"X",54.374,7.368,69.542,36.854
"G",51.308,50.562,51,56.328,"Class1",17.652,"P",37.851,63.077,83.202,59.705
"C",24.973,50.112,52,62.128,"Class1",37.295,"I",79.901,86.606,78.614,62.51
"D",64.876,51.088,55,54.532,"Class1",14.467,"X",31.23,26.131,90.791,90.256
"U",47.387,60.98,31,53.692,"Class2",97.279,"X",40.518,85.411,6.563,21.757
"A",35.722,8.593,61,21.036,"Class3",58.717,"R",46.361,50.582,35.303,55.567
"Z",45.126,36.331,38,46.652,"Class2",75.335,"A",15.712,72.459,6.625,13.75
"N",43.588,50.948,56,50.851,"Class1",23.832,"P",NA,46.95,70.685,58.077
"D",52.997,29.048,28,29.725,"Class2",56.761,"Q",40.221,75.707,14.396,20.834
"G",27.38,50.381,51,52.282,"Class1",39.677,"X",46.011,74.467,74.732,58.18
"G",35.69,7.719,60,19.507,"Class3",50.161,"G",52.338,83.341,87.529,64.368
"N",46.649,55.373,41,46.738,"Class2",70.846,"X",13.831,76.932,10.501,20.571
"N",44.015,52.933,54,59.402,"Class1",30.803,"P",23.912,77.649,77.702,19.183
"G",36.298,15.473,65,22.95,"Class3",43.502,"X",50.933,30.404,88.243,80.218
"C",57.641,51.018,54,54.581,"Class1",29.322,"D",NA,92.36,76.989,97.801
"S",35.98,12.527,68,13.41,"Class3",51.323,"R",54.915,55.855,74.327,108.073
"O",34.762,14.403,59,26.277,"Class3",48.916,"R",52.677,31.611,80.403,56.187
"G",34.616,22.358,65,26.265,"Class3",52.526,"L",46.855,44.27,3.822,63.052
"H",43.451,56.367,33,122.333,"Class2",75.32,"Q",NA,72.534,7.927,17.86
"B",34.296,7.601,62,29.35,"Class3",52.923,"G",56.289,88.706,82.034,68.453
"C",52.498,51.556,52,62.665,"Class1",25.536,"P",27.028,50.658,68.328,53.217
"U",47.238,52.107,42,59.032,"Class2",54.375,"X",14.986,76.606,9.689,18.194
"D",45.935,33.882,28,48.44,"Class2",76.611,"L",24.313,74.602,10.269,18.729
"T",44.353,51.744,56,44.804,"Class1",17.662,"D",79.115,79.738,75.046,2.894
"Z",48.869,44.122,37,59.18,"Class2",77.962,"Q",17.753,77.073,9.697,24.105
"D",48.718,52.708,27,35.473,"Class2",97.367,"C",39.923,72.751,6.544,22.92
"G",35.468,17.209,61,36.248,"Class3",46.976,"X",57.123,54.915,84.217,90.324
"G",34.85,8.045,67,19.96,"Class3",58.461,"E",47.901,70.507,8.906,NA
"D",49.324,43.564,32,67.629,"Class2",60.014,"A",23.27,75.4,5.823,26.404
"D",33.484,50.564,52,52.997,"Class1",27.276,"P",63.588,77.014,89.237,4.56
"T",15.511,50.861,55,52.575,"Class1",14.419,"P",43.997,95.794,70.703,45.407
"N",59.637,51.066,53,57.853,"Class1",12.58,"D",37.133,19.11,73.185,59.607
"C",55.275,50.957,51,41.82,"Class1",13.047,"P",14.462,43.499,85.709,58.541
"U",44.85,51.984,28,87.516,"Class2",20.466,"C",44.204,83.39,10.514,25.379
"Z",49.338,63.408,43,16.19,"Class2",41.945,"A",45.828,72.313,14.184,21.996
"G",41.835,52.773,53,50.203,"Class1",17.107,"I",36.374,18.408,72.323,77.532
"A",34.701,19.628,59,21.882,"Class3",41.788,"L",49.842,54.134,54.576,79.877
"H",48.249,53.382,31,58.365,"Class2",58.268,"A",13.023,71.241,16.523,22.932
"N",46.899,60.168,34,27.112,"Class2",74.744,"A",46.935,83.423,10.138,18.693
"N",47.125,57.346,38,40.848,"Class2",74.985,"X",23.952,75.81,15.687,18.548
"B",35.295,11.326,66,25.01,"Class3",45.133,"L",60.821,50.332,31.848,81.24
"U",51.491,67.802,36,-2.785,"Class2",77.413,"A",36.317,72.072,5.581,22.59
"B",33.685,17.518,64,25.705,"Class3",48.936,"X",48.328,65.521,39.485,67.143
"S",36.192,13.259,70,22.135,"Class3",47.525,"G",55.989,27.897,76.577,63.98
"A",34.832,22.209,69,34.93,"Class3",32.815,"R",58.288,78.069,9.414,56.894
"Z",50.891,34.72,28,77.713,"Class2",64.828,"Q",22.004,75.668,5.433,16.232
"U",45.317,28.009,28,103.186,"Class2",45.834,"A",44.656,85.934,16.171,21.444
"A",35.479,16.377,70,25.03,"Class3",42.867,"L",47.908,33.11,68.661,75.861
"B",34.926,17.835,61,20.427,"Class3",56.011,"G",50.05,53.295,25.541,66.962
"N",42.654,71.855,33,65.218,"Class2",51.33,"L",30.97,70.919,5.14,19.766
"A",35.452,5.204,64,28.675,"Class3",43.089,"L",54.323,29.819,14.238,41.331
"O",34.758,16.752,63,30.469,"Class3",50.423,"X",50.388,61.674,3.051,97.093
"O",33.197,10.963,67,40.003,"Class3",48.677,"E",58.696,32.918,65.79,79.532
"G",35.76,9.795,61,3.145,"Class3",34.962,"R",48.729,76.865,65.302,71.982
"H",45.849,57.941,29,51.444,"Class2",89.155,"X",42.759,74.421,16.227,21.116
"N",48.902,40.18,40,39.365,"Class2",61.292,"L",33.712,70.705,12.752,22.096
"S",33.985,16.618,69,11.351,"Class3",44.841,"E",54.986,50.24,42.058,89.107
"G",42.767,52.024,57,49.695,"Class1",6.556,"D",46.769,96.717,89.75,57.075
"G",35.68,6.063,65,29.538,"Class3",59.152,"R",52.813,39.44,31.715,58.277
"Z",54.418,44.383,31,60.408,"Class2",72.773,"L",34.969,74.334,9.181,NA
"G",33.842,15.631,71,16.187,"Class3",51.582,"L",55.578,90.584,72.266,62.451
"A",35.098,18.018,65,26.646,"Class3",58.06,"G",46.305,28.982,35.579,78.864
"D",46.437,50.691,51,56.859,"Class1",15.245,"P",56.883,37.203,68.817,43.172
"D",46.568,46.347,41,39.149,"Class2",68.474,"A",36.832,85.053,5.013,15.509
"B",34.974,5.799,66,13.781,"Class3",50.344,"E",56.626,44.322,38.921,NA
"G",38.535,51.112,56,75.003,"Class1",18.224,"P",34.598,36.421,66.685,62.988
"A",34.978,13.575,70,20.383,"Class3",46.568,"L",51.199,25.621,67.333,72.793
"T",43.177,51.497,51,45.331,"Class1",13.196,"P",7.852,60.51,72.13,46.737
"U",42.691,40.797,35,95.554,"Class2",63.198,"A",NA,72.128,3.615,NA
"D",45.245,63.543,28,63.143,"Class2",131.48,"L",42.347,85.561,8.722,19.592
"Z",53.764,71.769,39,77.345,"Class2",26.399,"C",41.312,72.101,13.306,NA
"D",47.668,51.091,56,57.431,"Class1",7.2,"X",71.407,18.349,85.493,72.05
"U",51.372,30.067,31,73.475,"Class2",41.735,"L",27.712,82.912,4.42,19.053
"Z",49.549,52.765,36,53.355,"Class2",86.191,"C",27.538,87.238,2.64,20.445
"Z",44.378,47.737,33,82.196,"Class2",65.282,"X",40.168,72.866,7.717,19.925
"Z",44.767,40.184,36,28.93,"Class2",58.2,"X",38.177,71.912,7.65,17.701
"C",45.604,52.763,57,52.193,"Class1",13.83,"D",67.809,16.079,67.823,51.193
"T",73.655,50.423,54,60.357,"Class1",29.144,"P",36.075,84.543,76.519,55.608
"N",47.645,31.293,44,20.951,"Class2",52.049,"X",45.616,85.904,6.821,22.47
"O",34.727,18.614,65,25.135,"Class3",53.001,"X",49.963,74.673,80.032,74.984
"B",34.297,12.759,60,39.402,"Class3",52.139,"G",54.162,51.799,42.543,93.535
"G",35.785,13.009,64,25.409,"Class3",52.107,"X",58.086,79.597,78.499,63.585
"Z",46.466,35.626,32,30.53,"Class2",58.351,"L",30.199,87.399,8.761,22.992
"C",30.369,51,51,76.851,"Class1",5.496,"D",76.563,38.458,79.593,82.459
"D",47.07,28.208,42,18.086,"Class2",54.171,"C",13.755,76.778,15.434,22.892
"N",48.582,34.217,37,35.46,"Class2",53.352,"A",16.64,70.161,6.745,19.377
"U",49.433,50.531,34,35.611,"Class2",36.533,"A",36.393,71.524,9.954,NA
"U",46.433,39.761,42,68.757,"Class2",73.12,"Q",29.087,88.238,11.168,18.403
"N",46.658,67.425,41,56.125,"Class2",67.057,"Q",40.935,79.645,9.58,27.651
"C",70.864,51.954,57,49.588,"Class1",21.389,"I",50.665,31.091,69.457,71.143
"A",35.779,8.658,65,22.845,"Class3",37.192,"X",59.651,43.49,80.793,67.095
"G",35.985,9.146,66,28.084,"Class3",44.629,"R",55.215,91.984,42.915,74.598
"U",44.912,55.38,43,60.62,"Class2",69.96,"L",22.442,74.702,10.957,22.451
"D",50.497,51.411,55,43.939,"Class1",21.182,"D",44.624,29.932,89.91,100.52
"O",34.843,15.765,71,19.538,"Class3",56.728,"G",52.166,30.209,75.407,69.828
"U",48.736,41.248,27,1.866,"Class2",38.913,"C",16.64,75.731,9.653,24.026
"N",51.242,61.635,31,48.694,"Class2",79.672,"L",19.503,87.209,11.328,24.226
"G",34.8,21.277,60,24.278,"Class3",53.264,"R",48.606,64.001,10.66,59.344
"N",45.509,66.969,36,89.85,"Class2",63.262,"X",18.511,77.515,3.149,18.713
"H",48.578,28.073,42,37.445,"Class2",63.456,"X",18.512,82.51,3.125,15.957
"D",40.335,50.02,53,69.7,"Class1",15.237,"P",44.141,55.522,79.348,42.971
"U",51.531,60.781,31,49.604,"Class2",63.024,"A",29.017,85.043,5.95,18.12
"D",46.064,29.857,40,26.637,"Class2",95.446,"Q",42.12,76.58,2.889,20.764
"D",60.084,51.301,51,57.74,"Class1",21.273,"I",71.121,45.642,80.881,53.382
"S",34.69,16.644,69,36.531,"Class3",53.832,"L",51.808,81.598,50.151,59.049
"N",56.101,50.562,54,57.95,"Class1",26.431,"P",73.249,10.761,72.728,53.713
"N",27.418,52.22,55,82.706,"Class1",7.08,"P",60.868,77.95,91.704,77.32
"D",46.861,52.098,54,59.202,"Class1",-9.217,"I",33.416,30.798,91.151,90.94
"S",34.44,23.389,66,18.05,"Class3",40.029,"R",46.006,88.789,31.139,81.758
"T",47.869,50.931,54,49.855,"Class1",37.892,"I",2.564,33.222,92.502,58.879
"S",35.093,13.389,62,35.222,"Class3",50.755,"R",50.511,73.481,72.543,71.253
"N",49.658,42.558,38,39.781,"Class2",66.461,"L",37.749,83.241,9.051,20.364
"G",32.618,50.571,57,61.976,"Class1",25.818,"C",14.043,54.585,87.741,NA
"H",48.538,72.011,37,108.526,"Class2",38.408,"C",47.413,81.909,6.64,20.229
"D",44.971,53.499,31,33.145,"Class2",95.253,"Q",40.56,88.987,11.113,20.726
"B",35.934,8.122,63,10.903,"Class3",46.251,"E",60.742,83.037,9.111,69.5
"T",37.008,51.615,56,90.765,"Class1",35.934,"X",19.447,95.725,68.645,61.087
