"OWE1","HKA2","PXA3","KWV4","IDA5","KEC6","YGR7","UVD8","ZFL9","ESN10","Output18"
"H",28.269,62.567,59,33,88.922,29.853,29.376,66.495,63.182,"Class4"
"X",41.869,54.328,33,30,29.346,25.193,34.406,92.02,66.524,"Class4"
"Q",37.16,71.938,16,21,24.603,46.843,92.982,13.439,84.352,"Class3"
"F",46.026,48.221,72,28,62.125,26.83,25.614,88.083,76.949,"Class4"
"Q",68.169,101.634,31,37,29.973,46.571,63.55,12.096,67.383,"Class3"
"X",44.34,58.941,60,42,53.941,44.522,40.041,75.264,67.558,"Class4"
"X",62.883,57.339,59,34,45.833,30.297,24.946,64.98,76.692,"Class4"
"V",-19.92,57.518,67,52,59.438,39.757,43.553,63.47,68.404,"Class4"
"P",41.476,48.43,70,47,57.22,40.013,85.236,47.09,60.939,"Class2"
"U",46.633,41.804,67,34,35.175,47.118,48.805,71.663,75.049,"Class4"
"S",58.214,54.577,65,56,72.406,40.823,79.808,32.988,29.381,"Class2"
"Y",50.891,52.949,52,64,69.343,41.635,76.962,39.878,7.863,"Class2"
"P",45.225,53.882,47,42,59.42,40.772,82.786,45.263,27.631,"Class2"
"J",88.804,71.756,27,24,23.271,45.14,79.558,10.392,66.764,"Class3"
"U",28.259,64.331,70,29,60.175,36.244,22.19,93.113,67.749,"Class4"
"V",13.165,19.144,62,10,86.525,85.419,34.116,78.394,NA,"Class1"
"E",47.123,49.555,71,43,76.216,42.875,77.149,32.457,44.31,"Class2"
"F",35.278,10.334,69,14,102.445,86.481,58.254,69.549,62.251,"Class1"
"U",-7.326,63.313,71,3,41.881,43.161,11.226,82.858,70.755,"Class4"
"X",43.177,99.209,42,35,27.881,52.879,68.785,12.073,72.214,"Class3"
"H",23.563,20.407,87,11,89.214,85.639,75.314,68.561,12.63,"Class1"
"V",33.815,3.868,76,11,92.129,83.696,52.883,78.692,15.538,"Class1"
"F",57.484,50.458,46,54,50.245,34.235,53.283,80.109,68.708,"Class4"
"X",82.101,49.528,38,44,14.972,NA,49.452,13.131,60.277,"Class3"
"P",39.849,54.932,70,51,76.805,40.521,77.257,46.208,65.336,"Class2"
"J",81.017,66.371,41,20,17.449,37.538,50.298,10.608,88.63,"Class3"
"H",35.307,20.765,89,16,89.04,81.633,39.548,66.702,NA,"Class1"
"Y",51.846,51.026,45,61,49.617,41.613,76.177,41.817,37.683,"Class2"
"U",41.544,49.535,51,7,59.829,41.205,55.26,72.469,69.253,"Class4"
"X",86.255,48.69,39,48,20.863,56.334,48.918,15.652,60.513,"Class3"
"V",64.943,5.28,93,9,105.291,86.901,34.374,58.032,34.322,"Class1"
"O",50.307,4.651,51,15,81.87,84.449,55.059,70.907,17.824,"Class1"
"Y",47.188,52.485,56,57,34.318,42.833,79.429,40.289,49.735,"Class2"
"H",54.682,21.828,85,13,105.633,82.682,33.387,57.324,72.666,"Class1"
"V",30.919,19.875,38,8,95.536,85.77,64.267,66.502,24.03,"Class1"
"P",46.129,53.954,51,55,61.574,40.104,82.867,49.376,39.772,"Class2"
"Q",69.238,56.915,18,48,35.256,46.612,86.082,10.119,86.311,"Class3"
"Z",68.482,71.914,42,39,22.123,42.983,78.85,12.813,71.806,"Class3"
"Z",91.564,71.538,29,33,33.007,47.228,61.005,12.421,55.308,"Class3"
"S",39.058,53.995,61,42,28.927,39.39,84.317,42.607,10.655,"Class2"
"P",57.02,54.642,67,62,55.712,41.894,88.88,40.998,36.422,"Class2"
"F",34.81,27.235,48,26,28.375,NA,59.716,75.599,68.209,"Class4"
"X",52.983,63.757,73,54,58.5,25.816,54.17,79.337,73.602,"Class4"
"E",44.326,50.492,61,40,104.798,40.023,82.257,40.411,21.591,"Class2"
"J",83.11,44.374,39,26,22.247,NA,86.959,16.998,68.597,"Class3"
"H",35.023,50.063,64,20,49.741,18.716,29.758,75.343,73.077,"Class4"
"S",-0.89,11.355,88,5,87.255,NA,37.162,71.911,55.238,"Class1"
"H",17.471,21.011,76,8,95.771,82.993,59.859,71.46,27.493,"Class1"
"Q",82.847,78.373,15,45,14.94,39.944,68.186,15.313,63.021,"Class3"
"S",42.496,50.846,49,46,62.186,40.619,77.546,33.835,18.011,"Class2"
"Z",81.972,68.452,28,27,17.163,53.595,90.084,11.527,78.686,"Class3"
"S",57.439,50.384,58,65,62.562,41.39,77.698,32.228,65.919,"Class2"
"F",43.982,60.606,68,9,52.133,34.139,32.581,75.605,72.81,"Class4"
"X",76.74,60.401,30,44,17.033,42.393,70.659,11.666,70.837,"Class3"
"T",45.567,51.698,66,42,84.56,42.914,78.623,50.442,26.809,"Class2"
"H",69.712,54.474,71,34,49.556,30.661,36.874,93.796,68.074,"Class4"
"T",34.334,52.683,64,42,72.856,40.983,75.273,42.347,14.45,"Class2"
"O",60.858,20.218,50,14,76.933,83.45,32.502,57.842,34.696,"Class1"
"P",46.863,51.123,68,44,48.336,42.843,77.585,46.301,26.824,"Class2"
"F",38.645,59.229,56,32,33.812,34.591,42.55,72.653,63.668,"Class4"
"X",70.53,51.859,28,36,25.521,35.817,48.146,15.298,62.168,"Class3"
"Y",61.437,53.808,60,65,99.051,42.909,80.489,42.337,36.402,"Class2"
"Z",54.213,77.762,35,35,20.616,NA,79.124,16.147,88.098,"Class3"
"U",64.169,61.085,74,45,30.533,28.637,16.185,92.777,67.364,"Class4"
"Q",57.71,107.022,26,36,32.337,43.605,45.887,12.285,65.38,"Class3"
"F",37.311,42.538,59,19,88.478,35.222,14.744,78.481,72.627,"Class4"
"Q",28.878,64.94,21,26,23.245,40.739,39.507,16.121,88.355,"Class3"
"V",53.344,53.403,74,34,70.049,28.14,59.315,94.642,66.499,"Class4"
"S",59.203,50.718,71,64,55.783,42.84,88.338,40.402,36.374,"Class2"
"Q",61.804,81.974,31,44,21.785,45.683,57.173,15.084,80.555,"Class3"
"P",51.637,51.119,64,56,67.591,NA,79.394,46.966,NA,"Class2"
"P",40.85,56.198,68,63,52.673,42.093,80.725,42.932,9.505,"Class2"
"H",7.775,22.365,88,11,80.799,86.611,78.69,84.708,NA,"Class1"
"V",22.992,20.815,41,14,96.243,84.308,60.338,85.919,60.037,"Class1"
"U",51.035,70.683,33,27,58.329,NA,40.412,57.458,66.205,"Class4"
"S",58.765,51.677,68,63,58.317,40.208,78.744,45.741,10.212,"Class2"
"Q",59.385,80.992,21,48,22.831,42.402,71.833,14.036,70.926,"Class3"
"S",74.192,15.916,69,11,89.867,88.368,85.831,84.209,8.261,"Class1"
"E",47.187,48.655,58,52,74.578,NA,84.002,41.596,21.488,"Class2"
"P",57.879,53.225,63,55,63.512,42.905,88.808,49.898,22.257,"Class2"
"Z",80.946,58.743,36,20,33.957,51.315,50.992,13.374,88.756,"Class3"
"F",61.22,64.185,34,15,66.415,NA,38.707,76.609,67.488,"Class4"
"O",60.932,16.458,86,13,84.571,85.149,51.624,68.332,34.281,"Class1"
"V",44.82,48.427,62,47,40.088,35.808,56.447,74.149,70.794,"Class4"
"J",62.402,80.545,28,31,35.135,39.126,85.672,10.247,55.354,"Class3"
"F",13.171,14.229,47,5,79.78,84.952,64.745,79.091,16.455,"Class1"
"K",65.717,79.79,44,43,14.831,49.509,75.92,13.773,77.843,"Class3"
"K",82.714,53.024,30,32,26.009,50.11,52.994,10.253,82.164,"Class3"
"Q",40.099,62.562,22,33,11.172,39.923,87.902,10.658,82.78,"Class3"
"X",80.059,64.212,52,33,37.768,21.775,51.466,90.043,76.541,"Class4"
"P",51.096,53.986,47,61,57.29,41.313,77.949,44.412,24.983,"Class2"
"H",58.611,23.784,48,13,73.357,83.771,70.5,61.8,58.357,"Class1"
"U",49.918,52.95,65,35,47.911,27.979,48.972,72.199,63.596,"Class4"
"Y",50.455,51.164,54,51,52.789,38.967,75.543,45.944,48.057,"Class2"
"U",37.766,53.445,50,22,54.15,51.028,30.892,75.893,75.799,"Class4"
"F",52.303,52.732,74,0,56.33,36.872,57.104,84.578,73.815,"Class4"
"Q",104.417,42.117,33,40,45.927,49.993,89.547,14.925,69.77,"Class3"
"H",23.721,57.236,60,34,80.421,26.896,13.066,81.342,74.246,"Class4"
"H",46.83,61.966,42,50,54.301,41.334,23.633,57.552,65.692,"Class4"
"J",66.167,51.282,39,27,30.803,40.039,81.866,16.893,49.691,"Class3"
"U",13.683,63.828,61,28,38.833,16.695,54.764,96.523,71.766,"Class4"
"P",46.63,52.262,55,52,98.556,45.009,78.879,45.644,59.905,"Class2"
"X",53.563,81.823,31,48,27.847,51.156,57.656,11.056,NA,"Class3"
"H",62.066,66.946,67,6,63.79,37.621,45.928,60.346,68.55,"Class4"
"X",77.111,101.768,38,35,24.727,44.873,53.587,14.176,63.444,"Class3"
"Y",42.331,52.142,63,57,82.811,41.951,78.315,40.685,38.458,"Class2"
"Z",54.053,74.783,30,29,9.595,46.599,75.956,13.639,81.195,"Class3"
"T",55.877,50.098,53,42,42.508,45.013,78.406,37.972,65.875,"Class2"
"X",65.219,62.406,71,43,26.565,25.78,38.702,70.857,70.933,"Class4"
"S",48.927,18.208,83,10,95.267,89.703,85.363,72.99,51.592,"Class1"
"Q",84.691,63.288,29,25,31.133,40.68,62.545,12.592,85.374,"Class3"
"J",67.33,60.865,27,48,13.091,30.701,61.821,13.402,61.524,"Class3"
"Z",60.898,91.415,31,27,23.985,NA,87.147,13.228,88.992,"Class3"
"X",90.396,72.786,42,17,42.784,46.024,69.706,16.242,61.117,"Class3"
"H",29.625,52.385,73,9,62.625,39.559,36.789,77.078,68.614,"Class4"
"V",32.756,8.024,80,14,61.963,84.49,36.135,59.849,48.162,"Class1"
"K",52.854,91.485,42,48,19.292,39.621,89.416,11.656,50.146,"Class3"
"O",52.306,15.262,52,9,89.489,83.799,74.872,81.815,28.267,"Class1"
"X",36.089,50.472,67,32,51.928,26.707,20.393,89.868,69.647,"Class4"
"Z",57.722,55.899,44,46,20.218,41.545,64.277,14.055,57.378,"Class3"
"E",50.854,54.484,71,53,50.831,40.187,87.777,37.183,30.534,"Class2"
"V",22.056,38.005,66,7,55.913,31.576,20.29,80.098,75.828,"Class4"
"T",36.348,56.542,58,59,95.444,41.107,78.851,46.182,46.794,"Class2"
"J",87.769,71.225,22,46,29.526,37.906,39.507,11.023,67.509,"Class3"
"V",29.556,16.177,81,13,78.583,86.565,43.666,67.384,52.855,"Class1"
"V",75.771,18.305,82,8,84.278,87.642,73.362,84.477,26.69,"Class1"
"F",22.479,12.047,43,14,76.515,85.089,61.669,67.566,16.234,"Class1"
"E",43.674,50.32,45,51,71.956,42.358,80.143,44.049,50.91,"Class2"
"Q",81.296,37.717,23,27,22.98,42.815,63.18,13.496,56.541,"Class3"
"X",89.736,76.446,36,35,37.029,NA,52.987,13.316,85.799,"Class3"
"K",69.515,72.315,22,32,31.094,37.494,60.662,14.476,51.402,"Class3"
"Q",65.767,78.011,35,21,39.159,41.006,43.486,14.541,54.484,"Class3"
"F",45.075,55.206,62,17,70.032,33.532,25.613,57.138,66.736,"Class4"
"Q",69.657,71.469,23,25,21.005,40.42,87.733,16.071,82.381,"Class3"
"V",26.954,46.305,63,34,48.414,50.027,12.981,70.901,65.093,"Class4"
"V",39.302,46.349,37,8,35.972,54.096,49.151,82.698,75.159,"Class4"
"P",40.461,52.523,60,55,76.006,43.953,79.862,38.859,42.302,"Class2"
"P",45.279,50.711,46,42,76.923,42.658,83.112,49.039,36.098,"Class2"
"O",41.839,17.414,91,12,85.551,85.457,68.934,63.874,7.714,"Class1"
"T",53.088,51.828,52,49,78.464,41.509,80.178,49.896,53.937,"Class2"
"V",54.451,53.828,46,17,29.226,37.828,19.31,79.263,69.939,"Class4"
"P",55.065,53.855,50,51,75.36,41.068,82.634,35.841,59.04,"Class2"
"V",36.123,16.455,51,15,71.779,82.765,72.498,58.924,3.091,"Class1"
"H",55.241,54.619,42,20,58.245,50.457,20.291,69.54,66.696,"Class4"
"O",63.041,12.848,84,16,106.52,86.855,55.176,64.147,24.97,"Class1"
"J",92.979,46.71,44,44,11.728,47.698,89.977,16.359,NA,"Class3"
"H",58.351,53.953,57,14,33.729,37.776,24.38,59.514,73.644,"Class4"
"X",64.978,44.55,68,34,34.848,44.544,47.887,69.055,NA,"Class4"
"S",54.308,51.06,65,56,68.34,41.647,81.323,42.866,39.563,"Class2"
"V",53.138,16.111,63,11,66.965,85.875,64.618,63.376,67.721,"Class1"
"S",3.418,24.686,92,12,86.127,NA,67.881,71.705,69.909,"Class1"
"J",85.129,78.535,20,39,37.742,38.421,86.544,13.059,88.554,"Class3"
"U",61.552,58.093,43,21,67.735,44.264,49.711,82.07,67.68,"Class4"
"S",42.252,49.277,67,52,72.228,40.923,79.062,42.888,31.678,"Class2"
"F",9.446,14.278,91,5,99.892,83.263,49.005,68.166,21.237,"Class1"
"P",32.041,57.398,64,60,89.895,42.203,83.037,41.245,64.232,"Class2"
"S",30.965,21.469,41,7,76.302,85.309,35.713,75.503,4.627,"Class1"
"E",48.65,48.046,46,59,52.531,40.461,80.714,40.352,60.764,"Class2"
"F",35.84,16.01,83,14,57.631,NA,50.738,61.261,47.702,"Class1"
"Q",94.952,74.991,41,27,13.082,39.943,48.982,11.21,63.329,"Class3"
"T",64.048,54.14,56,59,81.266,39.494,88.307,48.733,50.969,"Class2"
"S",6.103,17.839,55,11,79.081,87.815,38.934,70.235,34.704,"Class1"
"H",22.991,9.615,50,13,59.565,NA,59.196,67.735,71.683,"Class1"
"K",86.448,49.707,31,21,22.456,47.393,82.151,15.38,59.489,"Class3"
"K",86.292,89.81,39,36,49.037,50.307,72.1,12.173,78.261,"Class3"
"X",33.264,54.182,35,0,54.327,23.344,34.683,87.265,74.163,"Class4"
"Q",65.004,84.705,41,35,29.27,40.538,77.035,16.791,59.369,"Class3"
"S",42.435,55.866,55,42,79.373,42.742,76.936,48.169,16.574,"Class2"
"S",46.74,47.605,56,52,86.069,40.823,77.539,46.554,42.85,"Class2"
"H",8.548,57.697,34,49,72.499,40.823,12.952,69.339,69.286,"Class4"
"Y",55.244,54.232,53,66,44.203,40.543,75.649,31.983,49.719,"Class2"
"X",92.369,74.188,25,20,35.083,44.894,91.983,14.608,NA,"Class3"
"E",46.553,51.335,54,50,46.314,42.577,87.035,39.869,42.277,"Class2"
"S",-19.709,20.098,76,12,72.935,87.785,76.787,74.323,57.974,"Class1"
"F",46.102,40.731,75,38,33.275,9.808,42.772,80.669,63.098,"Class4"
"S",25.174,17.63,34,6,91.193,87.48,84.095,80.705,10.541,"Class1"
"O",80.689,27.501,70,16,77.095,88.883,49.949,77.661,42.043,"Class1"
"F",32.468,55.452,64,7,72.119,34.423,25.055,71.255,64.032,"Class4"
"J",65.488,58.191,40,30,20.503,NA,42.552,12.036,85.898,"Class3"
"Y",41.23,50.885,70,53,48.974,39.091,84.799,37.257,33.225,"Class2"
"X",69.439,41.933,34,19,62.535,42.21,47.166,68.704,NA,"Class4"
"V",47.933,32.609,54,9,69.134,86.527,47.929,58.134,71.657,"Class1"
"P",53.267,52.218,60,59,33.193,41.574,86.985,50.798,58.717,"Class2"
"F",47.108,54.694,54,32,60.763,28.436,16.299,96.115,71.963,"Class4"
"H",38.584,22.355,65,14,103.165,86.357,59.966,75.656,17.794,"Class1"
"S",59.035,49.237,71,60,53.795,43.318,76.56,44.877,23.784,"Class2"
"S",56.951,52.396,49,47,70.363,42.429,87.528,50.202,63.317,"Class2"
"J",99.936,82.413,40,29,9.767,46.499,54.675,16.443,63.439,"Class3"
"S",36.344,20.746,84,8,72.998,88.367,45.62,67.617,43.419,"Class1"
"X",57.09,50.806,44,9,28.11,42.995,33.71,75.675,72.05,"Class4"
"E",57.586,46.818,47,65,61.631,40.164,78.216,36.148,35.303,"Class2"
"Z",81.93,76.798,16,38,16.612,50.38,72.726,10.22,68.985,"Class3"
"T",50.853,53.86,58,43,85.25,39.533,81.531,32.62,66.25,"Class2"
"P",41.783,51.937,64,54,58.952,41.957,86.127,41.965,5.63,"Class2"
"Y",43.272,53.924,60,47,79.146,42.432,77.697,38.935,30.963,"Class2"
"T",54.078,55.383,68,41,122.328,38.16,81.977,44.576,NA,"Class2"
"F",32.738,30.014,83,7,81.658,89.859,39.061,78.971,51.71,"Class1"
"T",47.498,48.597,70,40,45.878,38.327,80.097,47.369,61.306,"Class2"
"P",32.654,49.837,48,64,52.21,42.897,77.997,47.618,19.113,"Class2"
"Y",52.55,52.657,57,45,93.011,41.583,78.243,45.709,56.118,"Class2"
"S",34.627,20.375,46,13,76.596,NA,81.451,68.798,19.821,"Class1"
"T",39.184,52.113,46,52,72.503,37.909,82.864,40.855,57.765,"Class2"
"V",49.096,7.736,84,11,79.762,88.205,56.954,59.925,25.549,"Class1"
"K",65.859,72.025,41,45,24.983,37.027,69.525,11.425,61.96,"Class3"
"H",32.574,44.38,39,21,43.812,32.196,23.596,95.722,63.202,"Class4"
"V",39.424,49.696,52,20,49.644,20.507,15.389,58.413,66.474,"Class4"
"F",24.775,15.396,36,16,73.538,86.103,75.246,67.691,60.375,"Class1"
"V",52.702,55.502,64,25,52.122,28.46,40.981,76.952,63.198,"Class4"
"V",36.656,60.438,66,7,73.893,49.924,29.459,76.132,73.972,"Class4"
"V",7.663,44.297,54,52,68.417,42.73,22.657,94.026,70.309,"Class4"
"H",61.011,18.635,49,15,78.619,85.337,74.679,56.099,11.795,"Class1"
"S",37.367,9.782,52,7,78.264,85.378,34.367,68.14,70.29,"Class1"
"T",48.502,48.549,60,46,64.296,40.564,79.513,47.053,55.85,"Class2"
"Y",46.432,48.28,47,46,94.565,41.18,75.411,41.602,44.558,"Class2"
"J",62.244,57.612,28,42,12.772,36.991,74.073,11.178,77.346,"Class3"
"S",26.714,17.986,89,15,79.923,86.239,46.825,70.018,18.418,"Class1"
"U",53.979,53.408,36,41,61.353,38.88,58.194,60.825,76.148,"Class4"
"H",50.401,20.001,40,14,82.476,87.991,45.265,82.307,NA,"Class1"
"T",51.603,49.139,60,41,51.642,41.827,81.763,40.706,8.6,"Class2"
"K",51.468,65.588,42,24,20.163,42.504,57.614,12.731,79.044,"Class3"
"K",97.759,83.761,19,40,2.358,41.14,92.021,15.764,58.102,"Class3"
"H",24.9,19.268,74,13,88.201,84.401,79.791,56.562,1.586,"Class1"
"T",50.011,53.116,50,46,69.887,40.149,85.297,46.597,48.627,"Class2"
"V",47.628,23.542,59,8,81.016,86.897,37.726,64.637,11.242,"Class1"
"P",47.802,46.64,47,41,81.66,42.713,84.4,50.314,51.874,"Class2"
"K",59.451,76.033,30,45,32.295,45.429,75.301,10.812,51.687,"Class3"
"X",50.772,66.898,72,28,35.333,43.27,32.876,85.914,66.27,"Class4"
"F",38.3,43.883,63,35,41.993,15.953,31.275,69.922,66.096,"Class4"
"H",23.186,17.229,75,14,87.167,90.324,69.827,73.949,29.789,"Class1"
"Z",71.941,76.117,16,18,22.839,39.945,57.115,16.746,87.615,"Class3"
"V",77.151,21.075,50,11,79.284,85.017,71.275,66.994,2.797,"Class1"
"O",15.224,25.315,84,15,75.041,83.179,56.669,69.331,35.376,"Class1"
"H",50.42,58.981,73,55,64.488,37.066,43.128,91.686,76.869,"Class4"
"K",51.451,66.974,22,31,28.927,42.033,39.688,13.305,83.75,"Class3"
"Q",41.684,53.596,37,32,20.422,42.934,56.519,16.074,52.626,"Class3"
"Y",57.238,52.277,70,49,39.244,44.414,86.805,49.096,52.445,"Class2"
"H",39.612,21.85,45,12,88.925,86.086,64.143,70.563,32.347,"Class1"
"U",37.796,57.715,74,3,34.665,25.4,55.016,86.881,76.053,"Class4"
"S",47.457,11.684,40,12,93.869,87.372,51.311,69.588,14.19,"Class1"
"O",50.656,9.707,46,6,71.343,83.478,37.122,60.024,68.304,"Class1"
"T",47.557,55.062,56,48,46.479,43.16,86.355,39.261,8.706,"Class2"
"P",38.2,54.44,65,47,44.458,41.969,75.237,35.483,45.801,"Class2"
"U",29.257,50.89,33,47,53.709,52.368,40.488,83.666,74.845,"Class4"
"O",35.148,24.205,53,15,84.422,81.936,63.52,77.758,33.288,"Class1"
"E",53.233,49.601,69,42,39.684,38.066,88.9,45.098,38.04,"Class2"
"K",67.457,72.366,33,18,43.66,37.8,79.455,16.043,85.784,"Class3"
"X",71.543,53.735,38,23,25.947,47.612,75.973,14.861,56.569,"Class3"
"T",56.137,54.913,48,66,48.25,NA,79.693,39.453,60.043,"Class2"
"S",45.382,53.842,66,59,4.686,40.331,85.043,32.733,3.128,"Class2"
"Z",73.923,61.076,37,22,29.367,41.465,88.524,15.315,58.965,"Class3"
"S",1.121,17.168,41,12,101.541,88.609,55.794,78.769,60.281,"Class1"
"V",17.877,44.173,59,5,57.629,43.629,55.297,79.527,67.255,"Class4"
"U",33.173,30.622,73,23,60.106,NA,42.151,92.441,NA,"Class4"
"U",14.891,45.158,50,53,65.42,42.29,28.589,80.106,NA,"Class4"
"K",63.446,75.653,15,31,28.02,48.672,41.801,10.071,74.988,"Class3"
"F",34.42,57.698,53,54,38.314,38.524,45.362,71.368,76.95,"Class4"
"K",49.727,101.783,23,24,52.955,41.277,46.76,12.022,69.007,"Class3"
"H",7.039,20.906,86,10,84.686,86.037,51.982,82.73,15.959,"Class1"
"Y",58.717,52.262,53,45,75.424,NA,76.119,36.104,28.651,"Class2"
"Z",68.703,100.497,29,22,21.175,38.013,73.089,13.193,77.408,"Class3"
"Q",48.901,64.527,27,19,24.918,43.749,52.377,15.207,59.158,"Class3"
"S",39.894,24.609,67,13,70.698,87.272,69.863,66.666,69.399,"Class1"
"E",53.578,55.78,49,57,30.598,40.128,85.108,45.851,23.929,"Class2"
"U",40.674,71.83,71,19,23.314,42.223,18.303,87.418,66.794,"Class4"
"P",45.827,51.187,55,46,38.041,36.786,76.916,32.385,28.497,"Class2"
"U",42.223,56.395,43,10,58.048,37.291,22.058,71.17,73.103,"Class4"
"H",-0.299,21.809,57,6,86.129,NA,84.914,81.758,31.219,"Class1"
"Z",81.317,94.126,20,36,19.902,41.935,67.839,16.438,69.407,"Class3"
"Y",44.918,51.918,50,61,54.04,40.973,82.257,43.305,53.017,"Class2"
"H",7.018,48.992,41,18,39.486,40.526,36.196,66.515,63.389,"Class4"
"V",38.254,49.098,41,1,55.399,36.264,27.67,89.718,70.041,"Class4"
"J",100.411,68.497,18,31,39.703,37.87,64.178,16.814,NA,"Class3"
"K",36.061,78.28,39,28,11.153,42.789,73.937,14.915,84.401,"Class3"
"P",38.877,55.908,55,66,84.866,41.99,75.364,41.276,35.565,"Class2"
"T",48.3,53.352,58,56,56.236,39.841,78.719,34.664,10.03,"Class2"
"S",45.023,54.305,56,44,101.904,38.572,80.666,45.286,3.978,"Class2"
"H",23.947,46.544,42,12,51.001,24.641,12.627,95.525,66.381,"Class4"
"V",56.854,61.211,56,49,89.688,NA,40.284,91.45,65.563,"Class4"
"E",47.637,50.213,62,43,67.053,39.402,78.226,50.17,65.832,"Class2"
"Z",66.521,91.02,27,30,28.43,49.312,40.624,11.767,70.24,"Class3"
"V",81.859,51.726,47,3,45.652,53.939,49.756,84.862,65.084,"Class4"
"P",48.515,53.184,58,64,79.431,40.682,83.163,38.753,14.795,"Class2"
"Y",59.194,57.422,54,46,63.836,41.976,81.588,34.292,57.938,"Class2"
"X",78.146,89.079,42,44,34.633,36.743,49.162,15.708,50.206,"Class3"
"F",37.179,55.848,64,42,48.483,33.045,35.06,87.254,70.838,"Class4"
"F",56.977,37.75,36,2,32.328,26.371,51.434,61.649,NA,"Class4"
"Z",76.482,80.224,37,29,27.357,44.744,85.193,10.057,78.294,"Class3"
"J",83.63,66.349,23,46,29.461,48.573,50.688,15.725,68.918,"Class3"
"H",-6.69,48.362,61,53,30.904,29.579,33.905,65.783,NA,"Class4"
"T",54.81,56.215,48,57,41.628,44.644,75.643,49.568,16.565,"Class2"
"V",26.71,91.237,51,54,37.162,46.392,13.495,91.993,76.563,"Class4"
"Y",61.196,57.145,69,59,74.718,40.889,81.411,41.54,29.492,"Class2"
"X",71.18,64.009,21,43,33.551,45.296,64.503,10.241,50.894,"Class3"
"X",86.11,76.541,36,46,8.62,50.721,44.917,15.707,64.873,"Class3"
"X",84.443,94.805,21,38,29.783,35.943,55.654,14.821,86.551,"Class3"
"E",53.995,50.127,66,54,47.415,39.663,75.559,43.076,16.616,"Class2"
"X",59.585,45.33,70,33,38.029,NA,40.186,77.627,70.259,"Class4"
"H",54.854,19.718,44,6,92.568,89.432,52.729,61.017,30.778,"Class1"
"E",57.138,54.4,66,41,61.764,43.008,80.893,48.719,16.1,"Class2"
"V",60.183,27.907,42,13,79.95,NA,63.468,62.198,68.133,"Class1"
"S",54.809,55.642,58,51,86.578,42.592,79.01,32.544,44.442,"Class2"
"O",84.312,20.02,85,12,85.798,91.425,58.277,75.996,58.803,"Class1"
"P",51.911,49.198,58,58,37.848,41.145,86.045,47.044,25.211,"Class2"
"J",49.172,42.376,26,48,24.414,46.366,47.664,15.773,83.921,"Class3"
"X",59.284,84.62,44,33,10.117,39.178,56.035,11.831,80.163,"Class3"
"V",27.195,53.044,53,38,65.643,31.289,50.621,74.751,NA,"Class4"
"E",48.898,52.096,61,63,61.181,42.393,76.462,49.899,19.241,"Class2"
"Z",39.555,50.678,33,24,6.899,42.604,92.908,11.563,60.161,"Class3"
"X",71.289,65.68,29,23,47.134,42.571,62.728,10.946,80.17,"Class3"
"F",73.54,18.657,48,6,83.365,NA,60.777,79.72,37.396,"Class1"
"H",39.985,49.981,47,49,43.663,36.424,18.688,92.935,71.063,"Class4"
"H",52.959,20.223,57,7,72.84,86.542,75.71,64.697,0.768,"Class1"
"S",30.479,12.101,42,8,48.545,86.351,44.407,84.092,23.308,"Class1"
"K",95.391,69.408,18,43,45.628,45.642,51.58,10.023,56.748,"Class3"
"E",40.059,47.426,57,64,38.713,43.248,75.877,34.179,27.158,"Class2"
"E",51.375,49.603,45,62,53.823,41.82,75.617,41.09,10.229,"Class2"
"V",39.266,54.682,72,22,45.888,24.806,20.001,71.129,76.377,"Class4"
"J",50.697,74.847,40,32,25.657,46.586,84.264,13.554,88.294,"Class3"
"V",25.048,56.223,44,22,65.344,34.848,24.976,69.913,70.72,"Class4"
"Q",65.434,85.921,39,34,35.363,37.45,70.162,15.496,76.506,"Class3"
"J",61.304,69.322,38,35,31.917,40.698,50.114,16.028,69.358,"Class3"
"Q",78.154,86.766,25,19,31.232,43.962,68.864,16.049,85.852,"Class3"
"H",78.212,24.468,42,10,81.955,87.28,31.775,57.307,14.024,"Class1"
"F",23.254,49.784,56,52,51.298,45.952,60.948,59.375,74.949,"Class4"
"O",43.976,14.849,48,11,96.172,85.44,77.79,58.892,16.778,"Class1"
"V",34.354,15.41,71,10,101.372,85.659,61.073,73.66,4.452,"Class1"
"O",34.107,20.138,66,5,75.028,86.552,64.503,76.852,7.063,"Class1"
"F",79.194,54.861,58,18,44.027,31.96,55.351,86.153,74.027,"Class4"
"T",40.805,54.481,59,62,43.469,40.111,83.252,38.62,21.312,"Class2"
"O",53.419,15.96,60,13,93.109,87.777,31.717,68.615,21.738,"Class1"
"Q",92.562,46.176,32,25,36.171,34.889,39.996,11.452,54.383,"Class3"
"K",66.325,73.959,26,27,24.778,40.735,65.361,16.342,60.254,"Class3"
"F",53.062,23.039,38,8,72.315,84.04,63.059,56.388,21.043,"Class1"
"X",64.079,41.407,48,45,43.288,35.308,35.541,75.031,76.683,"Class4"
"F",22.73,41.724,69,9,63.174,25.309,12.821,92.129,71.271,"Class4"
"H",46.07,37.216,75,28,45.062,35.882,37.312,96.588,NA,"Class4"
"T",45.71,48.661,63,55,52.752,39.533,88.947,32.026,29.935,"Class2"
"V",-1.697,11.305,59,11,88.879,87.014,37.299,57.992,50.594,"Class1"
"E",47.592,58.401,70,63,64.657,42.86,86.757,36.009,48.542,"Class2"
