"UAZ1","IMG2","POB3","GLF4","HMU5","LVK6","RYA7","NVU8","Output21","PWB9","JCR10","OTJ11"
"S",27,91.742,23.703,88.067,57,71.855,82.561,"Class5",33.207,92.194,28.256
"L",63,40.811,70.125,NA,28,62.545,2.379,"Class2",76.955,30.403,50.559
"M",48,80.459,97.116,62.042,40,85.566,36.645,"Class4",95.797,63.271,33.908
"W",40,59.373,43.526,85.926,51,64.982,79.871,"Class5",29.647,93.494,27.51
"I",68,26.023,26.165,54.94,79,51.773,37.364,"Class1",33.612,62.124,52.046
"U",70,87.127,65.941,74.798,43,86.21,17.395,"Class4",87.18,58.097,35.094
"O",61,41.077,73.52,59.506,21,66.593,11.214,"Class2",76.672,45.896,34.586
"J",40,26.532,13.737,93.716,26,27.208,52.52,"Class1",34.198,62.548,94.148
"G",51,25.259,13.426,85.48,35,53.981,55.964,"Class1",48.425,58.178,91.872
"U",62,85.359,96.078,71.29,38,82.479,17.689,"Class4",93.24,50.51,29.415
"D",27,46.706,40.363,87.399,62,66.712,82.848,"Class5",28.071,33.26,34.711
"S",30,91.079,29.545,89.173,55,70.888,81.896,"Class5",35.795,69.608,30.718
"M",60,85.075,96.762,69.869,26,81.282,23.046,"Class4",81.903,34.468,35.969
"D",62,83.996,31.216,86.725,62,57.739,80.825,"Class5",33.94,28.84,25.094
"X",65,35.064,76.558,66.931,33,15.729,24.123,"Class2",79.897,52.043,76.806
"O",63,46.05,80.318,54.747,20,78.041,-3.353,"Class2",79.456,30.875,69.923
"G",70,25.117,26.375,82.813,78,70.498,NA,"Class1",30.791,58.254,91.911
"G",77,64.332,6.131,39.848,16,17.387,31.357,"Class3",100.452,76.141,28.72
"D",74,46.958,30.102,54.124,11,18.045,45.701,"Class3",65.938,67.466,28.751
"M",53,48.265,37.602,86.992,52,34.262,NA,"Class5",33.321,52.388,25.406
"T",33,25.583,22.255,100.385,48,46.438,53.525,"Class1",38.576,60.159,47.77
"M",81,85.054,76.049,67.053,41,87.023,22.653,"Class4",93.851,67.294,39.51
"X",77,53.582,27.875,42.145,17,18.217,48.854,"Class3",72.728,22.082,29.021
"D",78,47.865,20.102,50.849,11,18.48,28.489,"Class3",87.121,55.62,30.186
"X",59,27.451,80.562,51.828,30,42.677,18.26,"Class2",82.367,48.228,55.757
"J",46,26.31,15.905,45.588,45,17.722,51.91,"Class1",40.738,61.777,31.119
"M",22,55.174,33.855,90.855,51,38.52,79.536,"Class5",36.112,99.274,27.046
"B",77,26.183,16.489,98.978,65,48.805,48.519,"Class1",42.973,59.148,90.861
"B",28,25.962,18.849,70.253,41,14.353,49.362,"Class1",29.746,61.859,34.2
"T",17,26.32,24.458,NA,41,16.982,58.552,"Class1",40.778,61.261,78.752
"M",39,80.913,98.359,73.843,39,86.986,NA,"Class4",95.65,37.259,28.285
"X",60,26.155,72.954,60.218,20,12.202,31.297,"Class2",88.438,19.957,64.383
"I",78,26.359,14.557,NA,76,37.329,63.753,"Class1",36.835,62.53,68.506
"G",76,53.175,40.45,27.23,10,18.848,35.22,"Class3",67.97,61.532,28.208
"I",48,25.65,20.704,74.674,82,36.334,56.174,"Class1",43.785,62.504,32.627
"T",22,85.882,73.926,76.739,26,85.806,-2.834,"Class4",84.24,39.861,34.952
"S",21,57.682,15.776,89.117,52,42.612,80.173,"Class5",30.451,30.343,32.613
"G",72,48.654,40.59,47.326,26,17.091,49.73,"Class3",60.326,88.59,30.996
"M",49,83.553,91.914,65.985,44,86.697,17.177,"Class4",90.514,34.772,39.942
"D",59,66.097,30.637,90.349,51,40.94,81.415,"Class5",27.694,88.449,33.137
"L",65,60.851,51.32,62.07,33,41.505,31.098,"Class2",75.136,29.923,46.27
"D",29,73.256,25.12,87.374,63,45.206,81.918,"Class5",30.591,62.574,31.116
"M",21,85.08,90.685,NA,47,85.457,27.104,"Class4",89.12,61.832,27.593
"X",66,55.842,62.714,57.2,16,77.571,30.35,"Class2",75.095,46.143,58.288
"X",86,46.869,23.34,35.371,18,17.29,42.799,"Class3",76.092,44.593,28.389
"X",75,52.744,5.547,39.134,11,18.664,53.754,"Class3",51.22,72.035,29.866
"U",57,89.014,81.718,65.241,36,87.413,16.495,"Class4",98.771,34.45,35.141
"X",62,32.989,45.893,52.169,22,10.179,23.419,"Class2",94.007,29.336,40.496
"G",88,32.765,36.672,40.089,24,17.762,42.722,"Class3",73.452,89.245,28.164
"G",70,26.919,23.879,67.535,62,42.188,55.244,"Class1",34.291,62.742,76.982
"Z",54,84.163,70.339,66.474,40,84.857,48.094,"Class4",82.366,62.643,35.322
"Z",63,51.223,78.686,57.193,27,71.654,17.93,"Class2",85.393,50.803,78.439
"M",56,85.424,84.612,68.966,37,78.041,34.716,"Class4",80.547,37.616,33.097
"G",74,44.482,30.022,35.713,16,17.201,36.304,"Class3",89.493,76.279,30.777
"G",83,45.691,9.52,33.912,13,17.655,26.763,"Class3",67.702,51.273,30.389
"W",58,59.209,28.605,89.145,64,63.16,79.13,"Class5",33.486,95.033,26.696
"T",50,25.767,12.603,80.463,28,69.929,46.091,"Class1",37.952,60.227,62.312
"Z",87,85.44,75.857,59.966,44,87.419,22.335,"Class4",91.268,41.344,40.902
"T",75,25.091,22.628,65.472,52,38.958,57.718,"Class1",39.331,60.625,69.039
"M",59,84.479,86.551,67.563,39,84.79,19.293,"Class4",89.953,43.313,27.69
"T",31,83.089,97.822,78.436,33,88.309,NA,"Class4",75.574,48.338,43.601
"I",78,24.6,13.905,53.928,54,45.559,55.239,"Class1",35.88,61.704,94.293
"G",53,25.827,17.763,99.72,34,5.876,64.197,"Class1",46.804,62.042,94.026
"M",76,58.646,3.473,39.753,16,17.306,31.579,"Class3",76.1,88.899,30.793
"D",76,61.32,11.073,52.7,19,18.308,46.671,"Class3",52.659,15.826,29.528
"O",76,43.951,34.449,47.099,27,18.373,33.83,"Class3",72.994,57.687,30.073
"M",31,65.714,37.4,84.271,60,53.373,83.209,"Class5",30.249,88.597,32.805
"X",79,40.669,37.244,39.753,10,17.497,63.286,"Class3",64.004,13.287,28.241
"M",80,82.513,73.338,69.504,28,79.32,37.583,"Class4",85.911,43.63,40.323
"X",66,48.59,78.251,56.616,26,54.72,13.347,"Class2",86.957,58.962,30.519
"U",61,83.241,78.444,71.953,46,88.227,21.592,"Class4",78.34,58.368,27.972
"I",15,25.516,20.792,77.821,40,89.909,45.602,"Class1",32.4,61.623,24.187
"I",62,78.166,52.352,92.229,58,58.092,80.806,"Class5",34.991,98.648,34.703
"O",76,39.553,27.735,62.731,13,17.566,52.666,"Class3",87.496,54.198,28.31
"T",71,82.735,76.247,73.374,43,87.432,21.493,"Class4",85.515,62.019,31.423
"U",59,84.61,69.096,69.907,42,87.156,17.999,"Class4",92.868,45.731,30.731
"Z",63,42.711,77.512,58.6,15,43.544,13.141,"Class2",91.139,38.288,43.508
"U",78,88.135,69.737,72.408,42,84.713,28.791,"Class4",92.869,41.751,34.808
"X",73,46.289,28.391,31.688,26,17.636,NA,"Class3",69.972,94.836,30.027
"X",72,45.297,3.212,41.674,20,17.355,30.962,"Class3",83.441,17.975,28.522
"X",72,43.558,17.281,41.539,18,18.339,33.167,"Class3",60.293,90.711,29.973
"W",20,72.82,29.974,NA,55,60.284,80.394,"Class5",27.904,95.842,29.249
"I",34,78.175,48.659,89.505,51,55.511,82.43,"Class5",26.881,49.562,33.811
"M",60,95.254,14.296,88.078,63,36.665,82.38,"Class5",35.653,69.535,28.747
"I",68,75.791,30.757,91.707,56,54.958,79.653,"Class5",27.483,30.798,32.184
"X",59,44.623,70.537,53.754,32,56.676,25.096,"Class2",86.403,43.865,55.031
"B",25,26.243,12.241,86.56,34,8.988,49.463,"Class1",45.775,60.18,44.014
"W",30,62.935,39.787,85.95,61,75.909,83.755,"Class5",33.015,99.144,34.028
"O",63,27.461,67.226,56.975,18,65.543,12.527,"Class2",73.043,46.075,41.613
"I",72,24.934,17.03,46.948,35,77.36,54.041,"Class1",48.419,59.37,19.714
"W",31,81.103,38.059,88,53,69.226,80.207,"Class5",40.394,91.307,26.393
"M",74,63.655,7.841,35.102,14,18.037,16.779,"Class3",87.126,54.445,28.127
"O",79,45.816,7.198,34.095,22,18.852,39.842,"Class3",79.744,20.267,30.547
"T",57,88.083,91.473,69.787,40,83.236,24.527,"Class4",78.297,39.003,38.076
"Y",64,58.117,43.09,57.276,21,41.179,17.759,"Class2",81.415,32.665,72.823
"T",13,26.232,16.823,84.265,69,42.372,51.505,"Class1",33.344,61.826,45.288
"J",35,26.064,20.231,NA,64,45.078,58.527,"Class1",29.188,59.663,32.521
"M",12,85.37,93.405,67.619,47,87.381,36.352,"Class4",89.669,50.705,30.284
"Y",64,49.9,39.628,54.625,20,52.194,14.416,"Class2",81.122,19.545,54.146
"Z",79,82.305,89.292,67.909,30,80.024,21.962,"Class4",98.631,55.565,36.13
"Z",61,57.645,62.006,63.018,32,50.759,-4.462,"Class2",89.274,14.798,41.763
"W",21,44.402,48.189,89.613,58,45.842,NA,"Class5",36.509,45.159,32.876
"M",44,86.479,66.674,69.414,42,87.43,0.815,"Class4",88.809,54.165,40.735
"I",69,83.818,18.201,88.428,55,39.004,80.043,"Class5",30.042,42.588,36.774
"J",11,25.878,20.154,55.475,63,78.372,37.611,"Class1",30.855,58.218,39.611
"M",59,33.15,37.141,87.267,58,66.295,77.724,"Class5",22.531,28.173,34.801
"F",81,83.699,72.013,72.984,40,80.284,7.728,"Class4",82.27,54.733,40.888
"S",55,49.853,40.923,89.364,65,63.836,81.352,"Class5",32.319,58.925,26.657
"U",64,84.112,88.524,73.22,43,86.334,22.308,"Class4",89.785,66.792,30.409
"B",25,25.966,21.208,97.13,30,32.969,70.945,"Class1",40.879,61.623,94.293
"G",66,27.083,22.204,64.264,75,44.572,50.573,"Class1",34.169,60.443,36.706
"J",14,26.195,23.718,77.545,46,2.578,55.496,"Class1",29.779,61.704,35.728
"Z",24,85.33,72.28,71.134,30,81.656,12.965,"Class4",89.598,52.5,30.624
"F",54,86.46,69.086,72.276,30,80.501,42.75,"Class4",82.865,66.849,37.319
"M",80,87.373,69.014,NA,28,77.114,32.725,"Class4",80.262,68.846,37.675
"D",74,48.273,1.237,44.46,24,17.276,49.417,"Class3",71.734,57.684,28.27
"I",20,62.27,18.397,87.962,58,53.088,81.685,"Class5",34.058,91.072,28.937
"J",11,26.097,23.008,60.273,64,81.829,54.775,"Class1",36.368,58.803,36.88
"J",63,26.57,17.567,73.205,80,49.525,63.916,"Class1",38.717,60.74,86.797
"M",85,45.255,7.603,49.169,25,17.569,57.236,"Class3",75.19,71.795,30.223
"J",49,25.61,21.181,50.938,41,72.443,50.069,"Class1",28.422,61.138,41.904
"D",76,60.645,14.553,35.78,23,18.626,37.602,"Class3",78.566,64.432,28.695
"S",62,65.683,47.602,86.008,64,45.201,81.136,"Class5",35.552,30.481,33.733
"W",26,74.849,40.319,84.807,52,62.665,79.409,"Class5",35.555,40.437,29.723
"O",76,51.712,25.33,42.964,20,18.976,23.647,"Class3",77.136,79.855,28.159
"W",28,70.403,26.462,88.253,55,73.07,81.797,"Class5",31.915,38.756,32.366
"M",78,84.96,93.142,57.115,31,82.46,26.875,"Class4",70.36,42.606,34.277
"F",58,86.62,72.289,64.486,27,82.394,18.996,"Class4",84.918,62.852,40.162
"Z",27,84.051,80.514,68.421,35,87.184,8.329,"Class4",78.098,48.697,34.463
"X",59,63.199,52.443,59.37,30,17.203,NA,"Class2",84.757,35.963,32.735
"D",76,45.715,29.386,28.636,21,18.237,28.458,"Class3",68.227,13.425,30.136
"Z",65,28.637,53.977,60.864,26,32.809,17.277,"Class2",83.471,27.935,75.897
"O",59,55.842,70.828,61.285,35,67.665,11.206,"Class2",78.698,51.532,45.266
"M",64,83.206,79.741,65.326,33,79.75,27.486,"Class4",94.041,61.549,31.716
"X",63,28.328,80.326,52.356,17,27.688,-2.417,"Class2",76.875,45.669,47.124
"Y",64,40.676,49.236,61.216,25,30.951,13.39,"Class2",87.975,51.992,37.196
"X",88,26.937,18.221,43.814,16,18.335,28.178,"Class3",87.924,53.548,29.941
"Y",66,53.912,69.535,59.541,27,55.56,24.982,"Class2",79.835,19.442,57.743
"I",26,91.797,39.272,84.003,51,58.061,82.169,"Class5",29.756,90.071,30.639
"X",72,56.033,27.469,49.902,27,18.783,62.798,"Class3",58.136,71.451,30.001
"W",21,49.297,26.693,90.368,56,63.689,79.244,"Class5",36.19,75.977,34.297
"I",20,26.156,13.813,101.588,27,89.453,61.09,"Class1",41.366,58.128,46.538
"O",61,57.63,45.521,56.795,32,15.488,31.312,"Class2",82.078,35.941,52.676
"Z",60,44.178,78.081,51.163,27,6.994,9.205,"Class2",79.998,55.952,82.297
"L",61,56.608,63.347,53.107,34,62.12,-2.999,"Class2",71.149,51.946,77.09
"Z",61,86.05,75.361,66.527,30,79.342,34.038,"Class4",83.502,48.061,29.683
"I",27,26.152,21.425,67.48,60,56.495,57.148,"Class1",39.497,60.62,22.659
"G",40,27.004,22.568,NA,28,75.978,49.861,"Class1",35.977,58.629,46.643
"O",63,42.029,46.148,NA,30,60.685,13.375,"Class2",84.142,23.697,54.128
"Z",66,58.724,68.78,58.776,20,24.658,21.442,"Class2",85.231,30.665,71.44
"X",64,44.118,71.802,58.24,18,23.736,6.997,"Class2",78.704,56.081,41.56
"O",65,26.476,64.413,NA,34,64.246,6.332,"Class2",82.339,54.239,36.493
"X",61,27.925,73.969,57.677,35,72.249,10.862,"Class2",79.861,30.787,77.814
"W",66,72.584,30.709,84.862,61,75.766,77.087,"Class5",30.568,40.188,36.646
"U",14,82.258,96.928,73.098,41,77.229,NA,"Class4",94.021,40.865,39.98
"B",15,26.43,21.53,57.959,50,89.596,64.463,"Class1",32.655,61.858,71.487
"Z",86,85.632,65.12,71.066,29,85.321,-0.043,"Class4",84.787,40.479,38.888
"B",39,25.942,20.012,51.183,78,77.222,61.055,"Class1",29.895,61.837,66.696
"O",73,54.087,23.202,22.587,15,18.639,58.573,"Class3",81.697,55.823,29.825
"B",63,25.993,21.158,102.355,41,51.024,67.755,"Class1",33.844,62.951,55.209
"Z",64,34.113,44.996,58.492,22,66.398,26.936,"Class2",86.67,15.435,37.067
"B",44,25.532,13.974,59.68,61,8.973,49.752,"Class1",35.611,60.609,49.568
"M",21,63.188,15.508,90.157,55,59,NA,"Class5",25.678,31.603,27.835
"B",44,25.299,22.935,111.247,55,26.013,56.749,"Class1",36.945,62.528,49.724
"T",35,25.329,26.561,68.837,75,58.114,65.357,"Class1",33.678,61.517,37.246
"T",28,85.315,84.073,NA,40,80.137,11.588,"Class4",74.935,55.083,34.328
"L",66,48.458,74.875,66.496,35,83.961,7.183,"Class2",84.38,58.106,62.912
"M",81,50.968,24.168,53.284,17,18.008,15.904,"Class3",65.801,20.394,28.92
"M",64,69.319,44.706,87.015,61,43.683,NA,"Class5",28.284,59.169,27.788
"T",45,26.726,16.496,63.209,60,63.721,43.541,"Class1",31.667,59.233,89.647
"Z",61,45.482,69.095,58.965,33,31.447,2.38,"Class2",79.122,17.912,43.822
"M",63,80.977,30.407,87.399,62,68.911,82.084,"Class5",26.51,57.777,27.326
"J",36,25.459,27.868,67.375,53,20.209,60.385,"Class1",37.431,61.328,41.346
"T",63,89.619,94.279,68.72,41,87.682,41.98,"Class4",93.089,43.678,38.967
"U",71,85.313,69.489,76.371,36,77.982,2.129,"Class4",88.056,44.381,28.887
"G",76,26.346,24.421,84.954,44,38.987,53.01,"Class1",39.091,58.412,27.626
"Y",64,56.651,80.728,51.083,23,53.424,1.014,"Class2",80.639,23.531,59.292
"D",43,67.994,16.636,85.498,63,43.871,81.013,"Class5",27.229,41.61,31.904
"M",45,71.269,43.232,88.858,64,52.918,NA,"Class5",33.143,46.526,30.532
"G",47,26.426,18.436,65.112,52,58.891,52.275,"Class1",36.387,58.89,22.414
"Z",64,36.297,73.437,57.858,32,30.231,21.476,"Class2",84.607,19.206,63.617
"D",82,51.846,12.445,35.556,22,17.986,34.837,"Class3",62.263,26.162,29.043
"G",31,25.456,21.001,81.274,47,61.863,44.484,"Class1",39.814,60.731,70.989
"X",81,58.08,17.838,47.509,21,17.38,25.976,"Class3",86.494,76.251,28.898
"M",24,53.035,11.722,89.096,54,65.394,80.733,"Class5",30.817,70.935,25.252
"M",22,87.873,32.032,92.815,56,52.857,78.282,"Class5",26.698,61.091,27.071
"S",27,77.908,27.736,89.413,61,59.442,81.778,"Class5",27.225,95.447,28.125
"U",22,85.15,96.907,72.642,37,87.589,30.584,"Class4",91.766,35.007,36.243
"X",60,56.92,69.805,59.388,28,38.063,29.392,"Class2",83.875,26.345,56.599
"D",40,58.119,25.089,90.946,57,72.551,80.51,"Class5",28.651,63.971,29.563
"L",63,33.536,67.995,62.556,26,78.095,17.803,"Class2",75.438,45.924,70.369
"L",63,55.404,67.191,61.436,35,62.518,18.737,"Class2",86.363,23.582,30.776
"I",42,26.065,12.153,82.94,40,80.088,54.325,"Class1",40.252,59.277,35.813
"D",81,35.656,19.743,30.632,16,18.87,74.173,"Class3",92.083,49.158,29.445
"M",31,55.175,31.602,NA,60,37.075,82.622,"Class5",28.365,51.569,34.603
"M",28,87.88,91.561,62.536,46,85.017,-14.867,"Class4",84.023,34.563,33.92
"T",29,27.398,26.92,70.727,38,73.23,59.349,"Class1",36.742,61.744,51.845
"T",11,87.686,77.612,77.226,47,79.351,16.222,"Class4",93.94,69.301,44.924
"M",88,60.66,29.669,37.893,18,18.826,30.148,"Class3",75.327,65.728,30.941
"X",66,33.98,78.668,56.373,26,15.85,27.464,"Class2",78.224,57.688,39.558
"O",84,43.338,10.167,46.011,22,18.785,40.774,"Class3",64.87,8.636,29.474
"O",65,39.372,38.323,47.082,32,90.543,12.944,"Class2",84.177,51.682,71.659
"X",79,70.034,9.8,26.983,22,17.018,28.05,"Class3",55.438,10.224,28.729
"O",85,52.53,38.37,54.943,19,18.572,39.177,"Class3",74.905,15.56,30.431
"B",71,25.445,14.971,83.914,53,24.782,47.218,"Class1",36.572,62.975,82.923
"X",60,36.661,39.766,59.045,27,36.908,-2.203,"Class2",74.79,24.685,34.421
"M",26,64.684,9.738,88.509,63,58.062,81.509,"Class5",29.124,47.898,36.057
"M",83,38.196,6.955,14.873,13,18.621,46.41,"Class3",54.919,75.461,30.934
"Y",62,22.202,76.099,59.379,33,21.833,25.64,"Class2",81.755,42.384,48.531
"Z",62,56.585,41.891,61.755,30,38.106,18.197,"Class2",74.41,39.481,53.953
"B",49,25.627,14.94,81.08,48,51.549,NA,"Class1",35.744,58.385,23.623
"J",53,27.213,15.805,71.843,49,87.126,61.955,"Class1",33.322,59.88,56.638
"D",73,56.717,15.323,34.317,25,17.959,52.242,"Class3",83.662,15.358,30.036
"X",64,44.633,44.088,51.324,36,4.852,7.06,"Class2",90.327,18.122,62.446
"M",55,82.281,71.627,65.07,38,86.553,2.191,"Class4",79.777,58.282,43.443
"M",88,48.603,34.927,53.48,9,18.94,31.173,"Class3",81.088,53.11,30.274
"D",82,54.587,30.396,NA,13,17.045,48.718,"Class3",57.233,54.979,30.909
"M",66,80.074,49.149,87.778,55,67.291,81.767,"Class5",32.16,63.169,32.819
"O",63,25.059,78.599,55.013,33,20.387,24.479,"Class2",85.725,29.898,78.563
"I",20,77.705,23.316,86.023,62,38.781,81.294,"Class5",27.815,73.004,31.791
"L",64,39.093,78.732,60.074,33,35.455,-2.798,"Class2",76.806,36.223,70.192
"S",58,82.973,10.765,82.994,51,52.338,80.849,"Class5",32.141,72.324,32.024
"B",51,25.878,25.282,72.443,64,34.213,56.58,"Class1",35.927,62.984,24.004
"Z",83,84.073,81.056,62.652,39,77.122,11.533,"Class4",81.909,34.966,42.854
"O",77,48.947,29.177,43.252,16,18.624,36.088,"Class3",78.664,15.747,28.178
"I",33,69.622,22.23,92.125,58,75.694,83.498,"Class5",30.169,44.766,25.162
"W",34,84.394,19.307,88.826,59,38.107,82.906,"Class5",36.203,59.134,36.207
"Y",60,34.352,56.413,63.888,30,68.002,40.189,"Class2",84.905,15.691,50.748
"M",82,89.21,72.405,70.189,27,87.691,NA,"Class4",108.251,57.455,28.739
"F",10,84.231,86.588,83.314,37,81.789,29.287,"Class4",82.101,65.412,29.2
"Z",35,85.92,87.622,76.715,30,84.68,53.712,"Class4",97.753,47.088,42.731
"J",63,26.309,18.532,80.036,59,5.881,48.626,"Class1",34.214,61.508,66.071
"T",78,25.222,16.311,67.231,80,54.329,54.091,"Class1",39.387,61.939,63.117
"J",75,25.704,12.917,NA,60,68.459,54.259,"Class1",42.397,58.783,37.968
"U",58,87.921,93.786,75.764,42,88.85,17.121,"Class4",87.291,37.242,35.726
"G",71,43.534,20.451,NA,22,17.578,44.811,"Class3",74.43,97.875,29.766
"U",71,80.802,80.902,NA,30,84.113,37.215,"Class4",94.955,62.489,32.569
"D",80,52.311,39.334,34.181,14,17.647,27.382,"Class3",57.617,29.116,28.882
"T",8,82.88,67.359,78.273,43,81.412,32.011,"Class4",93.33,40.944,35.598
"M",42,75.533,52.433,86.674,58,65.811,NA,"Class5",28.464,86.878,33.325
"Z",64,26.271,66.29,55.797,20,84.627,25.902,"Class2",85.927,41.252,51.487
"T",71,25.688,22.57,74.135,62,58.828,67.16,"Class1",37.529,62.225,43.114
"T",14,25.783,12.482,47.08,45,66.853,50.188,"Class1",40.187,58.952,65.071
"M",74,45.868,34.922,22.823,22,18.411,NA,"Class3",77.989,21.794,29.53
"Z",66,51.003,43.318,61.946,18,57.572,4.908,"Class2",84.186,34.323,53.327
"L",60,53.911,52.081,65.914,19,79.421,16.483,"Class2",85.278,24.913,71.739
"Y",63,38.062,45.631,56.601,35,85.947,20.969,"Class2",75.63,45.268,39.354
"G",82,62.332,4.491,34.607,22,17.91,19.388,"Class3",77.313,72.883,30.967
"S",60,74.069,36.039,87.109,58,63.655,81.518,"Class5",31.15,49.077,36.265
"G",82,60.952,8.91,42.396,24,17.54,56.605,"Class3",63.903,92.967,29.907
"M",81,84.843,65.006,71.387,43,79.308,4.837,"Class4",93.295,36.724,30.921
"J",76,25.443,19.024,88.651,73,49.834,56.722,"Class1",36.878,59.713,90.676
"M",60,83.935,65.97,65.351,42,85.066,22.264,"Class4",104.996,44.622,34.835
"B",7,26.505,12.378,94.414,39,73.241,43.079,"Class1",38.337,58.408,86.572
"T",74,87.32,81.533,74.259,34,81.264,NA,"Class4",83.603,36.579,39.336
"U",36,88.245,90.017,69.046,26,84.557,34.2,"Class4",82.07,66.715,43.858
"X",81,41.527,24.259,36.762,24,17.04,17.876,"Class3",80.652,39.458,28.639
"W",30,80.767,27.581,92.22,59,55.556,82.624,"Class5",33.241,91.53,31.25
"G",63,25.998,23.819,80.561,75,81.371,55.019,"Class1",37.204,58.906,59.679
"D",73,58.057,42.084,46.814,21,17.338,31.21,"Class3",79.972,76.783,29.282
"M",78,85.512,83.366,71.845,38,79.891,20.948,"Class4",85.125,43.493,33.136
"M",31,82.271,67.622,71.859,35,80.571,8.349,"Class4",83.152,49.324,32.075
"X",66,52.125,51.226,53.858,28,63.385,28.138,"Class2",80.453,16.759,39.187
"L",60,61.316,57.299,58.118,26,52.512,0.744,"Class2",84.435,26.37,82.251
"M",40,86.841,94.863,65.79,38,86.384,1.219,"Class4",86.745,55.126,33.079
"F",32,85.715,71.131,72.221,45,87.866,-1.124,"Class4",82.092,47.101,35.813
"Y",63,49.16,75.292,60.219,35,68.851,NA,"Class2",87.555,28.38,75.615
"I",43,67.104,47.564,93.251,62,75.251,79.935,"Class5",34.171,27.692,27.284
"O",61,26.377,69.549,56.677,22,69.347,18.096,"Class2",82.65,33.937,40.27
"M",74,53.954,35.47,43.738,27,18.38,57.421,"Class3",72.352,60.23,30.155
"O",63,56.921,62.432,60.333,29,65.925,-12.422,"Class2",83.817,22.895,71.398
"Z",60,40.619,51.091,64.333,34,56.749,20.075,"Class2",79.792,25.845,35.865
"W",27,71.872,34.645,89.036,62,52.868,79.976,"Class5",28.556,27.978,32.628
"X",60,56.361,47.019,63.057,21,23.295,19.739,"Class2",82.032,18.824,38.951
"O",62,49.529,77.384,60.559,25,68.923,-14.65,"Class2",80.517,45.409,43.425
"U",53,84.836,81.657,69.894,42,86.248,-2.044,"Class4",81.403,65.118,43.128
"F",18,87.23,68.646,67.496,36,82.337,19.572,"Class4",82.562,64.712,38.134
"J",32,25.746,16.841,94.809,84,40.247,52.617,"Class1",43.601,62.724,66.784
"B",53,24.967,22.141,86.743,63,60.708,52.999,"Class1",32.973,58.678,60.051
"L",64,65.82,51.364,54.626,24,60.923,31.409,"Class2",89.375,50.291,79.568
"G",74,26.245,26.053,73.918,79,22.911,47.288,"Class1",36.228,62.419,19.71
"Z",14,81.743,93.008,66.642,39,84.712,6.156,"Class4",88.398,49.35,44.828
"X",65,38.074,57.567,60.086,16,39.179,7.533,"Class2",82.377,57.563,77.73
"I",23,91.624,36.749,87.315,54,68.564,82.299,"Class5",28.339,36.353,29.914
"X",83,55.462,22.328,32.527,20,18.222,9.262,"Class3",78.071,39.702,30.691
"Z",59,42.637,43.153,60.705,26,18.139,3.477,"Class2",81.975,22.011,46.82
"D",24,69.742,13.773,88.316,52,36.204,82.246,"Class5",35.487,84.614,35.779
"M",86,66.832,11.237,26.656,22,18.955,16.983,"Class3",89.848,15.167,29.31
"L",61,37.264,80.969,59.762,15,41.355,20.267,"Class2",80.592,35.107,43.822
"X",65,24.537,51.724,NA,21,21.23,-5.506,"Class2",81.3,57.159,55.349
"T",30,26.42,26.492,75.206,63,36.491,49.754,"Class1",32.816,62.106,79.558
"G",34,25.312,19.132,79.048,63,30.342,55.391,"Class1",40.754,60.731,34.647
"D",75,61.028,8.384,38.575,17,17.762,56.37,"Class3",60.056,17.679,30.085
"Z",39,82.013,90.944,72.228,43,79.757,24.389,"Class4",87.337,59.013,32.968
"O",76,50.247,32.621,20.256,18,17.02,35.603,"Class3",88.593,65.534,30.154
"D",78,66.215,34.145,50.873,13,18.18,23.168,"Class3",74.175,30.647,29.118
"M",55,62.725,23.512,91.5,58,64.1,81.946,"Class5",30.199,58.529,36.003
"Y",63,36.652,54.505,55.564,15,78.365,24.595,"Class2",78.728,16.995,79.471
"W",21,72.927,49.347,87.497,65,66.632,NA,"Class5",28.437,73.275,34.192
"Y",66,22.555,57.031,65.443,32,70.012,18.572,"Class2",72.711,17.42,35.252
"D",51,96.476,41.446,85.299,55,61.753,80.511,"Class5",34.468,89.903,26.842
"M",50,78.836,54.524,87.594,59,44.414,81.329,"Class5",27.667,72.131,26.742
"U",8,83.89,85.009,67.002,34,79.113,21.412,"Class4",92.021,55.988,44.343
"I",68,25.57,17.435,50.845,54,3.604,43.402,"Class1",32.745,61.629,83.656
"X",66,29.339,48.578,57.116,29,26.742,30.79,"Class2",83.288,32.101,77.063
"L",61,53.471,39.664,61.988,18,49.656,13.646,"Class2",78.327,26.027,54.154
"M",48,53.61,12.135,89.716,52,61.314,82.344,"Class5",31.313,63.176,26.449
"T",8,86.345,79.428,71.366,29,86.976,28.339,"Class4",93.749,52.607,40.973
"X",72,47.63,4.302,37.003,21,17.702,39.33,"Class3",70.462,89.222,28.084
"M",29,74.818,25.45,NA,53,66.125,82.69,"Class5",33.365,87.88,35.247
"O",63,54.759,47.908,60.472,15,9.03,15.552,"Class2",82.343,42.505,32.796
"M",49,52.65,16.683,86.677,56,64.042,82.55,"Class5",28.91,51.751,36.382
"Z",64,46.823,74.572,59.364,28,61.347,17.985,"Class2",77.302,24.687,53.683
"O",63,51.105,49.862,58.828,32,22.391,22.277,"Class2",84.281,26.76,52.122
"G",5,25.77,15.94,80.568,69,56.608,50.525,"Class1",38.575,59.89,75.164
"M",87,57.922,34.488,48.034,27,18.919,14.902,"Class3",70.109,38.796,29.475
