"APU1","TNS2","BNJ3","FKI4","NGO5","FMO6","UYZ7","NLU8","CDP9","DKG10","Output2"
"H",88.691,47.212,28.524,53.899,27.29,11,47.986,"R",15.192,"Class3"
"M",63.255,47.26,13.171,64.652,28.165,12,47.742,"I",11.148,"Class3"
"H",97.578,32.292,32.672,65.429,43.949,13,47.174,"M",41.825,"Class3"
"J",4.499,34.736,23.316,75.16,87.141,27,74.738,"L",14.304,"Class4"
"Z",92.053,30.869,45.838,46.807,61.2,59,52.637,"F",57.854,"Class1"
"M",60.159,49.271,15.944,54.269,35.492,10,47.365,"I",31.179,"Class3"
"Q",32.571,28.012,22.069,18.864,80.735,16,77.122,"J",16.064,"Class4"
"N",61.816,73.268,53.51,53.118,68.78,77,46.948,"G",70.723,"Class2"
"Q",5.405,26.222,22.967,38.092,82.192,10,76.581,"R",12.387,"Class4"
"X",11.504,11.715,23.352,60.604,78.515,18,78.325,"L",15.852,"Class4"
"N",91.181,76.808,63.234,28.929,62.705,81,46.178,"Q",24.718,"Class2"
"Q",6.157,38.31,23.953,63.639,89.539,10,80.024,"P",15.259,"Class4"
"H",68.729,21.287,18.079,77.387,26.674,14,47.111,"H",46.146,"Class3"
"N",52.13,57.729,45.558,62.687,68.592,NA,36.053,"G",69.298,"Class2"
"D",91.652,32.608,63.028,45.733,54.198,65,50.306,"F",54.283,"Class1"
"X",10.116,26.196,22.946,38.987,80.202,39,73.989,"L",15.761,"Class4"
"R",81.627,46.172,29.95,56.812,43.554,10,47.631,"M",45.343,"Class3"
"I",15.506,19.27,23.79,39.672,94.623,32,68.439,"L",12.407,"Class4"
"K",7.979,35.873,23.267,66.072,83.24,9,66.162,"C",15.328,"Class4"
"A",64.026,56.008,65.61,20.621,73.167,NA,28.723,"I",42.269,"Class2"
"R",91.964,46.922,23.093,58.933,35.081,10,NA,"I",34.454,"Class3"
"Q",9.944,38.239,23.855,43.72,79.766,15,69.236,"R",10.549,"Class4"
"I",13.61,24.428,23.4,78.678,84.911,31,75.721,"C",16.715,"Class4"
"G",87.678,31.935,46.556,50.897,56.593,93,45.212,"M",60.207,"Class1"
"C",91.345,32.01,60.673,45.172,58.537,57,45.96,"D",53.242,"Class1"
"G",89.497,33.379,54.577,46.863,56.298,70,39.383,"B",60.602,"Class1"
"R",81.33,57.921,32.302,43.151,39.342,11,47.355,"Z",26.468,"Class3"
"P",73.206,42.777,15.511,67.293,44.645,13,47.688,"M",38.622,"Class3"
"C",88.248,30.032,56.942,45.717,58.397,73,39.589,"M",63.115,"Class1"
"I",4.241,27.131,22.083,53.29,88.121,42,76.129,"R",10.948,"Class4"
"C",85.011,32.136,47.169,45.954,58.124,66,45.923,"B",54.232,"Class1"
"R",78.941,65.863,14.788,74.594,50.203,13,47.721,"R",51.254,"Class3"
"C",88.876,31.362,56.713,43.282,57.451,61,47.71,"D",62.802,"Class1"
"H",62.906,101.257,68.295,47.948,68.77,95,71.538,"C",79.23,"Class2"
"R",52.594,64.168,19.908,57.172,33.609,15,47.889,"R",25.438,"Class3"
"P",66.186,49.921,19.539,67.446,44.413,15,47.858,"I",11.536,"Class3"
"D",92.155,31.923,49.34,44.463,62.872,58,45.694,"F",56.456,"Class1"
"A",87.073,73.041,46.504,-4.946,69.187,78,69.379,"H",27.183,"Class2"
"R",68.585,22.999,24.368,80.092,32.681,11,47.473,"H",31.587,"Class3"
"H",65.332,75.853,45.414,26.825,71.004,91,21.344,"Q",62.945,"Class2"
"M",58.265,55.011,19.876,49.44,33.187,14,47.829,"R",24.721,"Class3"
"A",56.614,79.928,48.404,15.112,63.331,83,25.802,"I",10.302,"Class2"
"H",59.315,32.219,22.473,83.285,24.931,15,47.379,"I",48.275,"Class3"
"Z",91.585,31.801,45.533,45.65,55.912,77,40.105,"F",66.016,"Class1"
"M",61.279,50.887,17.911,76.326,29.806,12,47.475,"I",22.676,"Class3"
"C",78.457,59.598,52.659,17.787,64.17,96,55.872,"G",46.691,"Class2"
"H",63.209,35.437,14.661,75.793,32.663,11,NA,"Z",38.479,"Class3"
"C",76.959,38.042,44.635,15.87,65.526,80,16.461,"H",36.248,"Class2"
"A",101.601,40.302,47.004,22.778,67.638,77,50.027,"C",16.489,"Class2"
"C",54.686,76.607,54.701,83.132,63.373,83,NA,"H",65.98,"Class2"
"H",86.601,31.242,62.369,45.928,57.734,91,50.222,"F",62.342,"Class1"
"P",67.828,40.799,26.32,64.954,34.439,14,47.412,"I",34.607,"Class3"
"A",54.707,68.498,47.741,28.41,74.297,96,73.464,"H",83.733,"Class2"
"Z",87.018,31.011,45.587,48.702,57.552,74,44.035,"F",65.624,"Class1"
"R",60.741,58.77,31.016,80.84,36.587,10,47.756,"I",44.276,"Class3"
"M",80.683,41.65,13.501,69.897,29.416,13,47.022,"I",13.102,"Class3"
"P",70.313,60.841,24.173,75.515,30.401,12,47.593,"M",51.883,"Class3"
"D",89.26,31.851,60.901,48.276,59.109,68,48.661,"P",64.759,"Class1"
"N",60.954,42.909,49.826,66.121,70.541,95,27.838,"Q",5.249,"Class2"
"N",71.13,24.499,45.258,38.896,71.18,83,54.385,"I",52.008,"Class2"
"E",73.212,78.062,21.378,76.15,29.44,15,47.848,"R",24.647,"Class3"
"C",72.118,74.452,50.668,28.94,68.284,96,47.178,"G",69.629,"Class2"
"N",88.482,53.984,48.787,55.945,68.894,87,88.943,"Q",58.134,"Class2"
"A",64.026,39.525,59.268,13.868,69.886,75,34.841,"Q",47.055,"Class2"
"G",75.242,86.649,51.974,15.148,70.861,75,30.778,"H",72.813,"Class2"
"N",64.09,30.109,67.922,49.16,63.567,84,44.212,"H",59.354,"Class2"
"R",57.286,24.377,31.2,58.891,42.877,11,47.099,"R",50.706,"Class3"
"H",91.98,30.996,51.789,45.72,53.383,66,41.088,"F",57.117,"Class1"
"A",82.93,78.32,53.671,24.35,72.302,85,62.333,"C",21.784,"Class2"
"H",82.495,47.818,52.74,56.076,68.249,NA,73.683,"C",77.978,"Class2"
"P",78.311,45.365,32.734,60.724,33.71,13,47.462,"I",27.293,"Class3"
"A",59.543,35.384,54.633,9.088,73.704,75,53.11,"G",40.041,"Class2"
"I",23.407,13.637,23.289,78.963,82.384,18,74.092,"L",15.094,"Class4"
"H",89.293,31.32,61.727,46.881,59.572,83,44.58,"M",60.71,"Class1"
"R",82.256,29.571,32.316,71.179,38.457,12,47.233,"H",11.884,"Class3"
"H",73.921,62.673,49.961,66.819,61.998,96,49.906,"H",9.309,"Class2"
"N",82.816,53.61,65.227,32.492,70.171,NA,79.426,"G",27.954,"Class2"
"H",72.216,56.629,32.505,65.946,34.826,12,47.402,"R",47.349,"Class3"
"C",74.405,76.415,42.726,29.325,72.018,94,NA,"Q",58.743,"Class2"
"D",86.196,30.966,52.175,47.095,56.061,95,41.917,"P",64.209,"Class1"
"G",60.807,61.784,43.639,47.951,68.939,81,48.375,"G",30.381,"Class2"
"X",24.22,52.133,22.086,57.352,84.236,13,79.073,"P",10.968,"Class4"
"X",12.004,13.221,23.638,79.233,79.735,8,77.502,"L",11.283,"Class4"
"I",9.391,16.666,23.396,60.971,92.437,14,76.664,"R",13.958,"Class4"
"H",80.488,61.995,48.023,29.333,66.256,84,63.736,"I",45.338,"Class2"
"C",89.873,29.866,45.606,47.732,59.257,48,48.981,"D",66.295,"Class1"
"Q",21.995,38.386,23.781,55.656,87.696,25,74.393,"J",13.321,"Class4"
"K",7.985,30.42,22.94,46.689,79.943,34,73.754,"R",12.192,"Class4"
"H",72.017,20.528,15.327,65.333,31.686,14,47.195,"M",45.309,"Class3"
"H",87.691,47.092,52.317,72.664,70.182,85,81.404,"Q",45.226,"Class2"
"C",89.795,30.703,62.284,41.315,60.493,55,48.671,"M",55.864,"Class1"
"C",90.578,30.549,49.228,45.298,56.202,90,48.618,"B",62.621,"Class1"
"X",28.613,11.333,22.911,69.985,83.532,17,75.484,"L",9.807,"Class4"
"K",14.864,12.601,22.176,52.594,75.307,14,73.028,"L",12.724,"Class4"
"H",88.316,30.852,48.281,47.529,57.451,82,44.032,"M",56.007,"Class1"
"H",85.575,30.512,58.409,45.335,57.227,77,50.664,"P",57.884,"Class1"
"Z",83.014,33.257,58.383,45.272,59.125,84,45.937,"B",64.509,"Class1"
"X",18.653,7.574,23.013,33.847,81.729,12,67.055,"R",14.116,"Class4"
"E",68.951,62.416,14.316,78.493,39.275,12,47.246,"R",36.812,"Class3"
"Q",14.974,28.692,23.089,86.386,87.043,43,79.604,"C",17.41,"Class4"
"Z",85.496,32.683,46.304,45.375,59.865,69,40.083,"B",54.846,"Class1"
"J",9.579,13.462,23.621,61.465,87.431,17,75.906,"C",14.129,"Class4"
"G",58.583,35.702,58.768,7.117,63.193,94,60.348,"C",42.121,"Class2"
"E",75.494,37.182,16.069,59.633,41.427,11,47.415,"Z",38.196,"Class3"
"H",89.254,30.594,51.227,43.84,61.052,59,45.85,"B",54.271,"Class1"
"Q",29.01,32.263,23.805,43.232,89.229,35,69.771,"L",17.515,"Class4"
"J",18.248,44.827,22.872,46.112,74.446,29,72.736,"P",9.862,"Class4"
"K",23.069,15.784,22.832,114.214,80.72,34,79.891,"J",11.793,"Class4"
"H",84.703,46.091,51.944,19.553,68.191,80,82.633,"G",29.04,"Class2"
"X",9.609,37.854,22.47,76.773,87.499,7,76.003,"R",13.189,"Class4"
"I",16.713,38.572,22.868,47.796,82.665,39,66.966,"J",17.369,"Class4"
"R",76.113,59.427,28.911,68.264,37.655,NA,47.058,"I",36.68,"Class3"
"C",80.869,32.122,59.574,45.153,52.626,NA,40.607,"M",56.527,"Class1"
"D",95.653,30.416,51.505,43.07,56.165,49,48.905,"F",61.218,"Class1"
"G",86.22,32.236,49.752,45.928,59.38,58,47.366,"D",60.55,"Class1"
"P",69.748,51.313,15.34,83.677,34.522,15,47.684,"Z",12.427,"Class3"
"A",65.711,41.653,62.365,41.242,74.287,89,64.875,"I",23.987,"Class2"
"H",95.14,30.054,59.712,46.516,60.364,86,48.961,"P",58.684,"Class1"
"H",61.661,58.906,15.35,69.751,31.006,12,47.402,"M",20.462,"Class3"
"D",90.787,31.019,58.931,40.382,56.17,NA,49.258,"M",57.607,"Class1"
"Z",89.135,30.581,61.505,45.711,60.213,84,48.668,"F",62.356,"Class1"
"M",75.861,57.055,18.439,65.272,24.246,12,47.104,"R",49.888,"Class3"
"Z",89.806,32.168,48.79,46.727,61.237,94,41.772,"D",58.369,"Class1"
"Z",84.634,31.633,57.06,46.426,61.234,83,42.849,"P",56.107,"Class1"
"Q",6.625,27.144,22.722,30.586,82.279,35,69.372,"R",15.854,"Class4"
"R",76.847,81.797,13.031,58.267,39.439,14,47.233,"M",20.053,"Class3"
"I",19.329,11.92,22.681,60.575,87.421,37,71.343,"R",10.639,"Class4"
"R",71.579,52.641,15.257,75.258,30.629,14,47.415,"H",40.13,"Class3"
"H",79.314,44.079,16.318,68.89,28.623,10,47.479,"I",43.973,"Class3"
"K",20.285,14.999,22.346,87.885,81.46,37,76.082,"C",14.02,"Class4"
"H",48.165,72.992,21.381,50.337,28.835,11,47.05,"M",35.981,"Class3"
"X",10.795,22.21,23.79,91.104,93.537,35,77.738,"P",12.665,"Class4"
"H",82.392,30.793,55.64,49.658,57.21,65,45.439,"P",53.205,"Class1"
"E",69.151,46.574,30.854,74.266,51.263,13,47.843,"M",12.922,"Class3"
"X",11.479,28.661,22.918,96.702,86.359,NA,76.977,"R",12.511,"Class4"
"I",33.569,33.017,22.6,76.206,82.974,NA,78.541,"R",14.772,"Class4"
"N",60.027,37.54,55.987,51.782,68.918,75,35.496,"G",50.377,"Class2"
"C",82.895,30.726,45.348,48.19,59.854,57,43.71,"B",56.699,"Class1"
"Z",83.283,29.929,48.554,47.249,58.404,92,47.285,"P",62.273,"Class1"
"G",85.97,83.61,67.224,30.531,66.258,93,43.263,"G",16.594,"Class2"
"J",11.856,25.781,22.971,67.635,86.944,17,79.268,"L",11.874,"Class4"
"J",12.245,7.379,22.896,77.413,97.918,36,73.672,"L",14.58,"Class4"
"G",82.444,32.384,60.705,46.2,60.026,84,45.305,"F",63.072,"Class1"
"X",6.877,42.269,22.511,32.114,85.824,28,73.02,"C",16.003,"Class4"
"H",76.188,31.37,61.947,47.61,57.068,69,40.137,"B",54.826,"Class1"
"I",14.594,8.588,23.878,112.792,81.232,34,67.567,"C",16.2,"Class4"
"R",68.467,45.868,14.303,41.423,30.631,13,47.852,"M",41.157,"Class3"
"H",68.358,57.306,31.714,55.84,20.817,13,47.199,"H",45.965,"Class3"
"C",54.951,43.474,54.949,47.512,64.876,83,25.782,"I",27.897,"Class2"
"E",65.572,35.593,25.171,51.73,51.385,15,47.791,"M",28.779,"Class3"
"G",70.395,56.148,54.544,69.8,69.423,91,60.821,"H",68.046,"Class2"
"R",77.88,30.801,30.31,73.229,34.432,13,47.597,"R",38.816,"Class3"
"C",91.698,33.313,60.198,49.302,58.316,71,51.845,"B",66.238,"Class1"
"H",109.935,71.492,66.159,42.832,66.546,88,58.712,"Q",58.2,"Class2"
"N",81.246,87.343,44.258,54.573,66.414,NA,66.2,"I",60.653,"Class2"
"G",71.384,61.782,66.087,29.108,67.948,96,55.935,"H",49.014,"Class2"
"Q",25.437,6.875,23.986,44.283,81.546,11,80.113,"P",14.85,"Class4"
"R",43.973,45.758,27.621,48.711,32.4,10,47.874,"I",36.448,"Class3"
"Z",86.414,31.541,55.687,44.994,55.814,63,43.486,"M",57.51,"Class1"
"A",67.891,22.376,51.359,36.097,70.299,90,62.767,"H",72.609,"Class2"
"H",88.376,31.392,57.842,45.509,59.65,56,48.949,"M",55.524,"Class1"
"M",75.62,70.215,27.249,61.059,43.388,12,47.799,"H",25.923,"Class3"
"G",94.796,75.093,51.058,15.701,74.654,91,55.571,"H",81.254,"Class2"
"I",15.729,17.12,23.776,28.307,91.384,NA,73.445,"J",10.95,"Class4"
"J",17.741,12.203,23.277,105.503,81.874,15,79.148,"P",10.386,"Class4"
"H",70.507,39.695,46.955,34.211,64.557,79,87.914,"Q",82.443,"Class2"
"P",53.912,53.704,17.711,51.131,29.103,12,47.954,"M",51.422,"Class3"
"P",71.743,50.229,15.971,62.024,34.742,13,47.76,"M",20.531,"Class3"
"R",68.258,35.175,20.233,70.481,25.082,12,47.877,"R",34.082,"Class3"
"R",61.553,47.326,15.882,69.527,37.813,14,47.987,"M",46.014,"Class3"
"P",64.839,31.861,16.083,60.473,42.985,11,47.246,"H",26.976,"Class3"
"Q",25.184,16.281,22.935,93.509,84.329,28,76.372,"R",15.378,"Class4"
"N",64.898,36.513,54.181,30.031,68.253,80,37.653,"Q",44.288,"Class2"
"P",76.885,39.874,16.264,65.903,39.911,10,47.54,"H",26.016,"Class3"
"R",52.832,51.819,14.942,46.02,32.453,14,47.924,"M",13.415,"Class3"
"P",74.599,46.916,17.727,68.427,31.603,13,47.713,"Z",27.815,"Class3"
"J",19.972,34.304,23.307,58.26,80.42,30,72.058,"L",13.144,"Class4"
"E",64.33,53.833,30.766,61,23.593,10,47.442,"I",40.641,"Class3"
"I",23.594,22.97,22.501,72.875,76.787,34,75.043,"R",11.774,"Class4"
"J",6.781,40.397,22.827,108.308,92.058,14,72.268,"R",15.035,"Class4"
"X",29.293,6.541,22.089,59.375,90.314,43,68.611,"L",12.301,"Class4"
"D",87.546,31.923,59.562,43.968,54.646,67,NA,"P",59.552,"Class1"
"K",19.986,20.387,23.47,59.912,78.469,22,80.474,"J",15.826,"Class4"
"C",68.997,74.727,65.85,61.094,71.898,91,80.433,"I",39.917,"Class2"
"H",51.661,64.297,59.932,43.304,68.962,77,72.464,"I",39.851,"Class2"
"A",70.646,70.24,55.117,68.367,68.622,93,60.907,"C",9.967,"Class2"
"N",53.839,33.529,66.659,43.282,67.526,95,52.198,"H",15.566,"Class2"
"Q",-2.735,30.471,22.648,98.641,79.97,40,79.264,"J",12.462,"Class4"
"H",63.146,70.249,50.989,26.891,64.076,97,87.857,"C",36.438,"Class2"
"R",67.484,71.447,27.465,54.543,35.661,13,47.161,"I",43.491,"Class3"
"H",58.701,37.507,64.736,48.138,73.709,90,52.648,"C",25.065,"Class2"
"H",69.737,65.023,59.47,41.44,68.584,85,89.291,"H",37.175,"Class2"
"C",85.339,32.755,62.886,47.197,57.508,91,44.753,"F",60.951,"Class1"
"H",77.628,25.868,54.797,55.106,69.111,97,42.825,"H",25.351,"Class2"
"D",87.491,33.733,62.51,47.748,58.547,80,39.671,"B",63.881,"Class1"
"G",60.774,97.911,66.389,19.219,62.751,84,37.865,"I",19.579,"Class2"
"Q",18.757,23.637,23.1,57.569,89.865,27,74.922,"L",10.789,"Class4"
"D",85.655,32.35,50.315,46.419,58.064,72,47.336,"B",64.945,"Class1"
"M",62.808,53.127,13.283,79.7,38.508,13,47.007,"R",50.443,"Class3"
"G",93.888,14.555,46.392,42.362,66.961,97,80.622,"Q",50.656,"Class2"
"H",90.312,50.317,63.095,6.569,64.293,82,NA,"G",10.391,"Class2"
"H",90.655,33.382,62.572,45.918,60.803,86,49.632,"F",54.678,"Class1"
"H",87.952,31.007,61.751,50.344,59.139,53,41.965,"F",55.488,"Class1"
"H",91.302,33.009,45.514,44.362,59.107,86,42.511,"B",61.89,"Class1"
"Q",13.643,11.726,22.826,85.391,93.326,32,77.542,"P",12.47,"Class4"
"J",15.459,18.234,22.892,50.93,74.34,34,81.764,"J",13.841,"Class4"
"Q",19.739,45.548,22.411,60.185,86.424,34,67.064,"R",14.384,"Class4"
"R",70.495,45.041,29.603,61.116,38.562,12,47.216,"H",39.292,"Class3"
"N",75.74,51.924,50.583,43.82,65.145,96,NA,"G",16.202,"Class2"
"H",87.112,30.801,52.887,44.152,58.259,48,41.708,"P",57.442,"Class1"
"M",70.68,57.286,25.156,64.934,11.8,14,47.594,"R",14.431,"Class3"
"C",81.679,57.875,68.667,22.232,71.931,82,29.922,"I",13.112,"Class2"
"A",80.076,48.932,67.477,34.774,68.567,97,38.095,"C",36.231,"Class2"
"G",89.028,30.934,46.591,44.153,57.853,77,39.133,"D",55.39,"Class1"
"G",84.532,31.658,60.631,46.989,56.722,65,41.412,"D",63.947,"Class1"
"D",85.912,30.926,54.009,49.025,60.788,60,50.433,"M",55.377,"Class1"
"R",80.751,61.138,24.686,66.978,34.843,12,47.918,"Z",11.476,"Class3"
"G",80.961,31.768,54.564,46.091,58.863,70,46.624,"B",59.085,"Class1"
"M",64.847,34.658,25.02,75.43,44.949,12,NA,"H",11.397,"Class3"
"G",84.217,60.129,46.667,17.677,69.109,95,69.142,"G",67.939,"Class2"
"K",14.031,15.95,22.729,84.529,82.926,30,68.491,"J",16.003,"Class4"
"Q",18.798,19.924,23.912,104.484,87.699,8,75.96,"J",15.996,"Class4"
"C",91.946,32.364,57.128,46.29,58.906,90,46.978,"M",58.738,"Class1"
"H",72.33,23.287,26.991,85.616,48.608,11,47.01,"R",49.836,"Class3"
"H",58.285,58.816,53.975,68.693,67.263,75,67.097,"Q",14.236,"Class2"
"E",54.673,39.816,29.626,59.754,32.251,13,47.958,"R",27.268,"Class3"
"G",69.801,66.429,45.641,108.126,67.967,78,38.726,"Q",63.486,"Class2"
"N",58.607,51.492,45.538,33.128,71.886,97,38.573,"I",66.94,"Class2"
"C",86.085,32.743,51.62,47.756,59.432,67,39.842,"F",66.722,"Class1"
"C",59.906,37.97,67.697,41.709,70.907,88,46.448,"C",53.092,"Class2"
"X",16.304,26.647,23.001,65.915,86.42,35,74.974,"L",17.785,"Class4"
"I",20.187,18.085,23.282,59.312,85.171,9,79.431,"J",11.534,"Class4"
"K",14.461,14.717,23.734,69.414,85.938,43,72.538,"L",11.632,"Class4"
"A",55.659,43.36,54.942,36.89,69.472,97,64.574,"G",17.016,"Class2"
"C",89.293,29.383,61.299,46.026,59.106,68,52.197,"M",55.856,"Class1"
"C",85.136,31.335,45.492,47.121,60.767,NA,47.862,"D",55.605,"Class1"
"E",59.748,37.956,13.287,58.884,53.034,10,47.828,"R",13.946,"Class3"
"J",23.868,57.252,23.003,71.852,88.632,NA,67.742,"R",12.204,"Class4"
"C",90.043,32.069,48.816,43.769,56.088,49,39.716,"M",57.952,"Class1"
"K",9.984,40.462,23.651,70.201,78.975,30,76.236,"P",15.209,"Class4"
"M",74.118,36.472,24.466,58.22,32.537,13,47.175,"R",23.48,"Class3"
"C",95.991,32.068,60.033,43.414,60.868,NA,46.017,"M",65.944,"Class1"
"X",14.829,11.535,23.091,89.108,79.787,18,69.004,"L",16.865,"Class4"
"C",94.273,31.609,60.644,49.548,56.738,91,39.694,"D",64.42,"Class1"
"N",79.059,67.396,64.009,52.897,64.764,96,39.775,"Q",14.687,"Class2"
"Q",11.857,23.536,23.872,65.87,78.891,8,72.034,"J",13.853,"Class4"
"H",88.181,33.757,46.293,45.362,60.035,78,38.424,"P",60.041,"Class1"
"I",-8.015,11.518,23.523,73.222,92.654,14,72.256,"L",14.067,"Class4"
"I",7.521,24.313,23.931,86.743,76.415,17,68.958,"C",9.749,"Class4"
"H",84.198,31.247,51.818,44.746,60.206,62,52.138,"F",65.442,"Class1"
"R",82.193,45.125,21.058,55.201,25.9,15,47.789,"M",20.396,"Class3"
"P",57.443,56.366,14.805,67.686,32.046,NA,47.093,"H",48.986,"Class3"
"C",78.643,104.001,46.606,33.479,74.178,85,53.822,"C",39.798,"Class2"
"H",70.948,58.751,26.663,68.001,24.359,15,47.261,"Z",26.556,"Class3"
"D",82.626,30.621,50.261,51.044,55.916,83,45.31,"B",59.056,"Class1"
"D",87.959,31.931,54.131,42.195,59.492,56,41.361,"B",62.052,"Class1"
"N",71.054,94.106,57.415,21.508,76.959,85,52.154,"G",32.36,"Class2"
"N",78.426,47.999,59.518,32.863,71.893,86,84.248,"I",21.162,"Class2"
"D",84.332,32.713,61.339,47.346,59.114,92,48.402,"B",53.437,"Class1"
"N",77.191,66.783,55.755,19.721,69.295,86,79.093,"C",62.294,"Class2"
"H",60.886,65.212,67.493,48.668,64.412,77,57.543,"G",54.147,"Class2"
"G",51.18,71.558,56.662,13.082,63.301,84,46.523,"C",75.414,"Class2"
"H",50.129,37.517,32.428,57.582,42.666,10,47.997,"I",45.73,"Class3"
"J",3.306,29.787,23.016,83.04,80.816,18,67.411,"C",12.247,"Class4"
"H",79.467,35.966,13.989,78.084,39.142,NA,47.815,"M",11.365,"Class3"
"E",82.209,51.854,23.685,35.005,26.808,14,47.482,"I",39.18,"Class3"
"Q",17.905,31.872,23.826,61.049,91.026,14,78.576,"C",10.918,"Class4"
"G",90.471,31.81,56.816,50.19,54.864,66,42.114,"F",59.232,"Class1"
"E",67.468,62.432,23.846,59.582,40.807,15,47.019,"R",14.745,"Class3"
"C",89.003,32.937,47.453,44.537,56.893,68,50.207,"D",57.131,"Class1"
"C",52.148,14.048,52.99,-34.549,69.135,93,46.039,"G",11.056,"Class2"
"G",82.33,32.178,51.492,47.32,56.131,55,50.505,"M",56.681,"Class1"
"G",35.56,55.212,51.742,45.825,63.908,96,43.315,"H",16.534,"Class2"
"K",26.915,11.401,23.357,99.472,85.764,41,NA,"R",13.022,"Class4"
"K",18.884,-0.632,23.728,63.502,85.868,13,66.049,"R",12.436,"Class4"
"H",71.885,44.638,16.958,71.776,28.672,10,47.208,"I",12.273,"Class3"
"E",51.137,61.166,20.987,31.61,33.873,10,47.033,"M",18.013,"Class3"
"N",46.853,33.824,59.048,44.995,74.87,77,74.329,"H",13.453,"Class2"
"H",64.348,59.84,65.895,58.737,61.8,89,88.928,"G",17.195,"Class2"
"H",87.925,92.029,65.741,42.444,60.079,96,87.227,"Q",60.664,"Class2"
"I",12.842,20.215,23.179,53.596,83.579,30,75.675,"J",9.133,"Class4"
"Z",88.505,31.457,59.634,39.455,61.075,54,39.647,"B",53.819,"Class1"
"P",65.385,67.031,25.426,67.381,28.502,10,47.919,"Z",49.297,"Class3"
"E",57.542,32.627,16.688,61.41,36.101,15,47.809,"M",41.772,"Class3"
"D",96.716,34.238,63.359,47.034,59.084,84,50.511,"M",53.166,"Class1"
"H",88.207,31.222,49.834,47.18,58.386,90,NA,"P",54.308,"Class1"
"N",73.501,56.67,61.191,24.955,71.734,90,84.159,"C",72.993,"Class2"
"J",3.567,30.155,22.699,81.19,87.831,40,68.719,"L",14.542,"Class4"
"Z",88.056,33.054,60.742,43.589,60.877,76,50.073,"B",55.828,"Class1"
"K",3.538,29.149,22.925,60.754,87.584,42,74.552,"P",10.255,"Class4"
"X",13.104,7.747,22.376,43.191,86.252,14,77.552,"C",11.35,"Class4"
"Z",84.073,30.985,48.19,44.088,57.643,83,43.773,"B",58.372,"Class1"
"H",69.659,41.061,29.797,56.833,37.931,13,47.26,"R",25.971,"Class3"
"J",18.122,35.034,23.851,58.292,83.151,15,76.357,"R",9.844,"Class4"
"H",92.013,30.966,48.502,44.862,54.997,82,49.774,"M",64.498,"Class1"
"G",65.206,47.41,44.862,26.867,76.499,91,80.908,"H",21.105,"Class2"
"C",53.153,45.132,59.017,51.626,66.079,NA,54.691,"I",37.87,"Class2"
"A",93.025,89.661,49.582,29.224,67.418,76,53.91,"Q",14.152,"Class2"
"P",72.17,64.2,14.359,59.92,41.71,14,47.773,"I",16.359,"Class3"
"E",82.306,33.169,28.881,44.109,38.885,12,47.58,"H",21.298,"Class3"
"H",83.68,43.967,17.081,62.359,34.463,NA,47.206,"I",40.221,"Class3"
"Z",94.596,31.397,46.726,46.187,59.751,80,50.956,"P",62.926,"Class1"
"N",70.874,42.064,64.467,4.02,66.951,81,33.413,"I",20.91,"Class2"
"H",52.696,56.224,20.199,62.75,27.916,13,47.085,"M",27.962,"Class3"
"X",16.146,48.055,22.234,56.618,80.798,12,70.172,"J",16.371,"Class4"
"X",13.847,-7.23,22.112,91.287,78.568,35,70.433,"C",15.134,"Class4"
"R",70.258,39.745,31.862,70.129,24.61,12,47.721,"H",32.831,"Class3"
"M",64.882,45.399,23.907,69.787,27.707,11,NA,"Z",13.213,"Class3"
"H",81.556,62.79,48.89,12.435,66.947,78,85.495,"G",25.866,"Class2"
"H",64.318,26.178,24.385,50.902,44.879,15,47.726,"H",44.14,"Class3"
"X",21.554,40.367,22.176,72.774,98.229,39,73.87,"C",15.784,"Class4"
"H",49.616,92.269,65.998,25.71,68.833,90,17.37,"Q",73.764,"Class2"
"R",49.188,38.304,29.193,64.66,51.179,13,47.611,"R",28.982,"Class3"
"D",87.743,30.587,50.783,45.529,61.765,69,45.47,"P",56.208,"Class1"
"M",54.55,28.167,28.98,70.262,46.193,13,NA,"R",41.374,"Class3"
"H",92.356,34.284,50.872,48.11,58.118,94,49.812,"D",63.862,"Class1"
"N",67.181,64.575,54.725,14.101,65.237,91,37.946,"Q",20.426,"Class2"
"G",86.126,31.464,50.685,45.575,62.017,82,39.432,"D",60.13,"Class1"
"J",-0.524,-0.465,22.366,45.58,91.592,12,81.414,"R",12.818,"Class4"
"H",78.487,43.015,20.667,80.573,43.425,15,47.497,"M",18.467,"Class3"
"H",67.926,53.538,14.821,71.29,26.737,13,47.44,"M",18.528,"Class3"
"M",63.689,55.381,14.039,73.076,39.922,14,47.992,"I",42.487,"Class3"
"R",60.316,30.949,23.339,65.785,41.041,12,47.765,"R",34.814,"Class3"
"P",86.665,26.531,27.214,51.283,29.328,10,47.407,"Z",44.459,"Class3"
"I",25.195,40.939,22.209,66.886,87.929,38,78.778,"J",11.034,"Class4"
"H",91.807,23.932,48.191,67.666,66.913,75,88.111,"Q",14.191,"Class2"
"K",15.027,73.323,23.344,84.296,89.365,39,74.333,"L",10.937,"Class4"
"J",14.703,24.644,22.705,59.475,92.283,23,81.507,"L",13.493,"Class4"
"Z",89.67,31.882,63.895,49.166,56.321,NA,48.98,"P",66.692,"Class1"
"C",85.192,31.638,52.835,47.585,57.182,NA,45.038,"D",63.878,"Class1"
