"TFB1","Output8","GTB2","OPN3","OFZ4","GOJ5","BHA6","GTQ7","VTN8","SAR9","RMY10"
"J","Class3",30,"O",36.636,11.163,75.791,92.192,95.717,78.441,44.053
"L","Class5",71,"H",61.863,28.98,18.385,18.914,76.587,8.963,51.949
"B","Class5",68,"F",39.877,28.222,14.907,55.854,67.418,11.046,51.498
"E","Class2",37,"D",75.653,44.637,56.787,36.802,41.713,26.237,75.238
"P","Class2",28,"I",84.399,63.692,54.747,33.296,38.438,27.384,62.692
"E","Class2",30,"A",73.655,66.458,48.808,41.716,46.059,35.651,48.028
"N","Class4",36,"T",68.708,78.242,40.073,44.138,53.997,33.021,78.88
"B","Class4",53,"U",44.891,10.124,47.629,51.061,59.907,50.4,86.291
"K","Class1",38,"C",62.666,89.25,27.482,74.709,9.239,89.981,67.821
"L","Class5",71,"X",42.497,27.024,12.512,51.528,90.539,11.539,51.632
"H","Class1",6,"Q",60.502,96.119,27.92,56.914,10.758,92.683,66.233
"C","Class1",22,"Q",58.446,83.685,26.61,43.551,15.354,93.129,63.451
"I","Class5",71,"F",40.44,29.796,18.177,52.498,67.393,10.51,44.489
"O","Class3",31,"Y",25.483,11.305,NA,58.748,85.231,83.051,18.601
"I","Class5",69,"I",37.322,30.932,8.598,72.085,47.96,11.522,65.248
"I","Class3",33,"O",53.221,11.806,60.009,57.407,84.935,74.919,17.044
"D","Class3",31,"E",48.296,10.887,60.281,61.655,90.244,88.366,45.594
"F","Class4",35,"J",104.564,70.346,14.956,44.505,59.228,46.358,79.021
"Q","Class1",14,"W",63.875,94.013,29.211,64.565,16.853,91.097,66.096
"D","Class3",35,"K",79.94,10.02,47.599,87.466,81.192,76.964,29.083
"N","Class4",30,"H",74.226,48.836,85.922,48.454,49.435,43.445,68.268
"N","Class4",62,"T",45.184,76.838,75.907,45.118,56.132,41.617,91.385
"Q","Class1",11,"M",56.535,96.809,25.309,61.37,11.136,90.616,64.844
"K","Class1",33,"C",69.366,87.481,28.515,57.421,10.561,91.677,64.408
"J","Class3",33,"I",65.922,11.683,77.833,73.763,98.09,81.122,12.242
"B","Class4",59,"K",57.44,27.639,58.817,51.007,51.145,23.658,80.466
"Z","Class5",70,"I",57.686,26.473,16.152,41.36,86.617,10.406,49.352
"J","Class3",33,"I",3.283,10.186,55.102,89.226,85.716,77.229,42.27
"H","Class2",34,"A",69.831,17.853,55.857,31.486,44.082,27.64,82.674
"M","Class4",32,"H",70.018,15.984,93.559,50.55,63.053,37.927,83.236
"T","Class4",44,"U",49.977,18.99,26.416,47.276,43.241,53.688,93.784
"X","Class2",35,"D",66.04,21.37,54.004,54.455,41.487,34.039,88.752
"T","Class4",46,"T",73.36,34.526,60.381,46.817,56.096,44.988,70.035
"J","Class3",30,"E",36.265,11.421,43.395,69.792,98.672,NA,38.571
"Q","Class1",7,"C",51.703,84.482,28.125,57.015,2.624,92.102,60.06
"I","Class5",71,"F",45.686,25.543,14.323,49.599,89.003,11.037,42.513
"H","Class1",7,"K",67.466,90.032,26.925,68.696,12.145,91.72,67.085
"H","Class1",12,"W",57.477,85.885,28.264,56.416,14.751,91.619,64.618
"L","Class5",72,"I",34.448,26.4,12.318,29.369,76.223,13.548,49.137
"P","Class2",33,"K",69.363,44.945,55.204,16.637,40.816,41.871,86.674
"U","Class5",70,"X",43.762,29.83,16.58,45.955,73.394,12.787,58.194
"I","Class3",32,"K",29.335,11.74,50.038,87.367,90.194,81.702,36.818
"K","Class1",40,"C",56.381,84.989,26.762,69.39,4.842,92.191,67.803
"U","Class5",69,"X",53.594,29.312,19.654,30.664,80.882,10.659,40.798
"Q","Class2",33,"I",48.933,49.135,58.7,34.363,30.719,33.869,69.718
"B","Class4",32,"U",70.538,42.64,60.971,48.243,66.286,47.432,65.088
"P","Class2",30,"A",62.22,64.176,59.787,15.468,42.328,50.967,80.54
"I","Class5",71,"I",53.225,27.861,13.693,69.591,82.145,11.018,45.197
"I","Class5",69,"X",40.603,27.368,14.163,26.28,82.754,11.332,42.62
"J","Class3",30,"I",2.111,10.736,57.232,92.15,77.679,80.153,45.999
"J","Class3",32,"O",28.578,11.986,51.713,87.262,90.086,78.445,12.088
"L","Class5",68,"F",39.82,26.14,12.766,31.18,53.514,11.14,34.9
"C","Class1",14,"W",56.697,86.895,29.917,56.942,2.66,NA,66.348
"B","Class4",41,"J",70.97,24.765,60.839,44.228,50.409,43.53,82.328
"H","Class1",36,"W",64.182,83.653,31.308,62.278,19.786,92.259,60.309
"P","Class2",39,"D",57.993,15.994,42.104,57.139,41.23,32.143,83.872
"O","Class3",31,"K",66.614,11.98,79.34,79.593,99.578,86.596,43.96
"Z","Class5",71,"I",50.211,27.701,13.409,55.639,61.535,13.701,50.019
"H","Class1",34,"K",64.869,88.013,24.854,57.669,11.896,91.703,63.617
"C","Class1",18,"W",51.799,95.741,29.516,69.139,8.642,92.092,62.504
"E","Class2",27,"K",56.313,10.446,54.972,48.05,43.694,20.599,67.275
"E","Class2",40,"A",74.121,23.8,58.575,25.436,40.171,40.755,75.643
"J","Class3",33,"E",42.945,10.762,56.095,75.608,95.393,82.545,21.361
"I","Class5",72,"Y",27.259,27.8,4.848,41.318,57.031,13.064,37.095
"N","Class4",50,"H",34.652,84.071,56.592,48.652,55.118,52.21,55.471
"M","Class4",50,"K",43.647,51.587,56.389,44.265,52.799,42.77,68.363
"C","Class1",20,"W",60.072,89.925,25.227,71.331,12.176,NA,67.657
"M","Class4",61,"K",87.645,62.17,33.17,51.294,52.835,38.954,59.871
"Q","Class2",28,"J",72.697,44.355,39.622,28.922,43.436,25.467,81.118
"I","Class5",68,"F",54.677,27.75,12.184,8.254,67.655,15.971,46.48
"Z","Class5",72,"Y",33.177,27.609,14.495,40.184,74.157,12.15,67.995
"D","Class3",34,"Y",45.432,11.104,58.048,82.093,88.167,85.303,35.645
"E","Class2",38,"A",80.838,42.409,58.336,36.176,47.103,29.286,88.646
"C","Class1",6,"M",56.714,82.788,26.449,70.284,13.811,91.196,61.413
"B","Class5",70,"X",40.006,29.371,11.756,23.779,74.078,9.239,58.7
"J","Class3",31,"E",41.322,11.076,64.957,38.419,85.137,79.574,26.344
"Q","Class2",33,"K",67.922,48.598,54.912,17.031,40.705,26.678,47.474
"I","Class3",32,"I",41.743,10.691,56.752,86.603,93.176,83.65,38.587
"O","Class3",33,"K",-0.182,11.951,60.174,53.215,92.594,74.086,14.223
"B","Class4",55,"T",55.324,32.23,55.462,47.012,45.2,45.827,59.619
"I","Class5",68,"Y",72.89,26.175,15.239,34.204,78.84,NA,38.229
"U","Class5",71,"H",11.642,26.465,15.243,59.206,74.174,NA,60.658
"U","Class5",72,"H",42.93,27.648,5.243,16.533,85.005,11.132,35.27
"D","Class3",30,"I",5.681,10.928,47.101,67.876,86.449,74.011,29.252
"C","Class1",32,"C",53.22,86.634,27.08,73.094,9.857,92.078,64.081
"A","Class1",28,"W",58.291,91.973,26.591,74.529,4.377,91.328,66.611
"T","Class4",30,"K",101.269,60.678,58.144,49.035,53.318,39.505,60.603
"L","Class5",68,"Y",30.869,29.872,15.118,62.102,63.435,10.992,58.605
"N","Class4",32,"T",55.578,25.411,60.191,51.108,53.292,46.931,90.658
"C","Class1",22,"K",60.18,94.84,28.919,65.862,13.94,92.057,63.942
"Q","Class2",26,"J",76.368,45.148,61.301,18.003,41.87,15.683,51.723
"L","Class5",69,"X",45.221,30.572,NA,26.08,70.492,12.276,36.37
"Q","Class1",25,"W",61.98,83.984,29.259,44.249,10.231,91.166,64.786
"F","Class4",43,"J",71.522,74.714,57.112,51.178,50.09,41.363,63.442
"P","Class2",37,"I",49.442,23.734,58.954,47.084,48.024,20.64,61.343
"O","Class3",32,"E",40.251,11.505,38.179,77.833,88.725,87.472,36.366
"I","Class5",70,"I",61.029,26.532,11.114,51.569,88.086,10.747,61.421
"B","Class5",71,"F",31.47,25.661,16.461,53.198,80.379,NA,63.588
"F","Class4",39,"T",77.28,28.537,49.056,47.292,52.318,45.165,65.029
"I","Class5",68,"I",51.635,27.399,12.456,52.337,79.345,9.226,33.274
"P","Class2",36,"J",60.093,71.489,45.225,37.49,38.927,39.422,71.914
"M","Class4",51,"T",23.051,32.062,58.582,47.784,57.127,45.954,60.238
"P","Class3",30,"K",64.876,11.324,54.487,77.042,103.448,87.183,25.847
"X","Class2",31,"K",61.62,26.228,63.098,56.592,30.153,13.582,88.869
"P","Class3",33,"K",5.547,11.516,63.79,91.861,105.239,85.143,37.531
"F","Class4",34,"H",62.204,49.293,26.861,46.301,54.762,39.301,61.462
"O","Class3",31,"Y",16.121,10.613,56.304,63.479,93.555,82.262,29.653
"B","Class5",71,"X",23.933,26.718,NA,10.06,82.7,12.005,65.675
"H","Class2",38,"I",72.275,33.979,58.934,52.422,38.67,37.662,94.532
"P","Class2",38,"I",69.072,2.982,53.662,37.234,47.23,25.529,88.378
"P","Class2",38,"D",89.757,24.205,43.278,24.523,39.332,26.719,55.524
"I","Class5",69,"X",49.49,29.222,18.154,52.552,82.565,10.885,45.182
"C","Class1",17,"C",55.054,89.008,27.617,52.288,0.353,92.356,63.443
"Q","Class1",20,"K",53.399,89.505,NA,52.256,4.308,91.741,62.44
"M","Class4",56,"J",56.845,52.213,53.089,48.008,55.597,35.661,90.585
"J","Class3",33,"I",46.81,11.242,54.296,47.963,88.175,85.046,25.357
"P","Class2",28,"K",69.546,5.071,56.145,40.647,46.616,31.43,44.581
"E","Class2",39,"D",60.575,24.645,56.017,39.064,39.541,22.79,80.482
"H","Class1",40,"K",64.941,91.198,28.748,73.854,9.296,91.106,66.029
"H","Class1",40,"K",55.773,82.678,29.455,71.672,8.826,91.108,62.68
"A","Class1",25,"W",57.987,90.31,26.014,54.088,15.104,92.778,63.985
"Q","Class2",32,"I",95.598,36.896,54.742,37.331,31.45,14.994,94.861
"H","Class2",32,"A",65.941,10.328,45.471,39.415,42.109,43.504,53.687
"D","Class3",35,"I",31.526,10.456,30.117,91.451,83.083,95.887,37.338
"Q","Class1",7,"W",61.378,86.94,28.251,72.211,12.659,91.589,60.305
"Q","Class1",17,"M",61.671,88.213,27.266,45.938,2.853,91.255,63.85
"Z","Class5",71,"I",34.833,27.494,13.677,8.62,81.968,13.858,33.314
"A","Class1",32,"M",55.143,91.885,29.455,43.495,4.354,91.644,62.893
"N","Class4",62,"H",62.262,71.351,49.568,45.602,55.645,46.135,52.282
"E","Class2",30,"K",39.15,36.887,59.44,26.713,35.488,7.209,82.738
"X","Class2",28,"K",72.454,26.156,62.458,35.878,44.528,29.047,66.253
"Q","Class2",28,"I",73.529,18.285,NA,42.73,41.557,24.849,94.735
"T","Class4",40,"T",97.893,13.835,65.979,44.282,57.911,35.01,53.444
"D","Class3",32,"Y",38.686,11.091,54.779,86.907,91.915,90.282,26.916
"E","Class2",28,"A",58.365,53.629,48.817,46.308,42.499,35.823,48.22
"B","Class4",32,"J",63.755,25.05,64.929,50.096,52.474,44.353,73.476
"C","Class1",35,"K",58.8,86.049,27.131,54.172,5.112,91.304,65.803
"J","Class3",35,"Y",18.867,11.409,37.742,60.632,96.633,89.526,11.163
"U","Class5",71,"X",6.013,28.082,8.262,45.929,76.918,12.16,39.041
"X","Class2",30,"K",65.96,70.151,61.809,14.635,43.754,25.558,61.235
"U","Class5",69,"F",35.261,26.746,19.857,49.142,78.311,8.239,65.47
"K","Class1",27,"C",63.212,93.574,25.774,49.927,18.519,90.538,64.353
"D","Class3",30,"I",58.492,11.842,33.428,70.606,100.295,86.889,17.22
"C","Class1",29,"C",61.074,90.213,31.744,44.563,7.946,91.664,65.768
"O","Class3",30,"E",34.831,10.023,38.711,86.476,96.146,74.74,47.877
"E","Class2",39,"K",82.919,66.551,39.651,36.249,37.162,45.232,74.123
"Z","Class5",71,"X",20.835,28.943,5.713,28.238,77.292,14.298,54.255
"H","Class2",33,"J",59.874,11.593,53.196,55.566,29.699,28.566,69.258
"P","Class3",30,"K",55.867,11.679,62.767,58.72,93.091,NA,40.08
"D","Class3",33,"I",19.266,10.987,39.377,69.396,84.125,76.221,37.729
"F","Class4",62,"K",8.082,78.809,43.657,51.603,44.322,53.389,78.322
"I","Class5",71,"X",25.464,26.249,10.589,33.076,64.327,10.991,47.111
"F","Class4",61,"K",40.244,54.854,37.112,46.847,44.319,40.052,72.533
"N","Class4",30,"J",62.854,49.198,64.056,45.638,49.216,NA,58.047
"I","Class5",69,"Y",75.851,26.044,NA,42.8,58.444,13.206,68.337
"I","Class3",31,"Y",73.05,11.206,36.345,61.273,101.633,76.415,26.438
"A","Class1",29,"Q",53.962,96.361,27.911,60.989,10.82,92.779,64.48
"K","Class1",39,"M",60.16,92.814,27.858,68.258,10.959,92.954,63.83
"I","Class3",35,"O",47.04,10.161,35.288,90.265,100.241,84.412,38.076
"N","Class4",33,"H",74.837,34.97,43.973,46.395,47.701,45.593,88.829
"P","Class3",33,"I",51.665,10.004,58.465,47.404,94.309,74.895,11.629
"A","Class1",16,"K",57.677,84.457,25.632,67.871,7.737,91.635,65.962
"O","Class3",34,"E",22.125,10.286,22.228,78.013,89.093,86.925,43.27
"Q","Class2",29,"D",71.455,2.147,45.55,34.818,48.193,32.521,71.902
"Q","Class1",3,"Q",60.056,86.274,26.157,63.676,7.734,NA,63.023
"P","Class3",32,"Y",23.576,10.376,59.418,77.326,82.807,83.859,11.15
"H","Class1",34,"C",62.79,90.708,27.738,64.067,11.818,91.624,67.803
"A","Class1",33,"Q",59.561,95.84,27.016,73.829,3.373,89.031,60.997
"I","Class5",71,"H",62.218,25.064,9.152,64.827,83.924,9.246,56.9
"F","Class4",38,"U",75.955,73.39,44.022,49.475,68.528,40.276,93.923
"H","Class1",28,"W",67.867,94.201,27.164,52.387,11.417,92.249,62.751
"H","Class2",40,"J",59.371,10.579,59.963,43.463,45.685,34.709,70.693
"C","Class1",31,"W",59.855,89.112,28.287,65.816,9.783,92.392,61.313
"P","Class2",33,"A",46.006,40.048,47.163,15.825,46.97,24.011,55.504
"O","Class3",34,"E",51.079,10.836,84.72,66.904,86.315,NA,46.557
"P","Class3",34,"I",26.85,10.418,31.462,90.717,80.534,80.662,30.248
"E","Class2",30,"I",64.715,11.37,50.67,30.335,35.557,23.797,70.758
"C","Class1",14,"Q",67.06,82.65,27.218,72.314,3.326,90.408,67.419
"Z","Class5",72,"Y",30.59,30.461,12.076,66.316,93.969,9.218,37.318
"T","Class4",43,"K",48.842,62.388,36.906,47.39,47.771,37.116,57.289
"B","Class5",72,"H",33.817,29.386,13.883,6.764,64.486,10.108,43.825
"F","Class4",55,"K",41.684,51.238,24.468,48.272,55.937,38.051,67.885
"M","Class4",43,"J",26.157,75.884,43.763,50.591,69.753,57.1,80.414
"A","Class1",34,"W",61.647,83.055,NA,51.75,11.634,91.427,67.126
"P","Class2",40,"I",87.125,36.519,51.7,27.488,50.275,22.597,42.537
"I","Class3",35,"Y",24.836,11.392,40.745,46.371,90.805,83.015,47.358
"E","Class2",35,"J",73.088,17.625,46.292,54.23,45.018,33.666,89.214
"X","Class2",31,"A",70.752,6.863,46.312,48.228,43.839,49.548,66.901
"Q","Class1",35,"W",59.518,83.158,25.329,71.773,15.914,91.732,65.005
"I","Class3",31,"Y",38.249,10.702,63.384,70.693,77.786,83.586,38.515
"X","Class2",26,"A",95.303,12.869,56.879,46.486,55.097,36.994,61.955
"I","Class5",70,"H",34.921,26.637,19.163,73.389,72.267,12.958,41.344
"O","Class3",32,"O",31.446,10.233,61.205,34.403,90.58,70.187,40.296
"L","Class5",69,"F",36.249,25.027,12.639,57.84,46.973,10.284,48.567
"H","Class2",40,"A",76.856,67.579,46.578,18.706,41.186,13.286,44.972
"Q","Class2",33,"D",70.563,29.071,59.696,46.695,44.54,29.446,52.268
"H","Class1",12,"C",60.555,94.678,27.306,51.37,5.376,92.14,67.32
"J","Class3",31,"K",40.254,11.219,48.802,66.901,93.789,72.337,25.912
"P","Class2",27,"A",71.671,64.731,62.791,56.529,35.622,22.42,41.036
"L","Class5",69,"X",39.615,27.319,2.308,21.492,61.417,NA,34.196
"P","Class3",33,"E",29.364,10.303,37.996,48.931,87.11,81.904,29.613
"Q","Class2",31,"J",69.4,58.547,53.99,55.9,39.289,32.395,55.643
"E","Class2",37,"I",77.967,4.508,44.684,48.762,43.929,15.227,77.023
"I","Class5",68,"F",53.362,26.047,8.353,20.245,74.959,12.078,54.553
"I","Class3",30,"Y",-30.841,10.158,40.342,68.224,107.763,83.238,11.884
"B","Class4",46,"J",4.679,47.79,41.298,48.93,56.005,45.399,60.056
"X","Class2",39,"J",64.305,10.108,49.083,48.22,34.302,13.054,54.098
"U","Class5",69,"Y",48.167,29.494,20.707,9.029,87.923,10.275,45.354
"O","Class3",34,"Y",45.905,10.133,65.313,36.736,91.189,83.434,10.658
"F","Class4",53,"J",39.41,80.19,60.083,45.136,60.224,42.403,84.752
"F","Class4",50,"U",70.211,48.218,15.951,51.198,41.14,51.457,61.926
"B","Class5",68,"X",55.045,28.072,14.591,50.433,66.765,11.336,34.535
"L","Class5",69,"I",29.895,25.449,NA,73.765,85.688,9.087,39.108
"Q","Class2",31,"I",79.799,16.114,58.208,42.385,41.607,21.537,45.412
"Z","Class5",68,"I",8.835,27.139,10.128,18.661,84.766,12.239,32.149
"D","Class3",31,"Y",35.189,11.139,NA,71.043,90.089,76.805,22.867
"I","Class3",32,"I",21.64,10.431,71.723,91.989,78.095,85.491,33.884
"O","Class3",34,"E",55.198,10.922,31.186,34.959,81.158,NA,28.352
"J","Class3",34,"E",61.197,10.543,NA,65.265,95.04,80.351,46.706
"C","Class1",11,"W",64.903,93.736,26.099,51.851,10.87,89.882,65.159
"Q","Class2",29,"J",62.608,38.809,41.829,54.318,41.333,16.539,79.852
"Z","Class5",68,"I",61.087,26.07,14.952,65.168,70.918,10.867,44.178
"B","Class5",69,"H",36.765,24.894,9.335,29.326,93.892,11.842,30.617
"A","Class1",37,"M",54.961,95.028,25.33,47.001,10.12,91.891,67.831
"C","Class1",30,"K",63.454,87.829,29.442,74.459,2.386,91.973,62.688
"U","Class5",70,"H",49.877,30.31,12.84,20.053,82.144,10.554,43.456
"L","Class5",71,"H",48.728,28.049,6.248,15.825,86.754,10.475,51.322
"K","Class1",15,"M",66.06,87.279,27.388,61.506,1.234,92.41,67.459
"B","Class4",56,"K",73.889,73.68,44.586,50.474,65.786,46.187,95.38
"Q","Class2",30,"J",50.015,45.77,57.604,41.372,34.535,41.466,85.074
"L","Class5",70,"I",26.81,24.803,12.384,32.826,58.772,10.075,67.69
"B","Class5",69,"X",36.402,30.9,11.905,21.416,81.581,9.604,62.491
"E","Class2",37,"A",55.779,31.873,49.347,45.36,41.529,12.53,67.383
"P","Class3",34,"Y",27.558,11.458,61.24,82.902,80.448,76.604,47.625
"Q","Class2",35,"J",82.588,37.701,63.951,34.375,39.091,23.265,61.322
"I","Class3",31,"I",34.366,10.209,66.34,42.941,85.338,83.264,21.398
"D","Class3",34,"E",46.519,11.082,50.556,58.396,95.607,78.57,26.682
"Z","Class5",69,"F",37.058,25.178,5.974,68.883,77.705,8.483,34.785
"X","Class2",31,"A",62.009,18.757,59.333,20.563,35.33,37.788,44.984
"A","Class1",32,"W",65.379,84.79,26.879,60.62,13.931,92.309,61.555
"U","Class5",71,"F",32.001,25.642,21.285,52.834,73.809,14.426,51.838
"L","Class5",71,"Y",27.638,25.324,11.661,38.363,76.025,11.392,29.624
"I","Class3",30,"Y",25.261,10.12,57.602,31.611,94.29,92.684,22.676
"Z","Class5",72,"Y",41.194,25.854,13.763,28.663,78.551,12.111,57.908
"M","Class4",50,"H",30.938,33.256,37.512,44.802,77.718,40.945,90.033
"Q","Class2",37,"J",70.094,44.091,36.928,35.997,34.882,44.438,79.632
"K","Class1",39,"Q",54.731,88.46,26.993,64.244,11.178,90.557,64.595
"D","Class3",33,"K",18.718,11.499,55.423,42.82,90.608,79.213,31.76
"Q","Class2",39,"K",72.766,50.918,46.975,38.102,39.321,24.318,66.916
"D","Class3",32,"E",42.449,10.983,46.002,60.051,103.502,89.819,33.267
"C","Class1",16,"Q",60.523,90.458,26.991,70.887,18.758,91.936,63.694
"A","Class1",9,"M",52.209,95.841,29.75,47.414,13.345,90.863,66.491
"Q","Class1",24,"W",66.861,92.33,27.809,47.127,9.306,91.937,66.702
"T","Class4",57,"J",63.363,87.51,29.605,44.955,56.913,36.972,88.181
"N","Class4",49,"U",41.359,73.501,17.522,44.289,47.016,42.029,56.303
"F","Class4",37,"T",45.406,86.29,70.234,49.175,56.651,44.219,90.916
"I","Class5",72,"F",40.54,25.916,NA,73.333,73.035,8.97,53.31
"I","Class5",70,"F",60.663,26.303,13.576,73.993,66.517,13.123,40.864
"Z","Class5",69,"F",50.56,30.061,15.689,32.497,53.069,11.771,61.003
"L","Class5",69,"X",20.401,26.178,12.99,45.915,54.938,13.667,52.568
"N","Class4",62,"H",41.516,64.7,45.749,49.099,36.383,43.198,75.527
"A","Class1",6,"C",59.115,90.046,28.778,62.569,8.933,91.758,60.208
"I","Class3",35,"I",66.874,10.142,75.449,82.757,96.475,76.823,10.06
"Q","Class2",31,"K",94.88,51.415,53.181,33.271,40.203,11.605,53.73
"Q","Class1",37,"K",52.863,84.848,NA,53.21,9.242,91.275,61.446
"X","Class2",33,"I",70.138,21.718,55.802,48.444,40.099,26.96,69.971
"A","Class1",28,"Q",60.221,90.119,30.833,45.424,7.776,90.894,60.503
"L","Class5",69,"F",63.559,30.101,9.77,8.686,101.098,12.163,58.44
"Q","Class1",5,"K",55.174,87.759,29.078,73.531,11.293,91.72,60.435
"K","Class1",14,"C",59.178,95.237,28.989,60.326,15.48,91.586,62.347
"O","Class3",30,"O",56.252,10.862,46.335,78.477,84.967,81.896,12.1
"I","Class3",35,"I",20.043,11.377,64.139,65.531,84.496,83.499,20.024
"F","Class4",33,"H",88.489,26.654,48.846,46.916,57.143,51.511,71.283
"T","Class4",39,"H",61.647,48.621,64.251,48.294,45.071,37.662,58.963
"T","Class4",63,"U",17.046,83.649,33.623,50.449,46.644,37.078,65.334
"K","Class1",23,"Q",59.724,83.46,27.869,67.135,12.756,92.01,63.87
"H","Class2",39,"J",78.65,61.717,54.948,53.728,39.209,48.086,67.532
"M","Class4",51,"J",59.456,32.853,32.444,47.006,42.649,51.073,60.279
"B","Class5",71,"X",37.354,29.413,11.078,68.756,65.04,11.86,30.591
"P","Class3",32,"I",20.856,10.265,70.865,85.822,85.717,80.872,26.841
"B","Class4",46,"U",78.586,44.414,NA,47.627,49.805,30.988,80.523
"H","Class1",3,"C",60.545,83.139,26.567,45.983,19.758,93.448,65.928
"F","Class4",35,"T",30.084,22.658,38.057,48.264,54.652,49.627,74.248
"P","Class3",34,"Y",31.864,10.623,41.19,39.826,83.395,87.544,31.595
"D","Class3",30,"K",47.673,11.022,NA,59.911,66.668,77.188,21.676
"C","Class1",14,"C",60.503,94.697,29.424,48.528,11.975,90.896,60.192
"L","Class5",68,"X",29.936,30.951,16.748,7.278,75.952,12.02,52.466
"I","Class3",33,"I",10.817,11.653,NA,44.262,88.371,84.438,10.05
"C","Class1",21,"M",55.897,93.158,27.929,65.631,7.676,90.514,66.237
"T","Class4",58,"H",49.165,27.161,23.436,44.314,52.659,NA,54.544
"A","Class1",13,"K",54.066,85.343,28.453,47.324,3.306,89.837,61.543
"Q","Class1",20,"M",70.036,89.054,26.83,65.197,12.551,90.486,66.991
"K","Class1",33,"K",59.685,82.173,25.859,61.344,12.593,93.565,67.051
"H","Class2",31,"K",48.938,17.36,51.14,27.698,39.218,19.74,44.714
"Z","Class5",72,"I",47.872,30.51,13.87,48.069,58.198,13.294,31.92
"K","Class1",16,"K",60.598,92.966,26.153,68.309,3.081,90.472,66.942
"H","Class2",39,"I",66.487,21.53,41.44,51.269,42.92,7.752,50.786
"J","Class3",35,"I",29.216,11.01,58.718,38.029,88.149,76.868,29.695
"N","Class4",37,"K",55.267,54.233,54.068,51.554,53.64,40.143,95.173
"C","Class1",22,"C",60.511,85.005,27.809,45.271,11.253,93.242,67.561
"X","Class2",37,"I",73.752,60.924,74.412,17.95,44.655,27.799,44.814
"X","Class2",31,"J",69.77,51.01,57.061,19.003,38.637,NA,87.704
"P","Class3",32,"I",34.966,10.572,44.973,40.084,94.058,88.954,47.837
"J","Class3",34,"O",80.121,11.494,69.994,32.47,91.859,78.503,38.06
"I","Class5",70,"X",47.782,29.925,5.023,60.565,62.299,15.262,41.936
"K","Class1",38,"W",52.777,87.871,25.776,54.889,5.001,90.695,66.596
"H","Class1",18,"M",71.253,89.916,NA,49.893,14.366,92.089,64.6
"A","Class1",14,"C",57.013,94.808,27.974,57.889,4.516,91.27,61.569
"H","Class1",20,"W",56.875,82.397,NA,69.854,1.07,92.296,61.289
"E","Class2",35,"D",84.696,6.017,47.615,36.904,29.054,28.374,80.088
"I","Class3",34,"Y",-3.149,11.332,43.67,46.573,86.19,74.027,31.379
"F","Class4",33,"U",75.814,25.342,45.266,48.953,63.899,44.566,59.802
"O","Class3",34,"K",35.189,11.716,51.038,79.074,83.869,85.329,29.138
"J","Class3",32,"Y",13.914,11.878,52.932,85.372,92.078,92.901,42.023
"Q","Class1",6,"C",60.211,95.544,27.658,54.145,6.92,91.086,62.723
"N","Class4",47,"K",21.582,16.58,67.35,46.858,45.907,44.226,66.231
"I","Class3",32,"K",18.274,10.83,19.189,74.907,89.56,82.196,26.528
"P","Class3",31,"E",46.35,10.503,52.822,33.119,94.147,79.463,25.019
"N","Class4",46,"K",31.367,36.266,NA,47.774,52.176,50.893,70.95
"E","Class2",36,"J",58.45,36.388,57.388,49.774,33.405,NA,62.715
"J","Class3",32,"O",62.046,11.589,51.16,46.958,86.098,80.669,45.363
"F","Class4",30,"J",60.474,21.639,39.036,46.623,69.979,48.348,57.998
"C","Class1",13,"Q",63.386,93.019,27.677,64.524,10.088,93.668,65.764
"O","Class3",34,"I",11.091,10.67,59.791,72.297,80.438,84.018,36.186
"N","Class4",32,"H",62.955,23.779,38.069,50.029,47.107,42.201,70.75
"I","Class5",72,"H",50.407,30.004,5.882,50.263,67.462,10.813,66.172
"A","Class1",23,"C",60.976,83.354,28.048,68.627,7.266,91.006,60.669
"M","Class4",47,"T",44.241,76.39,62.164,47.254,53.05,36.702,80.783
"B","Class5",72,"F",56.774,25.814,NA,68.14,69.825,NA,55.251
"X","Class2",34,"D",71.339,32.122,58.886,41.632,41.573,54.034,67.284
"J","Class3",30,"O",12.714,11.366,17.772,55.611,90.381,83.728,28.741
"O","Class3",34,"I",16.387,10.458,73.273,44.029,103.573,71.393,16.054
"Z","Class5",69,"I",55.884,24.288,18.123,20.675,97.445,11.885,42.73
"E","Class2",40,"K",63.658,20.604,49.487,50.432,45.295,16.3,68.293
"J","Class3",32,"E",25.337,10.358,50.043,56.348,102.595,83.738,32.099
"Q","Class1",18,"C",61.131,82.761,26.239,70.551,7.686,NA,64.95
"P","Class2",32,"I",54.88,17.519,45.235,43.965,32.627,50.216,80.349
"Z","Class5",70,"Y",67.009,30.566,10.65,36.844,61.74,12.98,55.16
"P","Class2",40,"A",93.257,17.874,59.53,15.655,38.369,33.689,46.147
"J","Class3",32,"Y",-0.446,11.111,47.648,84.38,99.506,91.239,40.156
"M","Class4",63,"K",65.962,44.725,43.824,50.037,52.572,46.748,60.91
"L","Class5",71,"Y",59.422,24.404,5.434,15.365,60.538,12.453,55.563
"P","Class3",35,"Y",5.834,11.007,42.541,48.792,92.081,79.709,33.264
"B","Class5",70,"X",22.443,30.783,13.21,15.277,82.087,9.305,51.925
"K","Class1",19,"Q",65.499,92.638,29.059,48.713,10.026,90.861,60.116
"B","Class5",72,"H",56.123,27.938,16.127,12.676,73.483,11.594,41.835
"O","Class3",33,"O",56.426,11.536,54.803,50.604,77.681,87.742,16.771
